,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.7446174,0.7121243,-1.0324931
1,"('unfriendly', 'friendly')",1.3858749,1.5844443,0.1985694
2,"('unlikable', 'likable')",1.2061613,0.3361468,-0.8700144999999999
3,"('repellent', 'pleasant')",1.0933617,1.0926096,-0.0007520999999999223
4,"('disliked', 'liked')",-0.7467296,-0.2542326,0.492497
5,"('distant', 'outgoing')",-0.0431933,0.2986973,0.3418906
6,"('distant', 'open')",-0.3200551,0.1105676,0.43062269999999997
7,"('insensitive', 'sensitive')",2.0158904,1.8059343,-0.20995609999999987
8,"('unaffectionate', 'affectionate')",0.5456484,0.8642847,0.3186363
9,"('unaffectionate', 'caring')",0.6545846,1.1121063,0.45752170000000003
10,"('unsympathetic', 'sympathetic')",1.7268255,0.827075,-0.8997504999999999
11,"('unhelpful', 'helpful')",0.4600081,0.0688483,-0.39115979999999995
12,"('unsupportive', 'supportive')",0.7806275,1.2177004,0.4370729
13,"('impolite', 'polite')",0.9337593,0.4637338,-0.4700255
14,"('antisocial', 'social')",0.4432033,0.7013392,0.25813590000000003
15,"('boring', 'funny')",0.5670584,0.4497973,-0.11726109999999995
16,"('unpopular', 'popular')",-0.3919177,-0.4186862,-0.02676850000000003
17,"('nasty', 'nice')",-0.5953695,-0.2457672,0.34960230000000003
18,"('disagreeable', 'welcoming')",0.6383099,1.1850659,0.5467559999999999
19,"('inhospitable', 'hospitable')",0.0325321,0.0871711,0.054639
20,"('rough', 'thoughtful')",-0.2674817,0.0356503,0.303132
21,"('immoral', 'moral')",1.4047244,0.5252907,-0.8794337000000001
22,"('untrustworthy', 'trustworthy')",1.0127833,0.9168917,-0.09589159999999997
23,"('insincere', 'sincere')",1.629742,1.2740706,-0.3556714000000001
24,"('dishonest', 'honest')",1.4841643,1.1196934,-0.36447089999999993
25,"('egoistic', 'altruistic')",0.9061956,1.0058868,0.09969120000000009
26,"('hardhearted', 'benevolent')",0.1687643,0.6734057,0.5046414
27,"('hardhearted', 'softhearted')",0.800222,1.513215,0.712993
28,"('disloyal', 'loyal')",-0.2587086,-0.4922105,-0.23350189999999998
29,"('unfair', 'fair')",-0.7562161,-0.1695389,0.5866772
30,"('intolerant', 'tolerant')",1.1070014,0.7395334,-0.3674679999999999
31,"('evil', 'good')",-1.1417324,-0.8146048,0.32712759999999996
32,"('unkind', 'kind')",1.7844456,1.5023209,-0.2821247
33,"('wrong', 'right')",-0.4471054,0.2937187,0.7408241
34,"('mean', 'honorable')",0.5275264,0.1061918,-0.42133459999999995
35,"('corrupt', 'incorrupt')",-2.7309598,-1.8030978,0.927862
36,"('hostile', 'amicable')",-0.7267633,-0.1479751,0.5787882
37,"('fake', 'genuine')",0.8472513,0.6829456,-0.1643057
38,"('untruthful', 'truthful')",-0.076871,-0.0372192,0.039651799999999994
39,"('exploitative', 'cooperative')",0.0922013,0.7652415,0.6730402
40,"('stingy', 'generous')",1.5203449,0.9075384,-0.6128065
