,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.7269323,0.815753,-0.9111793000000001
1,"('unfriendly', 'friendly')",1.7508349,1.9319188,0.18108389999999996
2,"('unlikable', 'likable')",1.1515028,0.3740526,-0.7774502000000001
3,"('repellent', 'pleasant')",1.2237136,1.3827167,0.15900310000000006
4,"('disliked', 'liked')",-0.428756,0.0749002,0.5036562
5,"('distant', 'outgoing')",0.1825687,0.3706719,0.1881032
6,"('distant', 'open')",0.1029762,0.3873211,0.28434489999999996
7,"('insensitive', 'sensitive')",1.9475016,1.847477,-0.10002460000000002
8,"('unaffectionate', 'affectionate')",0.8733748,1.101644,0.22826920000000006
9,"('unaffectionate', 'caring')",0.9195662,1.3223996,0.4028334
10,"('unsympathetic', 'sympathetic')",1.6880218,0.982697,-0.7053248
11,"('unhelpful', 'helpful')",0.1913894,-0.081489,-0.27287839999999997
12,"('unsupportive', 'supportive')",0.8443902,1.2007802,0.3563900000000001
13,"('impolite', 'polite')",0.4216015,0.1908184,-0.23078310000000002
14,"('antisocial', 'social')",0.1058275,0.4159339,0.3101064
15,"('boring', 'funny')",0.6163703,0.4493444,-0.16702590000000006
16,"('unpopular', 'popular')",-0.3801755,-0.2548007,0.1253748
17,"('nasty', 'nice')",-0.6493801,-0.361636,0.2877441
18,"('disagreeable', 'welcoming')",0.7739124,1.2379712,0.4640588000000001
19,"('inhospitable', 'hospitable')",0.064026,0.0272769,-0.0367491
20,"('rough', 'thoughtful')",-0.3268997,0.0292717,0.3561714
21,"('immoral', 'moral')",1.2025208,0.4963136,-0.7062072
22,"('untrustworthy', 'trustworthy')",1.0078231,0.8857491,-0.12207400000000002
23,"('insincere', 'sincere')",1.4572415,1.2021464,-0.25509510000000013
24,"('dishonest', 'honest')",1.4146906,1.2115161,-0.2031744999999998
25,"('egoistic', 'altruistic')",0.9853146,1.1036106,0.11829600000000007
26,"('hardhearted', 'benevolent')",0.2258895,0.5942622,0.3683727
27,"('hardhearted', 'softhearted')",1.1558776,1.8140458,0.6581682
28,"('disloyal', 'loyal')",0.0728295,-0.1271889,-0.20001839999999999
29,"('unfair', 'fair')",-0.42849,0.0324459,0.46093589999999995
30,"('intolerant', 'tolerant')",0.8312947,0.5310592,-0.3002355000000001
31,"('evil', 'good')",-0.6815537,-0.4876692,0.19388450000000002
32,"('unkind', 'kind')",1.9676344,1.8978623,-0.0697721
33,"('wrong', 'right')",-0.4392015,0.1977592,0.6369607
34,"('mean', 'honorable')",0.437268,0.0897856,-0.34748239999999997
35,"('corrupt', 'incorrupt')",-2.4414316,-1.6296866,0.8117449999999999
36,"('hostile', 'amicable')",-0.256961,0.3132013,0.5701623
37,"('fake', 'genuine')",0.8901547,0.8325916,-0.05756309999999998
38,"('untruthful', 'truthful')",-0.2956296,-0.1837074,0.1119222
39,"('exploitative', 'cooperative')",-0.1881529,0.4279856,0.6161385
40,"('stingy', 'generous')",2.0279417,1.4702519,-0.5576897999999999
41,"('unforgiving', 'forgiving')",1.0845014,0.5666272,-0.5178742
42,"('unreliable', 'reliable')",0.9237518,1.1181644,0.19441259999999994
43,"('irresponsible', 'responsible')",0.8601267,0.74208,-0.11804670000000006
44,"('prejudiced', 'unprejudiced')",-1.5001405,-1.6110151,-0.11087459999999982
45,"('incompetent', 'competent')",0.8679063,0.7846755,-0.08323080000000005
46,"('uncompetitive', 'competitive')",0.7316531,0.5441436,-0.1875095
47,"('stupid', 'smart')",0.8013337,0.5134386,-0.28789510000000007
48,"('unintelligent', 'intelligent')",1.0394179,0.5962321,-0.44318579999999985
49,"('unable', 'able')",-0.6197082,0.0298473,0.6495555000000001
50,"('clumsy', 'skillful')",-0.2993592,-0.0044692,0.29489
51,"('uneducated', 'educated')",1.324943,1.0825867,-0.24235629999999997
52,"('irrational', 'rational')",-0.4766463,-0.3339924,0.1426539
53,"('uncreative', 'creative')",0.632002,0.9470523,0.3150503
54,"('incapable', 'capable')",1.0644753,0.4388729,-0.6256024
55,"('incompetent', 'clever')",1.710445,1.4642138,-0.24623119999999998
56,"('impractical', 'practical')",0.7193366,0.8635489,0.14421229999999996
57,"('unimaginative', 'imaginative')",1.053843,0.6655155,-0.38832750000000005
