,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.7787292,0.7682609,-1.0104682999999999
1,"('unfriendly', 'friendly')",1.4440722,1.695751,0.2516788000000001
2,"('unlikable', 'likable')",0.9598656,0.1151503,-0.8447153
3,"('repellent', 'pleasant')",1.255204,1.1896486,-0.06555540000000004
4,"('disliked', 'liked')",-0.6766937,-0.0423559,0.6343378
5,"('distant', 'outgoing')",-0.4347468,0.0566622,0.491409
6,"('distant', 'open')",-0.5738286,-0.0297622,0.5440664000000001
7,"('insensitive', 'sensitive')",2.0094796,1.7073806,-0.3020990000000001
8,"('unaffectionate', 'affectionate')",0.5672824,0.8246961,0.2574137000000001
9,"('unaffectionate', 'caring')",0.6275339,1.0513462,0.42381230000000003
10,"('unsympathetic', 'sympathetic')",1.9390805,0.9220158,-1.0170647
11,"('unhelpful', 'helpful')",0.7028634,0.0838155,-0.6190479
12,"('unsupportive', 'supportive')",0.7560547,1.1331126,0.37705790000000006
13,"('impolite', 'polite')",0.8127761,0.3066969,-0.5060792000000001
14,"('antisocial', 'social')",0.553467,0.788768,0.23530099999999998
15,"('boring', 'funny')",0.7118629,0.4369314,-0.27493149999999994
16,"('unpopular', 'popular')",-0.4766384,-0.462346,0.014292400000000038
17,"('nasty', 'nice')",-0.5533166,-0.1390032,0.41431340000000005
18,"('disagreeable', 'welcoming')",0.5070355,1.1388726,0.6318371
19,"('inhospitable', 'hospitable')",-0.0527315,-0.0116711,0.0410604
20,"('rough', 'thoughtful')",-0.1061119,0.0491961,0.155308
21,"('immoral', 'moral')",1.5071,0.5445658,-0.9625342000000001
22,"('untrustworthy', 'trustworthy')",1.2868312,1.1929214,-0.09390980000000004
23,"('insincere', 'sincere')",1.7425877,1.2451408,-0.49744690000000014
24,"('dishonest', 'honest')",1.814209,1.3611521,-0.4530569
25,"('egoistic', 'altruistic')",0.8756086,1.0572161,0.18160750000000003
26,"('hardhearted', 'benevolent')",0.2795589,0.8192438,0.5396848999999999
27,"('hardhearted', 'softhearted')",0.9462941,1.5596916,0.6133975
28,"('disloyal', 'loyal')",-0.1255976,-0.537482,-0.41188440000000004
29,"('unfair', 'fair')",-0.5930524,-0.1565965,0.4364559
30,"('intolerant', 'tolerant')",1.1841125,0.7726905,-0.41142199999999995
31,"('evil', 'good')",-1.0810965,-0.6603475,0.42074899999999993
32,"('unkind', 'kind')",2.1513102,1.7973962,-0.35391400000000006
33,"('wrong', 'right')",-0.3688049,0.3591916,0.7279964999999999
34,"('mean', 'honorable')",0.591524,0.1445474,-0.44697660000000006
35,"('corrupt', 'incorrupt')",-2.8049685,-1.8307102,0.9742583000000002
36,"('hostile', 'amicable')",-0.648218,0.0098325,0.6580505
37,"('fake', 'genuine')",0.9786849,0.6842664,-0.2944184999999999
38,"('untruthful', 'truthful')",-0.1228883,-0.0624305,0.060457800000000006
39,"('exploitative', 'cooperative')",0.3002808,0.9109405,0.6106597
40,"('stingy', 'generous')",1.6340977,1.0687045,-0.5653932000000002
41,"('unforgiving', 'forgiving')",1.2952637,0.6458353,-0.6494284
42,"('unreliable', 'reliable')",0.5854989,0.7481436,0.16264469999999998
43,"('irresponsible', 'responsible')",0.9659993,0.7385204,-0.22747890000000004
44,"('prejudiced', 'unprejudiced')",-1.3370817,-1.3916735,-0.05459180000000008
45,"('incompetent', 'competent')",1.2154487,0.9575813,-0.2578674000000001
46,"('uncompetitive', 'competitive')",1.0045246,0.5468727,-0.4576519000000001
47,"('stupid', 'smart')",1.1473081,0.6651212,-0.4821869000000001
48,"('unintelligent', 'intelligent')",0.9763365,0.4018249,-0.5745116000000001
49,"('unable', 'able')",-0.9585651,-0.3094329,0.6491321999999999
50,"('clumsy', 'skillful')",-0.5598436,-0.3355408,0.22430280000000002
51,"('uneducated', 'educated')",1.669551,1.2131836,-0.4563674
52,"('irrational', 'rational')",-0.4558852,-0.2468605,0.20902469999999998
53,"('uncreative', 'creative')",0.4521967,0.7464069,0.2942102
54,"('incapable', 'capable')",0.5829102,0.095127,-0.48778320000000003
55,"('incompetent', 'clever')",2.0496848,1.4779245,-0.5717603
56,"('impractical', 'practical')",0.9706997,1.0225102,0.05181049999999987
57,"('unimaginative', 'imaginative')",1.24378,0.6417171,-0.6020629000000001
58,"('undiscriminating', 'discriminating')",1.3806303,0.8278336,-0.5527967
59,"('foolish', 'wise')",-0.8383522,-0.5748665,0.26348570000000004
60,"('inefficient', 'efficient')",1.3874784,1.3009838,-0.08649459999999998
61,"('illogical', 'logical')",0.0591373,0.4426412,0.3835039
62,"('incompetent', 'brilliant')",1.2421947,0.9792382,-0.26295650000000004
63,"('unperceptive', 'insightful')",1.1957798,0.7933152,-0.40246459999999995
64,"('shy', 'confident')",-0.404641,-0.8835054,-0.4788644
65,"('insecure', 'secure')",1.5630661,0.5048435,-1.0582226
66,"('inactive', 'active')",-1.5042904,-1.4263382,0.07795219999999992
67,"('doubtful', 'determined')",-1.0832273,-0.9604246,0.12280269999999993
68,"('dependent', 'independent')",-0.4952763,-0.1753688,0.3199075
69,"('lazy', 'industrious')",-2.4937325,-1.3642594,1.1294731000000002
70,"('lethargic', 'energetic')",2.1641648,1.8198374,-0.34432740000000006
71,"('diffident', 'self-confident')",-0.8900257,-0.3892601,0.5007656
72,"('unambitious', 'ambitious')",1.1618413,0.5502133,-0.6116280000000001
73,"('helpless', 'self-reliant')",0.368528,0.457888,0.08936
74,"('undedicated', 'dedicated')",0.8601016,1.684544,0.8244424
75,"('meek', 'impulsive')",-0.3220601,-0.7983174,-0.47625729999999994
76,"('anxious', 'daring')",1.5312756,0.9421393,-0.5891363000000001
77,"('unmotivated', 'motivated')",-0.068932,-0.5986013,-0.5296693
78,"('nonresilient', 'resilient')",-0.978856,-0.4135493,0.5653066999999999
79,"('wavering', 'unwavering')",-0.4490334,-0.4467873,0.0022461000000000286
80,"('dominated', 'dominating')",0.1103866,-0.4420156,-0.5524022
81,"('submissive', 'aggressive')",2.1701749,0.1135081,-2.0566668000000004
82,"('poor', 'rich')",1.885163,1.051818,-0.833345
83,"('powerless', 'powerful')",-0.555973,-0.5639411,-0.007968099999999922
84,"('inferior', 'superior')",0.0791113,-0.3788327,-0.457944
85,"('insignificant', 'prestigious')",-1.0815131,-0.7191056,0.3624075
86,"('uninfluential', 'influential')",1.3069294,1.2028119,-0.10411750000000008
87,"('unsuccessful', 'successful')",0.3286638,-0.1382914,-0.4669552
88,"('low', 'eminent')",1.166647,0.7281053,-0.43854170000000003
