,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.6723555,0.7734757,-0.8988798000000001
1,"('unfriendly', 'friendly')",1.3867268,1.6094551,0.2227283
2,"('unlikable', 'likable')",1.2031442,0.2602895,-0.9428547
3,"('repellent', 'pleasant')",1.2464438,1.3666634,0.12021959999999998
4,"('disliked', 'liked')",-0.6475695,-0.1648861,0.4826834
5,"('distant', 'outgoing')",-0.1375075,0.0387396,0.1762471
6,"('distant', 'open')",-0.444276,-0.2230451,0.2212309
7,"('insensitive', 'sensitive')",1.9287261,1.9358384,0.00711229999999996
8,"('unaffectionate', 'affectionate')",0.6181783,0.8470251,0.22884680000000002
9,"('unaffectionate', 'caring')",0.6637706,1.1474429,0.48367229999999994
10,"('unsympathetic', 'sympathetic')",1.6543568,1.0094036,-0.6449532
11,"('unhelpful', 'helpful')",0.4503953,0.1843899,-0.2660054
12,"('unsupportive', 'supportive')",0.6736647,1.2990143,0.6253496000000001
13,"('impolite', 'polite')",0.6998814,0.4090983,-0.29078309999999996
14,"('antisocial', 'social')",0.4879975,0.8509698,0.3629723
15,"('boring', 'funny')",0.459215,0.3079071,-0.1513079
16,"('unpopular', 'popular')",-0.5608672,-0.4877503,0.07311689999999998
17,"('nasty', 'nice')",-0.803661,-0.3833624,0.42029859999999997
18,"('disagreeable', 'welcoming')",0.708464,1.182079,0.4736150000000001
19,"('inhospitable', 'hospitable')",0.1168072,-0.0146127,-0.1314199
20,"('rough', 'thoughtful')",-0.216115,0.0989483,0.3150633
21,"('immoral', 'moral')",1.3455666,0.6172203,-0.7283462999999999
22,"('untrustworthy', 'trustworthy')",1.2215152,1.1484399,-0.07307529999999995
23,"('insincere', 'sincere')",1.5947734,1.3982678,-0.19650560000000006
24,"('dishonest', 'honest')",1.6610308,1.2883849,-0.3726459
25,"('egoistic', 'altruistic')",0.9765797,0.9586497,-0.01793
26,"('hardhearted', 'benevolent')",0.2171511,0.6100701,0.3929189999999999
27,"('hardhearted', 'softhearted')",0.8491175,1.4469732,0.5978557
28,"('disloyal', 'loyal')",-0.2395477,-0.3888619,-0.14931419999999998
29,"('unfair', 'fair')",-0.749092,-0.2234097,0.5256822999999999
30,"('intolerant', 'tolerant')",1.1869493,0.871834,-0.3151153
31,"('evil', 'good')",-1.1589968,-0.8606796,0.29831719999999995
32,"('unkind', 'kind')",1.7937166,1.6826342,-0.11108239999999991
33,"('wrong', 'right')",-0.5467435,0.1273436,0.6740871
34,"('mean', 'honorable')",0.744408,0.2537446,-0.49066339999999997
35,"('corrupt', 'incorrupt')",-2.6156627,-1.9944654,0.6211973000000002
36,"('hostile', 'amicable')",-0.6643121,-0.2428213,0.42149079999999994
37,"('fake', 'genuine')",0.8897504,0.753824,-0.1359264
38,"('untruthful', 'truthful')",-0.1578394,-0.0426412,0.1151982
39,"('exploitative', 'cooperative')",0.3468701,0.8962725,0.5494024
40,"('stingy', 'generous')",1.6138312,1.120532,-0.4932991999999998
41,"('unforgiving', 'forgiving')",0.9894649,0.6192561,-0.3702088
42,"('unreliable', 'reliable')",0.5653698,0.7903599,0.22499009999999997
43,"('irresponsible', 'responsible')",1.1139926,0.984486,-0.12950660000000003
44,"('prejudiced', 'unprejudiced')",-1.1620654,-1.5106108,-0.3485454000000001
45,"('incompetent', 'competent')",1.0372695,1.0273146,-0.0099549000000001
46,"('uncompetitive', 'competitive')",1.0489198,0.8298903,-0.2190295
47,"('stupid', 'smart')",0.8722651,0.5035562,-0.3687089
48,"('unintelligent', 'intelligent')",0.8811279,0.5078767,-0.3732512
49,"('unable', 'able')",-0.798001,-0.099187,0.6988139999999999
50,"('clumsy', 'skillful')",-0.6322148,-0.2405768,0.39163799999999993
51,"('uneducated', 'educated')",1.4937215,1.206753,-0.28696849999999996
52,"('irrational', 'rational')",-0.6539332,-0.5558544,0.09807880000000002
53,"('uncreative', 'creative')",0.6100623,0.846825,0.2367627000000001
54,"('incapable', 'capable')",0.8082749,0.1646686,-0.6436063000000001
55,"('incompetent', 'clever')",1.9380358,1.6754653,-0.26257050000000004
56,"('impractical', 'practical')",0.836601,1.1127668,0.2761657999999999
57,"('unimaginative', 'imaginative')",1.0530413,0.7176299,-0.3354114
58,"('undiscriminating', 'discriminating')",1.0429094,0.6821683,-0.36074110000000015
