,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.7533765,0.7969084,-0.9564680999999999
1,"('unfriendly', 'friendly')",1.6013687,1.7582164,0.15684769999999992
2,"('unlikable', 'likable')",1.1525617,0.3002523,-0.8523093999999999
3,"('repellent', 'pleasant')",1.496555,1.3943487,-0.10220629999999997
4,"('disliked', 'liked')",-0.6377774,-0.0535031,0.5842743
5,"('distant', 'outgoing')",-0.0007573,0.2823109,0.2830682
6,"('distant', 'open')",-0.198707,0.1300884,0.32879539999999996
7,"('insensitive', 'sensitive')",2.1873594,1.9355316,-0.25182780000000005
8,"('unaffectionate', 'affectionate')",0.8170185,1.0339289,0.21691040000000006
9,"('unaffectionate', 'caring')",0.8523532,1.2583582,0.40600499999999995
10,"('unsympathetic', 'sympathetic')",1.9293254,1.0763381,-0.8529872999999999
11,"('unhelpful', 'helpful')",0.4535596,0.078992,-0.3745676
12,"('unsupportive', 'supportive')",0.7069746,1.169679,0.4627043999999999
13,"('impolite', 'polite')",0.7381532,0.3148922,-0.42326099999999994
14,"('antisocial', 'social')",0.4934037,0.8038652,0.31046149999999995
15,"('boring', 'funny')",0.6821384,0.4960086,-0.1861298
16,"('unpopular', 'popular')",-0.3877456,-0.4455923,-0.05784669999999997
17,"('nasty', 'nice')",-0.6379648,-0.2881691,0.3497957
18,"('disagreeable', 'welcoming')",0.6683329,1.1986511,0.5303182
19,"('inhospitable', 'hospitable')",0.0355182,-0.0260527,-0.0615709
20,"('rough', 'thoughtful')",-0.0883611,0.0773078,0.1656689
21,"('immoral', 'moral')",1.4929761,0.607928,-0.8850480999999999
22,"('untrustworthy', 'trustworthy')",1.2746197,1.1606475,-0.11397219999999986
23,"('insincere', 'sincere')",1.7083664,1.3465319,-0.36183450000000006
24,"('dishonest', 'honest')",1.7471197,1.3882152,-0.35890449999999996
25,"('egoistic', 'altruistic')",0.9811308,1.1046631,0.12353230000000004
26,"('hardhearted', 'benevolent')",0.1374444,0.6677369,0.5302924999999999
27,"('hardhearted', 'softhearted')",1.065653,1.6623216,0.5966686000000001
28,"('disloyal', 'loyal')",-0.0193434,-0.2773335,-0.2579901
29,"('unfair', 'fair')",-0.5865505,-0.1468695,0.439681
30,"('intolerant', 'tolerant')",1.119074,0.7609043,-0.3581696999999999
31,"('evil', 'good')",-0.9744154,-0.6336128,0.34080260000000007
32,"('unkind', 'kind')",2.0061758,1.7992178,-0.20695799999999975
33,"('wrong', 'right')",-0.5428227,0.1669673,0.70979
34,"('mean', 'honorable')",0.7411627,0.266569,-0.47459369999999995
35,"('corrupt', 'incorrupt')",-2.5898667,-1.7929193,0.7969473999999999
36,"('hostile', 'amicable')",-0.4434968,0.0490981,0.4925949
37,"('fake', 'genuine')",0.9914763,0.8231629,-0.16831339999999995
38,"('untruthful', 'truthful')",-0.230147,-0.1647031,0.0654439
39,"('exploitative', 'cooperative')",0.1581481,0.8019537,0.6438056
40,"('stingy', 'generous')",1.9205809,1.3662633,-0.5543176000000001
41,"('unforgiving', 'forgiving')",1.1515633,0.5995077,-0.5520556000000001
42,"('unreliable', 'reliable')",0.7720702,0.9858485,0.21377829999999998
43,"('irresponsible', 'responsible')",1.0725829,0.8664985,-0.20608440000000006
44,"('prejudiced', 'unprejudiced')",-1.3574384,-1.4965232,-0.1390848
45,"('incompetent', 'competent')",1.2157861,1.0408351,-0.17495100000000008
46,"('uncompetitive', 'competitive')",0.9840906,0.6023002,-0.3817904000000001
47,"('stupid', 'smart')",1.0656122,0.6851733,-0.3804388999999999
48,"('unintelligent', 'intelligent')",0.9723667,0.4633983,-0.5089684000000001
49,"('unable', 'able')",-0.8535213,-0.1351385,0.7183828000000001
50,"('clumsy', 'skillful')",-0.5773858,-0.310199,0.26718679999999995
51,"('uneducated', 'educated')",1.5112328,1.1563829,-0.35484989999999983
52,"('irrational', 'rational')",-0.5227914,-0.299835,0.2229564
53,"('uncreative', 'creative')",0.6003242,0.8358047,0.23548049999999998
54,"('incapable', 'capable')",0.7868977,0.2564629,-0.5304348000000001
55,"('incompetent', 'clever')",2.055844,1.6526502,-0.40319379999999994
56,"('impractical', 'practical')",0.8245254,0.9811424,0.156617
57,"('unimaginative', 'imaginative')",1.2478519,0.7593018,-0.4885500999999999
58,"('undiscriminating', 'discriminating')",1.2573681,0.7054124,-0.5519557
59,"('foolish', 'wise')",-0.9780408,-0.6570369,0.3210039
60,"('inefficient', 'efficient')",1.3594891,1.3747691,0.01527999999999996
61,"('illogical', 'logical')",0.1986038,0.5225349,0.3239311
62,"('incompetent', 'brilliant')",1.3838656,1.2035116,-0.18035400000000013
63,"('unperceptive', 'insightful')",1.139507,0.8283566,-0.31115040000000005
64,"('shy', 'confident')",-0.340104,-0.7828862,-0.44278219999999996
65,"('insecure', 'secure')",1.4558454,0.5403558,-0.9154896
66,"('inactive', 'active')",-1.3385066,-1.3150017,0.02350490000000005
67,"('doubtful', 'determined')",-1.0439988,-0.9337789,0.11021990000000004
68,"('dependent', 'independent')",-0.5535685,-0.302232,0.2513365
69,"('lazy', 'industrious')",-2.345128,-1.3799614,0.9651665999999999
70,"('lethargic', 'energetic')",2.2421942,1.9703995,-0.27179470000000006
71,"('diffident', 'self-confident')",-0.6582674,-0.2504487,0.4078186999999999
72,"('unambitious', 'ambitious')",1.1622607,0.5660827,-0.596178
73,"('helpless', 'self-reliant')",0.5172298,0.5483962,0.03116640000000004
74,"('undedicated', 'dedicated')",0.9650541,1.8227143,0.8576601999999999
75,"('meek', 'impulsive')",-0.1755284,-0.7606541,-0.5851257
76,"('anxious', 'daring')",1.5137459,1.0407698,-0.4729760999999999
77,"('unmotivated', 'motivated')",0.075992,-0.5303069,-0.6062989000000001
78,"('nonresilient', 'resilient')",-0.8977011,-0.3955066,0.5021945000000001
79,"('wavering', 'unwavering')",-0.3928295,-0.3971752,-0.004345700000000008
80,"('dominated', 'dominating')",-0.0862564,-0.4587192,-0.3724628
81,"('submissive', 'aggressive')",2.2640772,0.4186871,-1.8453901
82,"('poor', 'rich')",2.1029248,1.2168793,-0.8860454999999998
83,"('powerless', 'powerful')",-0.8103129,-0.8094741,0.0008388000000000284
84,"('inferior', 'superior')",0.017254,-0.4088329,-0.4260869
85,"('insignificant', 'prestigious')",-1.0676377,-0.7871059,0.2805317999999999
86,"('uninfluential', 'influential')",1.4010104,1.2899762,-0.1110342000000002
87,"('unsuccessful', 'successful')",0.2967104,-0.0385303,-0.3352407
88,"('low', 'eminent')",1.0429302,0.7293424,-0.3135878000000001
