,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.5728655,0.6413368,-0.9315287
1,"('unfriendly', 'friendly')",1.6861609,1.9101726,0.22401170000000015
2,"('unlikable', 'likable')",1.0446405,0.194494,-0.8501465000000001
3,"('repellent', 'pleasant')",0.9920894,1.0864687,0.09437929999999994
4,"('disliked', 'liked')",-0.5295726,0.0077169,0.5372895
5,"('distant', 'outgoing')",0.043208,0.3063461,0.2631381
6,"('distant', 'open')",-0.0527811,0.2303792,0.28316030000000003
7,"('insensitive', 'sensitive')",1.849372,1.7266353,-0.12273669999999992
8,"('unaffectionate', 'affectionate')",0.7817266,1.0440907,0.2623640999999999
9,"('unaffectionate', 'caring')",0.7749752,1.2628216,0.4878464000000001
10,"('unsympathetic', 'sympathetic')",1.5946345,0.8407687,-0.7538657999999999
11,"('unhelpful', 'helpful')",0.4015162,-0.0876237,-0.48913989999999996
12,"('unsupportive', 'supportive')",0.7295313,1.1136045,0.3840732000000001
13,"('impolite', 'polite')",0.3196782,-0.0077311,-0.3274093
14,"('antisocial', 'social')",0.5849616,0.9838656,0.39890400000000004
15,"('boring', 'funny')",0.7431551,0.3495294,-0.39362569999999997
16,"('unpopular', 'popular')",-0.3679906,-0.3313865,0.03660410000000003
17,"('nasty', 'nice')",-0.5829078,-0.2643895,0.3185183
18,"('disagreeable', 'welcoming')",0.7758536,1.3548215,0.5789678999999999
19,"('inhospitable', 'hospitable')",-0.2486103,-0.2248287,0.023781600000000014
20,"('rough', 'thoughtful')",0.0712439,0.3623174,0.2910735
21,"('immoral', 'moral')",1.3608472,0.6569379,-0.7039093000000001
22,"('untrustworthy', 'trustworthy')",1.4534596,1.278718,-0.17474159999999994
23,"('insincere', 'sincere')",1.4181169,1.0923901,-0.3257268
24,"('dishonest', 'honest')",1.6709545,1.3791021,-0.2918523999999998
25,"('egoistic', 'altruistic')",0.9695243,1.120576,0.1510517
26,"('hardhearted', 'benevolent')",0.538657,0.9974315,0.4587745
27,"('hardhearted', 'softhearted')",1.101827,1.622912,0.521085
28,"('disloyal', 'loyal')",0.0772506,-0.2017248,-0.2789754
29,"('unfair', 'fair')",-0.4715161,-0.0604594,0.4110567
30,"('intolerant', 'tolerant')",0.9197637,0.5383494,-0.3814143
31,"('evil', 'good')",-0.7504967,-0.4826939,0.2678028
32,"('unkind', 'kind')",1.9803505,1.9156951,-0.06465539999999992
33,"('wrong', 'right')",-0.2169217,0.4591757,0.6760974
34,"('mean', 'honorable')",0.3575027,-0.0991827,-0.4566854
35,"('corrupt', 'incorrupt')",-2.3684304,-1.5201691,0.8482612999999999
36,"('hostile', 'amicable')",-0.266426,0.206986,0.473412
37,"('fake', 'genuine')",1.0517996,0.8690235,-0.1827761000000001
38,"('untruthful', 'truthful')",-0.5309513,-0.4391316,0.0918197
