,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.5241511,0.5539334,-0.9702177000000001
1,"('unfriendly', 'friendly')",1.5634479,1.7861619,0.22271400000000008
2,"('unlikable', 'likable')",1.0471494,0.219043,-0.8281063999999999
3,"('repellent', 'pleasant')",1.0856818,1.0999878,0.014306000000000152
4,"('disliked', 'liked')",-0.5861976,-0.0575832,0.5286143999999999
5,"('distant', 'outgoing')",0.1338085,0.4046024,0.2707939
6,"('distant', 'open')",-0.0484544,0.2381288,0.2865832
7,"('insensitive', 'sensitive')",1.8830088,1.8334668,-0.049541999999999975
8,"('unaffectionate', 'affectionate')",0.7627529,1.0423941,0.27964120000000015
9,"('unaffectionate', 'caring')",0.7576714,1.2208027,0.4631312999999999
10,"('unsympathetic', 'sympathetic')",1.7403651,0.995396,-0.7449691
11,"('unhelpful', 'helpful')",0.3710975,-0.0006001,-0.3716976
12,"('unsupportive', 'supportive')",0.5860052,1.0661154,0.48011019999999993
13,"('impolite', 'polite')",0.7475983,0.3813208,-0.36627750000000003
14,"('antisocial', 'social')",0.3622843,0.7458281,0.3835438
15,"('boring', 'funny')",0.7456532,0.5363513,-0.20930190000000004
16,"('unpopular', 'popular')",-0.3498406,-0.3863282,-0.03648760000000001
17,"('nasty', 'nice')",-0.6247705,-0.2737096,0.3510609
18,"('disagreeable', 'welcoming')",0.5959112,1.117397,0.5214858
19,"('inhospitable', 'hospitable')",0.0809463,0.022246,-0.0587003
20,"('rough', 'thoughtful')",-0.1200482,0.1151021,0.23515029999999998
21,"('immoral', 'moral')",1.3780917,0.617355,-0.7607366999999999
22,"('untrustworthy', 'trustworthy')",1.3183513,1.1758294,-0.14252189999999998
23,"('insincere', 'sincere')",1.5151723,1.2215013,-0.293671
24,"('dishonest', 'honest')",1.6809844,1.3925449,-0.28843949999999996
25,"('egoistic', 'altruistic')",0.8683061,1.0014645,0.1331584
26,"('hardhearted', 'benevolent')",0.3049219,0.8433039,0.5383819999999999
27,"('hardhearted', 'softhearted')",0.9628383,1.5539655,0.5911272000000001
