,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.5036389,0.6195015,-0.8841373999999999
1,"('unfriendly', 'friendly')",1.4890709,1.7955662,0.3064952999999999
2,"('unlikable', 'likable')",1.0159794,0.2575474,-0.758432
3,"('repellent', 'pleasant')",1.151893,1.2429041,0.09101110000000001
4,"('disliked', 'liked')",-0.4701444,-0.004623,0.46552140000000003
5,"('distant', 'outgoing')",0.0904749,0.33823,0.24775509999999998
6,"('distant', 'open')",-0.0372404,0.2463264,0.2835668
7,"('insensitive', 'sensitive')",1.7441173,1.7835909,0.0394736
8,"('unaffectionate', 'affectionate')",0.6586999,0.9877832,0.32908329999999997
9,"('unaffectionate', 'caring')",0.5622169,1.1230582,0.5608413
10,"('unsympathetic', 'sympathetic')",1.5369037,0.9445921,-0.5923116
11,"('unhelpful', 'helpful')",0.0685196,-0.1915505,-0.2600701
12,"('unsupportive', 'supportive')",0.715698,1.1235243,0.4078263
13,"('impolite', 'polite')",0.3989981,0.2128741,-0.186124
14,"('antisocial', 'social')",0.215831,0.5902128,0.3743818
15,"('boring', 'funny')",0.5932593,0.4025769,-0.19068240000000003
16,"('unpopular', 'popular')",-0.4189015,-0.3828677,0.036033800000000005
17,"('nasty', 'nice')",-0.6805352,-0.3873172,0.29321800000000003
18,"('disagreeable', 'welcoming')",0.7981084,1.2125842,0.41447579999999995
19,"('inhospitable', 'hospitable')",-0.1002342,-0.1009495,-0.000715300000000002
20,"('rough', 'thoughtful')",-0.0568104,0.2976639,0.35447429999999996
21,"('immoral', 'moral')",1.2756503,0.6341022,-0.6415481
22,"('untrustworthy', 'trustworthy')",1.2276863,1.0552072,-0.1724791000000001
23,"('insincere', 'sincere')",1.3532788,1.1269325,-0.2263463000000001
24,"('dishonest', 'honest')",1.3491017,1.2513619,-0.09773980000000004
25,"('egoistic', 'altruistic')",0.8776796,0.9696568,0.09197719999999998
26,"('hardhearted', 'benevolent')",0.3661893,0.7942705,0.4280812
27,"('hardhearted', 'softhearted')",1.0442322,1.6656377,0.6214055
28,"('disloyal', 'loyal')",-0.0347618,-0.222016,-0.18725419999999998
29,"('unfair', 'fair')",-0.4468991,-0.0789699,0.3679292
30,"('intolerant', 'tolerant')",0.8192532,0.5114903,-0.30776290000000006
31,"('evil', 'good')",-0.4551493,-0.3812289,0.0739204
32,"('unkind', 'kind')",1.6949052,1.751326,0.05642079999999994
33,"('wrong', 'right')",-0.5775743,0.0736785,0.6512528
34,"('mean', 'honorable')",0.4765828,0.0889731,-0.38760969999999995
35,"('corrupt', 'incorrupt')",-2.2935472,-1.5493681,0.7441791
36,"('hostile', 'amicable')",-0.2122194,0.2367022,0.44892160000000003
37,"('fake', 'genuine')",0.9939373,1.0230951,0.0291577999999999
38,"('untruthful', 'truthful')",-0.6266355,-0.5101554,0.11648009999999998
39,"('exploitative', 'cooperative')",-0.0856625,0.6248341,0.7104965999999999
40,"('stingy', 'generous')",1.9096787,1.3501153,-0.5595634
41,"('unforgiving', 'forgiving')",1.0201889,0.4412731,-0.5789158
42,"('unreliable', 'reliable')",0.9099935,1.1645736,0.2545801
43,"('irresponsible', 'responsible')",0.7841701,0.7129149,-0.07125519999999996
44,"('prejudiced', 'unprejudiced')",-1.3843515,-1.4615439,-0.07719239999999994
45,"('incompetent', 'competent')",0.748492,0.6642524,-0.08423960000000008
46,"('uncompetitive', 'competitive')",0.7284295,0.5153536,-0.21307589999999998
47,"('stupid', 'smart')",0.9498115,0.6028391,-0.34697240000000007
