,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.5119585,0.5758173,-0.9361412
1,"('unfriendly', 'friendly')",1.5044641,1.8135405,0.3090763999999999
2,"('unlikable', 'likable')",0.9734815,0.15729,-0.8161915
3,"('repellent', 'pleasant')",1.164577,1.2148838,0.050306799999999985
4,"('disliked', 'liked')",-0.5773525,-0.0402886,0.5370639
5,"('distant', 'outgoing')",0.0700509,0.3963616,0.32631069999999995
6,"('distant', 'open')",-0.0749825,0.2841417,0.3591242
7,"('insensitive', 'sensitive')",1.8260772,1.7168379,-0.10923930000000004
8,"('unaffectionate', 'affectionate')",0.6144743,0.9185601,0.30408579999999996
9,"('unaffectionate', 'caring')",0.6953896,1.1943879,0.4989982999999999
10,"('unsympathetic', 'sympathetic')",1.5663387,0.7937484,-0.7725903
11,"('unhelpful', 'helpful')",0.2452192,-0.1070927,-0.3523119
12,"('unsupportive', 'supportive')",0.6945749,1.1307999,0.436225
13,"('impolite', 'polite')",0.5116007,0.122139,-0.3894617
14,"('antisocial', 'social')",0.3899745,0.7436134,0.3536389
15,"('boring', 'funny')",0.5682306,0.3937852,-0.17444540000000003
16,"('unpopular', 'popular')",-0.457422,-0.3745346,0.0828874
17,"('nasty', 'nice')",-0.6569666,-0.3039366,0.35302999999999995
18,"('disagreeable', 'welcoming')",0.6021559,1.086528,0.48437209999999997
19,"('inhospitable', 'hospitable')",-0.0987955,-0.0867942,0.012001299999999993
20,"('rough', 'thoughtful')",-0.0690427,0.1744264,0.2434691
21,"('immoral', 'moral')",1.3137436,0.5568947,-0.7568489
22,"('untrustworthy', 'trustworthy')",1.3354898,1.1490399,-0.18644989999999995
23,"('insincere', 'sincere')",1.4783378,1.1454115,-0.3329263
24,"('dishonest', 'honest')",1.5918642,1.2873821,-0.3044821
25,"('egoistic', 'altruistic')",0.941442,1.1035801,0.16213810000000006
26,"('hardhearted', 'benevolent')",0.3304568,0.8346284,0.5041716
27,"('hardhearted', 'softhearted')",0.9358543,1.4771323,0.541278
28,"('disloyal', 'loyal')",-0.2242453,-0.4140256,-0.18978029999999999
29,"('unfair', 'fair')",-0.4250369,-0.041295,0.38374189999999997
30,"('intolerant', 'tolerant')",0.8993207,0.5065501,-0.39277059999999997
31,"('evil', 'good')",-0.735837,-0.3616186,0.37421839999999995
32,"('unkind', 'kind')",1.6481617,1.6356045,-0.012557200000000046
33,"('wrong', 'right')",-0.3171055,0.2755279,0.5926334
34,"('mean', 'honorable')",0.3961287,-0.012478,-0.4086067
35,"('corrupt', 'incorrupt')",-2.4040858,-1.5654785,0.8386072999999998
36,"('hostile', 'amicable')",-0.4365119,0.0773239,0.5138358000000001
37,"('fake', 'genuine')",0.9130268,0.8517214,-0.061305400000000065
38,"('untruthful', 'truthful')",-0.4258797,-0.3103358,0.11554390000000003
39,"('exploitative', 'cooperative')",0.0919317,0.7138239,0.6218922
40,"('stingy', 'generous')",1.9235615,1.3537065,-0.569855
41,"('unforgiving', 'forgiving')",0.9421888,0.4120584,-0.5301304
42,"('unreliable', 'reliable')",0.7067239,0.8716408,0.16491690000000003
43,"('irresponsible', 'responsible')",0.9168371,0.7569062,-0.1599309
44,"('prejudiced', 'unprejudiced')",-1.3646819,-1.5288257,-0.16414380000000017
45,"('incompetent', 'competent')",0.950325,0.8527545,-0.0975705
46,"('uncompetitive', 'competitive')",0.8968161,0.549581,-0.3472351
47,"('stupid', 'smart')",0.931557,0.4994422,-0.43211479999999997
48,"('unintelligent', 'intelligent')",0.8456222,0.4085591,-0.4370631
49,"('unable', 'able')",-1.0259435,-0.3832439,0.6426995999999998
50,"('clumsy', 'skillful')",-0.6446638,-0.285329,0.3593348
51,"('uneducated', 'educated')",1.328171,1.0521074,-0.2760636000000001
52,"('irrational', 'rational')",-0.4565974,-0.2227785,0.2338189
53,"('uncreative', 'creative')",0.5924006,0.8813907,0.2889900999999999
54,"('incapable', 'capable')",0.8111014,0.2972235,-0.5138779
55,"('incompetent', 'clever')",1.8354658,1.4508911,-0.38457469999999994
56,"('impractical', 'practical')",0.5685229,0.7280352,0.15951229999999994
57,"('unimaginative', 'imaginative')",1.1888594,0.6732452,-0.5156141999999999
58,"('undiscriminating', 'discriminating')",1.3238367,0.8303385,-0.4934982
59,"('foolish', 'wise')",-0.8604406,-0.6016924,0.2587482
60,"('inefficient', 'efficient')",1.1957163,1.1798919,-0.01582439999999985
61,"('illogical', 'logical')",0.0975409,0.4129352,0.3153943
62,"('incompetent', 'brilliant')",1.1119634,0.924504,-0.18745940000000005
63,"('unperceptive', 'insightful')",0.9696745,0.7539044,-0.21577009999999996
64,"('shy', 'confident')",-0.1810056,-0.7051146,-0.524109
65,"('insecure', 'secure')",1.4148415,0.4752709,-0.9395706000000001
66,"('inactive', 'active')",-1.4673105,-1.2969176,0.17039289999999996
67,"('doubtful', 'determined')",-1.3289403,-1.1381025,0.19083779999999995
68,"('dependent', 'independent')",-0.5188204,-0.2774082,0.24141219999999997
69,"('lazy', 'industrious')",-2.1089227,-1.1317963,0.9771264
70,"('lethargic', 'energetic')",1.9313968,1.6952368,-0.23615999999999993
71,"('diffident', 'self-confident')",-0.7461632,-0.3410512,0.405112
72,"('unambitious', 'ambitious')",1.1383217,0.632815,-0.5055067000000001
73,"('helpless', 'self-reliant')",0.6627714,0.6963163,0.03354489999999999
74,"('undedicated', 'dedicated')",0.7928523,1.6467686,0.8539163
75,"('meek', 'impulsive')",-0.2594851,-0.7554803,-0.49599519999999997
76,"('anxious', 'daring')",1.2841626,0.8633837,-0.42077889999999996
77,"('unmotivated', 'motivated')",0.1959137,-0.4424661,-0.6383797999999999
78,"('nonresilient', 'resilient')",-0.7217532,-0.1640159,0.5577373
79,"('wavering', 'unwavering')",-0.470496,-0.3978157,0.07268030000000003
80,"('dominated', 'dominating')",-0.1110538,-0.4889487,-0.37789490000000003
81,"('submissive', 'aggressive')",1.874591,0.0862415,-1.7883494999999998
82,"('poor', 'rich')",1.5997824,0.9408763,-0.6589061
83,"('powerless', 'powerful')",-0.9704667,-0.8931302,0.07733650000000003
84,"('inferior', 'superior')",0.0869215,-0.3686497,-0.4555712
85,"('insignificant', 'prestigious')",-0.8874974,-0.6409653,0.24653210000000003
86,"('uninfluential', 'influential')",1.0466606,1.0716954,0.025034800000000024
87,"('unsuccessful', 'successful')",0.1328371,-0.1077639,-0.240601
88,"('low', 'eminent')",0.6471694,0.5502485,-0.09692089999999998
