,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.5472576,0.6276274,-0.9196302000000001
1,"('unfriendly', 'friendly')",1.6351088,1.8754062,0.2402974
2,"('unlikable', 'likable')",1.0879833,0.2177532,-0.8702301000000001
3,"('repellent', 'pleasant')",1.1481195,1.201641,0.0535215
4,"('disliked', 'liked')",-0.6454008,-0.0815513,0.5638495
5,"('distant', 'outgoing')",0.1009389,0.3828993,0.2819604
6,"('distant', 'open')",-0.0588023,0.2407978,0.29960010000000004
7,"('insensitive', 'sensitive')",1.894159,1.8179856,-0.07617339999999984
8,"('unaffectionate', 'affectionate')",0.7811575,1.009776,0.22861850000000006
9,"('unaffectionate', 'caring')",0.8590402,1.2869238,0.42788360000000003
10,"('unsympathetic', 'sympathetic')",1.8237859,1.0654103,-0.7583756000000001
11,"('unhelpful', 'helpful')",0.3187222,-0.0121489,-0.33087110000000003
12,"('unsupportive', 'supportive')",0.7188292,1.1759529,0.4571237
13,"('impolite', 'polite')",0.5892051,0.2700553,-0.31914980000000004
14,"('antisocial', 'social')",0.2467372,0.6759041,0.4291669
15,"('boring', 'funny')",0.6209532,0.4338131,-0.18714009999999998
16,"('unpopular', 'popular')",-0.4110231,-0.3610233,0.04999979999999998
17,"('nasty', 'nice')",-0.762041,-0.4128599,0.34918109999999997
18,"('disagreeable', 'welcoming')",0.6776361,1.1375896,0.4599535000000001
19,"('inhospitable', 'hospitable')",0.1081944,0.0420409,-0.0661535
20,"('rough', 'thoughtful')",-0.1819713,0.0845044,0.2664757
21,"('immoral', 'moral')",1.3116663,0.5741415,-0.7375248
22,"('untrustworthy', 'trustworthy')",1.4078732,1.2438659,-0.16400729999999997
23,"('insincere', 'sincere')",1.5171883,1.2151216,-0.3020666999999999
24,"('dishonest', 'honest')",1.6280821,1.3670634,-0.26101870000000016
25,"('egoistic', 'altruistic')",0.9554682,1.0611393,0.10567110000000002
26,"('hardhearted', 'benevolent')",0.3741268,0.8289733,0.45484650000000004
27,"('hardhearted', 'softhearted')",1.0009104,1.5675405,0.5666301
28,"('disloyal', 'loyal')",-0.097637,-0.3294886,-0.23185160000000002
29,"('unfair', 'fair')",-0.5410498,-0.1359288,0.40512100000000006
30,"('intolerant', 'tolerant')",0.806751,0.4549859,-0.3517651
31,"('evil', 'good')",-0.8666635,-0.4752482,0.3914153
32,"('unkind', 'kind')",1.7696642,1.7402547,-0.02940950000000009
33,"('wrong', 'right')",-0.3093444,0.2844067,0.5937511
34,"('mean', 'honorable')",0.5666097,0.154472,-0.4121377
35,"('corrupt', 'incorrupt')",-2.3419821,-1.6231,0.7188821000000001
36,"('hostile', 'amicable')",-0.3242312,0.1033054,0.4275366
37,"('fake', 'genuine')",0.9722276,0.8678471,-0.10438049999999999
38,"('untruthful', 'truthful')",-0.4166889,-0.3297356,0.08695329999999996
39,"('exploitative', 'cooperative')",0.0703926,0.7228264,0.6524338
40,"('stingy', 'generous')",1.9541803,1.4410249,-0.5131554
41,"('unforgiving', 'forgiving')",0.9475051,0.4323169,-0.5151882
42,"('unreliable', 'reliable')",1.0528859,1.2421279,0.18924200000000013
43,"('irresponsible', 'responsible')",0.9668819,0.7950348,-0.17184709999999992
44,"('prejudiced', 'unprejudiced')",-1.3935958,-1.6054922,-0.2118964000000001
45,"('incompetent', 'competent')",0.9501943,0.8947382,-0.05545610000000001
46,"('uncompetitive', 'competitive')",0.9225859,0.6199859,-0.3026
47,"('stupid', 'smart')",0.9907059,0.56686,-0.4238459
48,"('unintelligent', 'intelligent')",0.9683042,0.5270095,-0.44129469999999993
49,"('unable', 'able')",-0.9364691,-0.3315646,0.6049045000000001
50,"('clumsy', 'skillful')",-0.4813165,-0.1761884,0.3051281
51,"('uneducated', 'educated')",1.5312433,1.297391,-0.23385230000000012
52,"('irrational', 'rational')",-0.5043494,-0.3266114,0.17773799999999995
53,"('uncreative', 'creative')",0.7510871,0.9745453,0.22345819999999994
54,"('incapable', 'capable')",0.9689919,0.3924879,-0.576504
55,"('incompetent', 'clever')",1.882774,1.5270856,-0.3556884
56,"('impractical', 'practical')",0.6565277,0.8522206,0.19569289999999995
57,"('unimaginative', 'imaginative')",1.3341226,0.8464955,-0.4876271
58,"('undiscriminating', 'discriminating')",1.4447705,0.9267072,-0.5180633
59,"('foolish', 'wise')",-0.9137154,-0.6754629,0.23825249999999998
60,"('inefficient', 'efficient')",1.2140826,1.241871,0.027788399999999935
61,"('illogical', 'logical')",0.1968581,0.5480835,0.3512253999999999
62,"('incompetent', 'brilliant')",1.2264345,1.0784556,-0.14797890000000002
63,"('unperceptive', 'insightful')",1.1032715,0.8959931,-0.20727839999999997
64,"('shy', 'confident')",-0.3299367,-0.7775018,-0.4475651
65,"('insecure', 'secure')",1.420241,0.5734614,-0.8467796000000001
66,"('inactive', 'active')",-1.2666811,-1.158954,0.10772709999999996
67,"('doubtful', 'determined')",-1.1881338,-1.1020919,0.0860418999999999
68,"('dependent', 'independent')",-0.5152286,-0.2868308,0.22839780000000004
69,"('lazy', 'industrious')",-2.2039582,-1.2808359,0.9231223000000002
70,"('lethargic', 'energetic')",2.3039465,2.0762098,-0.2277366999999999
71,"('diffident', 'self-confident')",-0.7354166,-0.3358732,0.3995434
72,"('unambitious', 'ambitious')",1.1496066,0.6604144,-0.4891922000000001
73,"('helpless', 'self-reliant')",0.5597627,0.6021193,0.04235660000000008
74,"('undedicated', 'dedicated')",0.881204,1.7206469,0.8394429
75,"('meek', 'impulsive')",-0.3064657,-0.8181025,-0.5116368
76,"('anxious', 'daring')",1.3670365,0.9146937,-0.45234279999999993
77,"('unmotivated', 'motivated')",0.2489609,-0.3663798,-0.6153407
78,"('nonresilient', 'resilient')",-0.6805158,-0.2049784,0.4755374
79,"('wavering', 'unwavering')",-0.238585,-0.2515641,-0.012979100000000021
80,"('dominated', 'dominating')",-0.0681746,-0.4070451,-0.33887049999999996
81,"('submissive', 'aggressive')",2.1110288,0.4352171,-1.6758117000000001
82,"('poor', 'rich')",1.7215081,1.049434,-0.6720741000000001
83,"('powerless', 'powerful')",-1.0169291,-0.9941279,0.022801200000000077
84,"('inferior', 'superior')",0.0991284,-0.3303683,-0.4294967
85,"('insignificant', 'prestigious')",-0.8045097,-0.5868461,0.21766359999999996
86,"('uninfluential', 'influential')",1.2579732,1.2769314,0.018958200000000147
87,"('unsuccessful', 'successful')",0.1699947,0.0016263,-0.1683684
88,"('low', 'eminent')",0.8888561,0.7648841,-0.12397200000000008
