,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.2815367,0.3932184,-0.8883182999999999
1,"('unfriendly', 'friendly')",1.8451259,2.0114331,0.1663072000000001
2,"('unlikable', 'likable')",0.9259588,0.092352,-0.8336068
3,"('repellent', 'pleasant')",1.0193579,1.0960975,0.07673960000000002
4,"('disliked', 'liked')",-0.4375042,0.0151033,0.4526075
5,"('distant', 'outgoing')",0.1983465,0.3503467,0.1520002
6,"('distant', 'open')",0.0670882,0.2332291,0.16614089999999998
7,"('insensitive', 'sensitive')",1.6802716,1.6816021,0.0013305000000001233
8,"('unaffectionate', 'affectionate')",0.8142422,0.94014,0.12589779999999995
9,"('unaffectionate', 'caring')",0.6875574,1.0936517,0.4060942999999999
10,"('unsympathetic', 'sympathetic')",1.4678151,0.8547085,-0.6131066
11,"('unhelpful', 'helpful')",0.4175732,0.0458967,-0.37167649999999997
12,"('unsupportive', 'supportive')",0.5797358,1.0017302,0.4219943999999999
13,"('impolite', 'polite')",0.4839527,0.2426583,-0.24129440000000002
14,"('antisocial', 'social')",0.203924,0.6490851,0.4451611
15,"('boring', 'funny')",0.7382998,0.450609,-0.28769079999999997
16,"('unpopular', 'popular')",-0.3995756,-0.4429874,-0.0434118
17,"('nasty', 'nice')",-0.7864908,-0.4779715,0.30851930000000005
18,"('disagreeable', 'welcoming')",0.614332,1.0276334,0.41330140000000004
19,"('inhospitable', 'hospitable')",0.0318908,-0.0370979,-0.0689887
20,"('rough', 'thoughtful')",-0.0186425,0.2540513,0.2726938
21,"('immoral', 'moral')",1.2881093,0.6343017,-0.6538075999999999
22,"('untrustworthy', 'trustworthy')",1.2533712,1.1534696,-0.09990159999999992
23,"('insincere', 'sincere')",1.4512479,1.1919344,-0.2593135
24,"('dishonest', 'honest')",1.8342817,1.5824951,-0.25178659999999997
25,"('egoistic', 'altruistic')",1.0229616,1.0557494,0.032787800000000145
26,"('hardhearted', 'benevolent')",0.5246237,0.9378587,0.413235
27,"('hardhearted', 'softhearted')",1.0908327,1.6071754,0.5163427
28,"('disloyal', 'loyal')",-0.0574373,-0.3774665,-0.3200292
29,"('unfair', 'fair')",-0.4676405,-0.1242768,0.3433637
30,"('intolerant', 'tolerant')",0.7556442,0.4474291,-0.30821509999999996
31,"('evil', 'good')",-0.4789823,-0.3318394,0.14714290000000002
32,"('unkind', 'kind')",1.6991793,1.6661379,-0.03304139999999989
33,"('wrong', 'right')",-0.2289345,0.3300833,0.5590178
34,"('mean', 'honorable')",0.547978,0.11487,-0.43310799999999994
35,"('corrupt', 'incorrupt')",-2.0416938,-1.4132867,0.6284071
36,"('hostile', 'amicable')",-0.0709291,0.28984,0.36076909999999995
37,"('fake', 'genuine')",1.1925494,1.1624165,-0.03013290000000013
38,"('untruthful', 'truthful')",-0.3314793,-0.2555575,0.07592179999999998
39,"('exploitative', 'cooperative')",0.1140313,0.7529576,0.6389263000000001
40,"('stingy', 'generous')",1.8465565,1.3089775,-0.537579
41,"('unforgiving', 'forgiving')",0.9845341,0.378203,-0.6063311
42,"('unreliable', 'reliable')",0.7871765,1.0466646,0.2594881
43,"('irresponsible', 'responsible')",0.8061584,0.6934899,-0.11266850000000006
44,"('prejudiced', 'unprejudiced')",-1.199286,-1.3333989,-0.13411289999999987
45,"('incompetent', 'competent')",0.8843619,0.8618368,-0.022525100000000076
46,"('uncompetitive', 'competitive')",0.6903055,0.4492948,-0.24101070000000002
47,"('stupid', 'smart')",0.8421124,0.4308116,-0.41130079999999997
48,"('unintelligent', 'intelligent')",0.8672174,0.4501974,-0.41702
49,"('unable', 'able')",-1.1350818,-0.5947701,0.5403117000000001
50,"('clumsy', 'skillful')",-0.524305,-0.2833419,0.24096310000000004
51,"('uneducated', 'educated')",1.2551714,1.0710257,-0.18414569999999997
52,"('irrational', 'rational')",-0.267691,-0.2146441,0.05304690000000001
53,"('uncreative', 'creative')",0.6635567,0.9231383,0.25958159999999997
54,"('incapable', 'capable')",0.7676848,0.2941111,-0.47357369999999993
55,"('incompetent', 'clever')",1.4969553,1.2427758,-0.2541795
56,"('impractical', 'practical')",0.4593422,0.7278174,0.26847519999999997
57,"('unimaginative', 'imaginative')",1.1937943,0.7595711,-0.4342231999999999
58,"('undiscriminating', 'discriminating')",1.1442367,0.6947373,-0.4494994
59,"('foolish', 'wise')",-0.9025748,-0.7925876,0.10998720000000006
60,"('inefficient', 'efficient')",0.8371222,1.0198234,0.1827011999999999
61,"('illogical', 'logical')",-0.1202547,0.1817788,0.3020335
62,"('incompetent', 'brilliant')",0.89509,0.8666064,-0.028483600000000053
63,"('unperceptive', 'insightful')",0.9151161,0.7074792,-0.2076369
64,"('shy', 'confident')",-0.5640146,-0.9708763,-0.4068617
65,"('insecure', 'secure')",1.093016,0.3143599,-0.7786561
66,"('inactive', 'active')",-1.5558664,-1.5104869,0.045379499999999906
67,"('doubtful', 'determined')",-1.4119505,-1.271618,0.1403325000000002
68,"('dependent', 'independent')",-0.7870853,-0.552527,0.2345583
69,"('lazy', 'industrious')",-2.0322702,-1.2712017,0.7610685000000001
70,"('lethargic', 'energetic')",1.8480179,1.8048707,-0.04314720000000016
71,"('diffident', 'self-confident')",-0.9016207,-0.629797,0.2718237
72,"('unambitious', 'ambitious')",0.8858327,0.4371352,-0.4486975
73,"('helpless', 'self-reliant')",0.6013081,0.7075082,0.10620010000000002
74,"('undedicated', 'dedicated')",0.6891452,1.4312085,0.7420633000000001
75,"('meek', 'impulsive')",-0.2607566,-0.7648277,-0.5040711
76,"('anxious', 'daring')",1.1854467,0.8761475,-0.3092992
77,"('unmotivated', 'motivated')",0.100008,-0.4395793,-0.5395873
78,"('nonresilient', 'resilient')",-0.9712482,-0.5218191,0.4494291
