,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.5721858,0.5404033,-1.0317824999999998
1,"('unfriendly', 'friendly')",1.2158785,1.6681077,0.4522291999999999
2,"('unlikable', 'likable')",1.1072817,0.2953283,-0.8119533999999999
3,"('repellent', 'pleasant')",1.1385444,1.1799383,0.041393900000000095
4,"('disliked', 'liked')",-0.7679912,-0.163789,0.6042022
5,"('distant', 'outgoing')",-0.3427876,0.1328964,0.475684
6,"('distant', 'open')",-0.5400695,0.0048848,0.5449543
7,"('insensitive', 'sensitive')",1.9187947,1.8179439,-0.10085080000000013
8,"('unaffectionate', 'affectionate')",0.5079601,0.9607461,0.452786
9,"('unaffectionate', 'caring')",0.5370994,1.1293612,0.5922618
10,"('unsympathetic', 'sympathetic')",1.8666134,0.9734486,-0.8931648000000001
11,"('unhelpful', 'helpful')",0.6590711,0.0965812,-0.5624899
12,"('unsupportive', 'supportive')",0.6192928,1.1458118,0.526519
13,"('impolite', 'polite')",0.8752404,0.3359505,-0.5392899
14,"('antisocial', 'social')",0.4912782,0.7304576,0.23917940000000004
15,"('boring', 'funny')",0.5292732,0.3401576,-0.1891156
16,"('unpopular', 'popular')",-0.365612,-0.2983003,0.06731169999999997
17,"('nasty', 'nice')",-0.4846697,-0.1714391,0.31323059999999997
18,"('disagreeable', 'welcoming')",0.5558727,1.2297355,0.6738628000000001
19,"('inhospitable', 'hospitable')",-0.0350367,-0.0650634,-0.030026699999999996
20,"('rough', 'thoughtful')",-0.2947292,-0.0398291,0.2549001
21,"('immoral', 'moral')",1.5131032,0.604318,-0.9087852
22,"('untrustworthy', 'trustworthy')",1.1914711,0.9757976,-0.21567349999999996
23,"('insincere', 'sincere')",1.7947778,1.3709881,-0.42378970000000016
24,"('dishonest', 'honest')",1.6488074,1.2661664,-0.382641
25,"('egoistic', 'altruistic')",0.7944337,1.0195365,0.22510280000000005
26,"('hardhearted', 'benevolent')",0.2375763,0.8680316,0.6304553
27,"('hardhearted', 'softhearted')",0.6901597,1.3743999,0.6842402
28,"('disloyal', 'loyal')",-0.1161329,-0.3688804,-0.2527475
29,"('unfair', 'fair')",-0.6580258,-0.1961394,0.46188640000000003
30,"('intolerant', 'tolerant')",1.2595262,0.7382688,-0.5212574000000001
31,"('evil', 'good')",-1.1081675,-0.6458202,0.4623473
32,"('unkind', 'kind')",1.9529929,1.7675291,-0.18546379999999996
33,"('wrong', 'right')",-0.5755382,0.1483511,0.7238893
34,"('mean', 'honorable')",0.7191902,0.2657794,-0.4534108
35,"('corrupt', 'incorrupt')",-2.6618588,-1.8099939,0.8518649
36,"('hostile', 'amicable')",-0.6972067,0.0070203,0.7042269999999999
37,"('fake', 'genuine')",0.8209781,0.6157729,-0.2052052000000001
38,"('untruthful', 'truthful')",-0.1332544,-0.0909347,0.0423197
39,"('exploitative', 'cooperative')",0.2624973,0.7685502,0.5060529
40,"('stingy', 'generous')",1.4170572,0.9992072,-0.41784999999999994
41,"('unforgiving', 'forgiving')",1.1005209,0.650294,-0.4502269
42,"('unreliable', 'reliable')",0.6641387,0.8126608,0.1485221
43,"('irresponsible', 'responsible')",1.0701166,0.8360791,-0.2340375
44,"('prejudiced', 'unprejudiced')",-1.3210453,-1.5219896,-0.20094429999999996
45,"('incompetent', 'competent')",0.9108012,0.8343446,-0.07645659999999999
46,"('uncompetitive', 'competitive')",0.954799,0.5821406,-0.37265839999999995
47,"('stupid', 'smart')",0.9270049,0.4850506,-0.4419543
48,"('unintelligent', 'intelligent')",1.0675766,0.5869861,-0.48059050000000003
49,"('unable', 'able')",-0.7985221,-0.1934863,0.6050358
50,"('clumsy', 'skillful')",-0.6583748,-0.2884306,0.36994420000000006
51,"('uneducated', 'educated')",1.6012765,1.1916954,-0.40958110000000003
52,"('irrational', 'rational')",-0.6175571,-0.3426431,0.274914
53,"('uncreative', 'creative')",0.5313717,0.8846009,0.3532292
54,"('incapable', 'capable')",0.8327958,0.310686,-0.5221098
55,"('incompetent', 'clever')",1.9397122,1.4711743,-0.46853790000000006
56,"('impractical', 'practical')",0.9272464,1.0227623,0.09551589999999988
57,"('unimaginative', 'imaginative')",1.0586383,0.616113,-0.4425252999999999
58,"('undiscriminating', 'discriminating')",1.1082131,0.7255468,-0.3826662999999999
59,"('foolish', 'wise')",-1.0188783,-0.7203477,0.29853059999999987
60,"('inefficient', 'efficient')",1.4934418,1.4004576,-0.09298420000000007
61,"('illogical', 'logical')",0.1685377,0.4513453,0.2828076
62,"('incompetent', 'brilliant')",1.1955984,0.9586222,-0.23697619999999997
63,"('unperceptive', 'insightful')",1.0072172,0.7546409,-0.2525763
64,"('shy', 'confident')",-0.2852381,-0.8676357,-0.5823976
65,"('insecure', 'secure')",1.6184024,0.5141332,-1.1042692
66,"('inactive', 'active')",-1.8156283,-1.6112714,0.20435690000000006
67,"('doubtful', 'determined')",-1.0678504,-0.9783774,0.08947300000000002
68,"('dependent', 'independent')",-0.3754419,-0.1551413,0.22030059999999999
69,"('lazy', 'industrious')",-2.3384746,-1.2303218,1.1081528
70,"('lethargic', 'energetic')",1.7861599,1.5323021,-0.2538578
71,"('diffident', 'self-confident')",-0.8981169,-0.4070593,0.4910576
72,"('unambitious', 'ambitious')",1.1818666,0.6689634,-0.5129032
73,"('helpless', 'self-reliant')",0.323855,0.4010927,0.07723770000000002
74,"('undedicated', 'dedicated')",0.7645332,1.6677686,0.9032354
75,"('meek', 'impulsive')",-0.2606884,-0.6984024,-0.437714
76,"('anxious', 'daring')",1.5891631,0.9964084,-0.5927547
77,"('unmotivated', 'motivated')",0.1733933,-0.4785454,-0.6519387
78,"('nonresilient', 'resilient')",-0.8918264,-0.2891035,0.6027229000000001
79,"('wavering', 'unwavering')",-0.4181407,-0.3425081,0.0756326
80,"('dominated', 'dominating')",-0.2057125,-0.7721057,-0.5663932
81,"('submissive', 'aggressive')",2.3267455,0.288342,-2.0384035
82,"('poor', 'rich')",1.9441922,1.287859,-0.6563332
83,"('powerless', 'powerful')",-0.7763477,-0.731779,0.04456870000000002
84,"('inferior', 'superior')",-0.052179,-0.4436856,-0.39150660000000004
85,"('insignificant', 'prestigious')",-0.7871988,-0.3908668,0.39633199999999996
86,"('uninfluential', 'influential')",1.1712758,1.2430918,0.07181599999999988
87,"('unsuccessful', 'successful')",0.1011428,-0.2808169,-0.3819597
88,"('low', 'eminent')",1.1324083,0.9166859,-0.21572239999999998
