,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.8053175,0.872732,-0.9325855
1,"('unfriendly', 'friendly')",1.8356508,2.094058,0.25840719999999995
2,"('unlikable', 'likable')",1.0962748,0.3456855,-0.7505893
3,"('repellent', 'pleasant')",1.3245769,1.500942,0.17636509999999994
4,"('disliked', 'liked')",-0.458277,0.0543934,0.5126704
5,"('distant', 'outgoing')",0.239211,0.4592487,0.2200377
6,"('distant', 'open')",0.1236341,0.463078,0.3394439
7,"('insensitive', 'sensitive')",1.9147263,1.8652917,-0.049434600000000106
8,"('unaffectionate', 'affectionate')",0.7113137,0.988799,0.27748529999999993
9,"('unaffectionate', 'caring')",0.9446378,1.3158368,0.37119900000000006
10,"('unsympathetic', 'sympathetic')",1.8310699,1.0752937,-0.7557761999999999
11,"('unhelpful', 'helpful')",0.3020844,-0.0336366,-0.335721
12,"('unsupportive', 'supportive')",0.8880081,1.2750007,0.38699260000000013
13,"('impolite', 'polite')",0.5491605,0.235545,-0.31361550000000005
14,"('antisocial', 'social')",0.18174,0.4400929,0.2583529
15,"('boring', 'funny')",0.5244739,0.3593433,-0.16513060000000007
16,"('unpopular', 'popular')",-0.2944236,-0.1395509,0.1548727
17,"('nasty', 'nice')",-0.358899,-0.1330719,0.22582710000000003
18,"('disagreeable', 'welcoming')",0.6795449,1.2046118,0.5250668999999999
19,"('inhospitable', 'hospitable')",0.1278349,0.0611615,-0.0666734
20,"('rough', 'thoughtful')",-0.3769546,-0.0349983,0.3419563
21,"('immoral', 'moral')",1.3647738,0.5789926,-0.7857812000000001
22,"('untrustworthy', 'trustworthy')",1.0880984,0.9244975,-0.16360090000000005
23,"('insincere', 'sincere')",1.5863793,1.3153504,-0.2710288999999999
24,"('dishonest', 'honest')",1.5669733,1.3366651,-0.23030819999999985
25,"('egoistic', 'altruistic')",1.0416508,1.2224373,0.18078649999999996
26,"('hardhearted', 'benevolent')",0.377538,0.709201,0.331663
27,"('hardhearted', 'softhearted')",1.1558558,1.8385782,0.6827223999999998
28,"('disloyal', 'loyal')",0.1956935,-0.0115676,-0.2072611
29,"('unfair', 'fair')",-0.3929532,0.0653656,0.4583188
30,"('intolerant', 'tolerant')",0.993141,0.5785654,-0.41457560000000004
31,"('evil', 'good')",-0.4900598,-0.2458768,0.24418299999999998
