,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.8877885,0.9513814,-0.9364071
1,"('unfriendly', 'friendly')",1.6465424,1.8964354,0.24989300000000014
2,"('unlikable', 'likable')",1.0307335,0.296262,-0.7344714999999999
3,"('repellent', 'pleasant')",1.3195835,1.4793334,0.1597499
4,"('disliked', 'liked')",-0.5336107,-0.0363905,0.4972202
5,"('distant', 'outgoing')",0.0886333,0.2846624,0.19602909999999998
6,"('distant', 'open')",-0.0070206,0.3130096,0.3200302
7,"('insensitive', 'sensitive')",1.9706455,1.842859,-0.12778650000000003
8,"('unaffectionate', 'affectionate')",0.7093796,0.9481643,0.23878469999999996
9,"('unaffectionate', 'caring')",0.8842871,1.2217208,0.33743369999999995
10,"('unsympathetic', 'sympathetic')",2.1303167,1.2673262,-0.8629904999999998
11,"('unhelpful', 'helpful')",0.4008263,0.0270796,-0.37374670000000004
12,"('unsupportive', 'supportive')",0.8537562,1.22465,0.37089380000000005
13,"('impolite', 'polite')",0.6197547,0.3484771,-0.2712776
14,"('antisocial', 'social')",0.3899406,0.6420974,0.2521568
15,"('boring', 'funny')",0.5900699,0.3404604,-0.24960950000000004
16,"('unpopular', 'popular')",-0.483857,-0.253915,0.22994199999999998
17,"('nasty', 'nice')",-0.2710651,-0.0480694,0.22299570000000002
18,"('disagreeable', 'welcoming')",0.5551564,1.1770281,0.6218717
19,"('inhospitable', 'hospitable')",-0.0163403,-0.0770667,-0.0607264
20,"('rough', 'thoughtful')",-0.2927086,-0.012737,0.2799716
21,"('immoral', 'moral')",1.4162954,0.6476668,-0.7686286000000001
22,"('untrustworthy', 'trustworthy')",1.2179917,1.0279239,-0.1900678
23,"('insincere', 'sincere')",1.5062145,1.2583472,-0.2478673
24,"('dishonest', 'honest')",1.6864292,1.401281,-0.2851482000000001
25,"('egoistic', 'altruistic')",0.8479293,1.0791231,0.2311937999999999
26,"('hardhearted', 'benevolent')",0.4753452,0.7654152,0.29006999999999994
27,"('hardhearted', 'softhearted')",1.1331732,1.7993185,0.6661452999999999
28,"('disloyal', 'loyal')",0.2821069,-0.0106736,-0.2927805
29,"('unfair', 'fair')",-0.4535669,-0.0142004,0.4393665
30,"('intolerant', 'tolerant')",1.0866033,0.6724354,-0.4141678999999999
31,"('evil', 'good')",-0.7480667,-0.4916456,0.25642109999999996
32,"('unkind', 'kind')",2.023876,1.9586486,-0.06522739999999994
33,"('wrong', 'right')",-0.56103,0.1292498,0.6902798
34,"('mean', 'honorable')",0.498038,0.1821699,-0.3158681
35,"('corrupt', 'incorrupt')",-2.3690271,-1.6881043,0.6809227999999998
36,"('hostile', 'amicable')",-0.3754933,0.2377513,0.6132446
37,"('fake', 'genuine')",0.9132361,0.7514682,-0.16176789999999996
38,"('untruthful', 'truthful')",-0.2904924,-0.2187319,0.07176049999999998
39,"('exploitative', 'cooperative')",-0.0536202,0.484112,0.5377322
