,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.5091055,0.6696277,-0.8394777999999999
1,"('unfriendly', 'friendly')",2.0354402,2.2504677,0.21502750000000015
2,"('unlikable', 'likable')",0.9999216,0.1590618,-0.8408597999999999
3,"('repellent', 'pleasant')",1.1076977,1.3420586,0.2343609000000002
4,"('disliked', 'liked')",-0.4884916,0.0287471,0.5172387
5,"('distant', 'outgoing')",-0.0023591,0.290529,0.2928881
6,"('distant', 'open')",-0.127354,0.2849819,0.4123359
7,"('insensitive', 'sensitive')",1.946964,1.8405808,-0.10638320000000001
8,"('unaffectionate', 'affectionate')",0.8720013,1.1339847,0.2619834000000001
9,"('unaffectionate', 'caring')",1.0833431,1.4773781,0.3940349999999999
10,"('unsympathetic', 'sympathetic')",2.0563676,1.2575386,-0.7988290000000002
11,"('unhelpful', 'helpful')",0.6896645,0.2330641,-0.4566004
12,"('unsupportive', 'supportive')",0.8535351,1.2655124,0.4119773
13,"('impolite', 'polite')",0.5752749,0.2661703,-0.3091046
14,"('antisocial', 'social')",0.2805776,0.6733912,0.3928136
15,"('boring', 'funny')",0.6619568,0.34114,-0.3208168
16,"('unpopular', 'popular')",-0.3551805,-0.2637947,0.09138580000000002
17,"('nasty', 'nice')",-0.3034599,-0.0745937,0.22886620000000002
18,"('disagreeable', 'welcoming')",0.4768805,1.0992512,0.6223707
19,"('inhospitable', 'hospitable')",0.1275165,-0.0294221,-0.1569386
20,"('rough', 'thoughtful')",-0.3331833,-0.0371934,0.29598990000000003
21,"('immoral', 'moral')",1.4353545,0.5887472,-0.8466073000000001
22,"('untrustworthy', 'trustworthy')",1.1004141,0.9837562,-0.11665790000000009
23,"('insincere', 'sincere')",1.7401112,1.4115038,-0.3286074000000001
24,"('dishonest', 'honest')",1.9084473,1.5998167,-0.30863059999999987
25,"('egoistic', 'altruistic')",1.0423473,1.2044779,0.1621306
26,"('hardhearted', 'benevolent')",0.4224532,0.8791878,0.4567346
27,"('hardhearted', 'softhearted')",0.8767877,1.5800531,0.7032654
28,"('disloyal', 'loyal')",0.3839613,0.0816829,-0.3022784
29,"('unfair', 'fair')",-0.667837,-0.2039676,0.4638694
30,"('intolerant', 'tolerant')",1.3096978,0.8618293,-0.4478684999999999
31,"('evil', 'good')",-0.9583469,-0.5711333,0.38721360000000005
