,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.3513506,0.56482,-0.7865306
1,"('unfriendly', 'friendly')",1.6230235,1.8140853,0.19106179999999995
2,"('unlikable', 'likable')",1.1903189,0.3018489,-0.8884700000000001
3,"('repellent', 'pleasant')",1.1518372,1.3103064,0.1584692000000001
4,"('disliked', 'liked')",-0.4598213,0.0618443,0.5216656
5,"('distant', 'outgoing')",0.0225142,0.3002746,0.2777604
6,"('distant', 'open')",-0.0627419,0.2919728,0.3547147
7,"('insensitive', 'sensitive')",1.7448942,1.6513254,-0.09356880000000012
8,"('unaffectionate', 'affectionate')",0.7221875,0.9182718,0.1960843
9,"('unaffectionate', 'caring')",0.8390167,1.2866268,0.4476101000000001
10,"('unsympathetic', 'sympathetic')",1.8023258,1.019742,-0.7825838
11,"('unhelpful', 'helpful')",0.5899462,0.064155,-0.5257912
12,"('unsupportive', 'supportive')",0.7956356,1.2338143,0.4381786999999999
13,"('impolite', 'polite')",0.6404137,0.2528906,-0.38752309999999995
14,"('antisocial', 'social')",0.3751174,0.7863466,0.4112292
15,"('boring', 'funny')",0.5584369,0.2684501,-0.2899868
16,"('unpopular', 'popular')",-0.3135384,-0.2619845,0.051553899999999986
17,"('nasty', 'nice')",-0.3539751,-0.0959031,0.25807199999999997
18,"('disagreeable', 'welcoming')",0.6572131,1.2029101,0.545697
19,"('inhospitable', 'hospitable')",0.2465756,0.0282155,-0.2183601
20,"('rough', 'thoughtful')",-0.4611762,-0.1758036,0.2853726
21,"('immoral', 'moral')",1.4204721,0.5848637,-0.8356084
22,"('untrustworthy', 'trustworthy')",1.1574126,1.0830026,-0.07441000000000009
23,"('insincere', 'sincere')",1.6102551,1.2549576,-0.35529750000000004
24,"('dishonest', 'honest')",1.9020924,1.5165342,-0.38555819999999996
25,"('egoistic', 'altruistic')",1.0289532,1.1306502,0.10169700000000015
26,"('hardhearted', 'benevolent')",0.5771749,0.9799376,0.4027626999999999
27,"('hardhearted', 'softhearted')",0.9587683,1.5918076,0.6330393000000001
28,"('disloyal', 'loyal')",0.0849865,-0.2549332,-0.33991970000000005
29,"('unfair', 'fair')",-0.7195919,-0.2583214,0.46127049999999997
30,"('intolerant', 'tolerant')",1.1683505,0.7826686,-0.3856819
31,"('evil', 'good')",-0.5799262,-0.2333524,0.34657379999999993
32,"('unkind', 'kind')",2.2760275,2.0228248,-0.2532027000000001
33,"('wrong', 'right')",-0.4723526,0.1619863,0.6343389
34,"('mean', 'honorable')",0.7492616,0.279083,-0.47017859999999995
35,"('corrupt', 'incorrupt')",-2.3423039,-1.7421982,0.6001057000000001
36,"('hostile', 'amicable')",-0.4184305,0.09725,0.5156805
37,"('fake', 'genuine')",0.9320386,0.6884001,-0.2436385000000001
38,"('untruthful', 'truthful')",-0.1187509,-0.0698214,0.0489295
39,"('exploitative', 'cooperative')",0.3282359,0.7886705,0.4604346
40,"('stingy', 'generous')",1.6915557,1.192505,-0.4990507000000002
41,"('unforgiving', 'forgiving')",1.1896007,0.6924073,-0.4971934
42,"('unreliable', 'reliable')",0.8636606,0.9655053,0.10184470000000001
43,"('irresponsible', 'responsible')",1.030281,0.8608034,-0.1694776
44,"('prejudiced', 'unprejudiced')",-1.6402666,-1.7837149,-0.1434483000000002
45,"('incompetent', 'competent')",0.9739557,0.9257127,-0.048242999999999925
46,"('uncompetitive', 'competitive')",0.779429,0.5459085,-0.23352050000000002
47,"('stupid', 'smart')",1.0913911,0.6952422,-0.3961489
48,"('unintelligent', 'intelligent')",1.0340727,0.4993419,-0.5347308000000001
49,"('unable', 'able')",-0.7076252,-0.0135298,0.6940953999999999
50,"('clumsy', 'skillful')",-0.3498401,-0.1403995,0.20944059999999998
51,"('uneducated', 'educated')",1.7629835,1.2838539,-0.47912960000000004
52,"('irrational', 'rational')",-0.3336747,-0.2335691,0.10010559999999999
53,"('uncreative', 'creative')",0.6216725,0.7972165,0.17554400000000003
54,"('incapable', 'capable')",0.8375148,0.1944351,-0.6430797
55,"('incompetent', 'clever')",1.595162,1.2979675,-0.29719450000000003
56,"('impractical', 'practical')",0.9021206,1.0390595,0.13693889999999997
57,"('unimaginative', 'imaginative')",0.9030825,0.4420432,-0.4610393
58,"('undiscriminating', 'discriminating')",1.0889825,0.6851548,-0.4038277
59,"('foolish', 'wise')",-0.4802409,-0.4074298,0.07281110000000002
60,"('inefficient', 'efficient')",1.0712557,1.1712006,0.09994489999999989
61,"('illogical', 'logical')",0.202262,0.5338649,0.3316029
62,"('incompetent', 'brilliant')",1.0804634,0.9022338,-0.1782296
63,"('unperceptive', 'insightful')",1.3429161,1.0525176,-0.2903985
64,"('shy', 'confident')",-0.2761734,-0.8046345,-0.5284611
65,"('insecure', 'secure')",1.1991711,0.3266048,-0.8725663000000001
66,"('inactive', 'active')",-1.1967208,-1.1791527,0.017568100000000086
