,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.5302295,0.6360799,-0.8941495999999999
1,"('unfriendly', 'friendly')",1.8342979,2.0451714,0.21087350000000016
2,"('unlikable', 'likable')",1.1497604,0.3001382,-0.8496221999999999
3,"('repellent', 'pleasant')",1.2154313,1.3610858,0.1456544999999998
4,"('disliked', 'liked')",-0.5058873,-0.0414717,0.46441560000000004
5,"('distant', 'outgoing')",0.1627701,0.4164283,0.25365819999999994
6,"('distant', 'open')",0.0036575,0.378976,0.3753185
7,"('insensitive', 'sensitive')",2.0503214,1.9558957,-0.09442570000000017
8,"('unaffectionate', 'affectionate')",0.691302,0.9822739,0.29097190000000006
9,"('unaffectionate', 'caring')",1.0286046,1.4549621,0.42635749999999994
10,"('unsympathetic', 'sympathetic')",1.8151493,1.0662313,-0.748918
11,"('unhelpful', 'helpful')",0.4010388,0.0788845,-0.3221543
12,"('unsupportive', 'supportive')",0.8184612,1.2627786,0.4443174000000001
13,"('impolite', 'polite')",0.7871648,0.4353285,-0.3518363
14,"('antisocial', 'social')",0.1524647,0.4769384,0.3244737
15,"('boring', 'funny')",0.5575646,0.3700612,-0.1875034
16,"('unpopular', 'popular')",-0.1902965,-0.1982677,-0.007971199999999984
17,"('nasty', 'nice')",-0.3408147,-0.0426065,0.29820820000000003
18,"('disagreeable', 'welcoming')",0.7344153,1.3234443,0.589029
19,"('inhospitable', 'hospitable')",0.3084649,0.172244,-0.13622089999999998
20,"('rough', 'thoughtful')",-0.4288865,-0.1122414,0.3166451
21,"('immoral', 'moral')",1.3505994,0.5287794,-0.8218199999999999
22,"('untrustworthy', 'trustworthy')",1.183925,1.0938439,-0.09008109999999991
23,"('insincere', 'sincere')",1.6493464,1.4071315,-0.2422149
24,"('dishonest', 'honest')",1.7681533,1.4758359,-0.29231739999999995
25,"('egoistic', 'altruistic')",1.094289,1.1869756,0.09268659999999995
26,"('hardhearted', 'benevolent')",0.2904955,0.7709127,0.4804172
27,"('hardhearted', 'softhearted')",0.9578251,1.6668585,0.7090334
28,"('disloyal', 'loyal')",-0.0481288,-0.2591905,-0.2110617
29,"('unfair', 'fair')",-0.8190174,-0.425356,0.3936614
30,"('intolerant', 'tolerant')",1.1474389,0.7716558,-0.37578310000000004
31,"('evil', 'good')",-0.795747,-0.4997966,0.2959504
32,"('unkind', 'kind')",1.9943447,1.9131479,-0.08119680000000007
33,"('wrong', 'right')",-0.3533883,0.276272,0.6296603000000001
34,"('mean', 'honorable')",0.691375,0.248644,-0.442731
35,"('corrupt', 'incorrupt')",-2.3631028,-1.7658692,0.5972336
36,"('hostile', 'amicable')",-0.3317461,0.1835759,0.515322
37,"('fake', 'genuine')",0.7664772,0.6589744,-0.10750280000000001
38,"('untruthful', 'truthful')",-0.0704559,-0.002227,0.06822890000000001
39,"('exploitative', 'cooperative')",0.3232198,0.870306,0.5470862000000001
40,"('stingy', 'generous')",1.836933,1.3130271,-0.5239058999999999
41,"('unforgiving', 'forgiving')",1.0922196,0.5828362,-0.5093833999999999
42,"('unreliable', 'reliable')",0.7763027,0.972482,0.19617929999999995
43,"('irresponsible', 'responsible')",1.0918733,0.9417464,-0.15012690000000006
44,"('prejudiced', 'unprejudiced')",-1.4971923,-1.6300825,-0.13289020000000007
45,"('incompetent', 'competent')",0.9071121,0.8456906,-0.06142150000000002
46,"('uncompetitive', 'competitive')",0.8265082,0.5610219,-0.26548630000000006
47,"('stupid', 'smart')",0.9870129,0.7068578,-0.2801551
48,"('unintelligent', 'intelligent')",1.0358908,0.5725954,-0.4632954
49,"('unable', 'able')",-0.7905236,-0.0564986,0.734025
50,"('clumsy', 'skillful')",-0.4580438,-0.0676183,0.3904255
51,"('uneducated', 'educated')",1.6530188,1.2272345,-0.4257842999999999
52,"('irrational', 'rational')",-0.4220513,-0.231684,0.19036730000000002
53,"('uncreative', 'creative')",0.7415921,0.9950189,0.25342680000000006
54,"('incapable', 'capable')",1.0546904,0.4661378,-0.5885525999999999
55,"('incompetent', 'clever')",1.6319457,1.33637,-0.2955756999999999
56,"('impractical', 'practical')",0.8580983,0.9820848,0.1239865
57,"('unimaginative', 'imaginative')",1.0388091,0.6253894,-0.41341969999999995
58,"('undiscriminating', 'discriminating')",1.1424766,0.6800735,-0.46240309999999996
59,"('foolish', 'wise')",-0.6340946,-0.4208868,0.21320779999999995
60,"('inefficient', 'efficient')",1.2210615,1.3228259,0.10176439999999998
61,"('illogical', 'logical')",0.1751664,0.5085324,0.333366
62,"('incompetent', 'brilliant')",1.299962,1.1169728,-0.18298919999999996
63,"('unperceptive', 'insightful')",1.2687514,1.0115201,-0.25723129999999994
64,"('shy', 'confident')",-0.3444401,-0.9036124,-0.5591723
65,"('insecure', 'secure')",1.3051475,0.5000694,-0.8050780999999999
66,"('inactive', 'active')",-1.3195385,-1.2583914,0.0611470999999999
67,"('doubtful', 'determined')",-1.1499494,-1.0924622,0.05748719999999996
68,"('dependent', 'independent')",-0.6294387,-0.3912617,0.23817700000000003
69,"('lazy', 'industrious')",-2.1118156,-1.216058,0.8957575999999998
70,"('lethargic', 'energetic')",2.186042,1.9934612,-0.1925808
71,"('diffident', 'self-confident')",-0.5589123,-0.2868584,0.2720539
72,"('unambitious', 'ambitious')",0.8831791,0.3242758,-0.5589033
73,"('helpless', 'self-reliant')",0.5677642,0.5576674,-0.010096800000000017
74,"('undedicated', 'dedicated')",0.8928079,1.8058814,0.9130735000000001
75,"('meek', 'impulsive')",-0.2029523,-0.7747611,-0.5718088
76,"('anxious', 'daring')",1.3502282,1.0035912,-0.3466370000000001
77,"('unmotivated', 'motivated')",0.2421389,-0.3162046,-0.5583435
78,"('nonresilient', 'resilient')",-0.7926868,-0.266875,0.5258118
79,"('wavering', 'unwavering')",-0.1669359,-0.1972117,-0.03027579999999999
80,"('dominated', 'dominating')",-0.2751826,-0.6126669,-0.3374843
81,"('submissive', 'aggressive')",2.1099576,0.2754273,-1.8345303
82,"('poor', 'rich')",2.0478316,1.2653763,-0.7824552999999999
83,"('powerless', 'powerful')",-0.953491,-0.8858134,0.0676776
84,"('inferior', 'superior')",-0.1247727,-0.5688746,-0.4441019
85,"('insignificant', 'prestigious')",-0.6030464,-0.4435187,0.1595277
86,"('uninfluential', 'influential')",1.4012763,1.3349364,-0.06633990000000001
