,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.6726328,0.7621526,-0.9104802
1,"('unfriendly', 'friendly')",1.7779253,1.9720694,0.19414410000000015
2,"('unlikable', 'likable')",1.0897509,0.3248861,-0.7648648
3,"('repellent', 'pleasant')",1.3985735,1.5678753,0.16930180000000017
4,"('disliked', 'liked')",-0.4308488,0.0598213,0.4906701
5,"('distant', 'outgoing')",0.1678497,0.3476499,0.17980020000000002
6,"('distant', 'open')",0.0554183,0.307802,0.25238370000000004
7,"('insensitive', 'sensitive')",1.8655274,1.8255163,-0.040011099999999855
8,"('unaffectionate', 'affectionate')",0.6798258,0.8981613,0.21833550000000002
9,"('unaffectionate', 'caring')",0.8055751,1.1875662,0.38199110000000003
10,"('unsympathetic', 'sympathetic')",1.8314722,1.1296713,-0.7018009000000001
11,"('unhelpful', 'helpful')",0.3652794,0.0394307,-0.3258487
12,"('unsupportive', 'supportive')",0.7766961,1.1442679,0.3675718
13,"('impolite', 'polite')",0.5944288,0.3222086,-0.27222019999999997
14,"('antisocial', 'social')",0.2398117,0.5643873,0.3245756000000001
15,"('boring', 'funny')",0.5941657,0.3904408,-0.20372490000000004
16,"('unpopular', 'popular')",-0.3437561,-0.2328923,0.11086380000000001
17,"('nasty', 'nice')",-0.3642294,-0.1054985,0.2587309
18,"('disagreeable', 'welcoming')",0.563055,1.0484875,0.48543250000000004
19,"('inhospitable', 'hospitable')",0.022967,-0.0703355,-0.0933025
20,"('rough', 'thoughtful')",-0.3454503,-0.0011205,0.34432979999999996
21,"('immoral', 'moral')",1.3891883,0.6643758,-0.7248125000000001
22,"('untrustworthy', 'trustworthy')",1.1814445,1.0577061,-0.12373839999999992
23,"('insincere', 'sincere')",1.5470157,1.3006373,-0.2463784
24,"('dishonest', 'honest')",1.6608143,1.4267401,-0.2340742
25,"('egoistic', 'altruistic')",1.0460615,1.1481479,0.10208640000000013
26,"('hardhearted', 'benevolent')",0.3539225,0.696036,0.3421135
27,"('hardhearted', 'softhearted')",1.165705,1.7908128,0.6251078000000001
28,"('disloyal', 'loyal')",0.1157022,-0.1438659,-0.25956809999999997
29,"('unfair', 'fair')",-0.5229451,-0.1432528,0.37969230000000004
30,"('intolerant', 'tolerant')",0.9311787,0.5676491,-0.3635296
31,"('evil', 'good')",-0.5559307,-0.3425905,0.21334019999999998
32,"('unkind', 'kind')",1.969954,1.9280629,-0.04189109999999996
33,"('wrong', 'right')",-0.5803571,0.0199244,0.6002814999999999
34,"('mean', 'honorable')",0.609976,0.2482312,-0.3617448
35,"('corrupt', 'incorrupt')",-2.3453508,-1.7230233,0.6223274999999999
36,"('hostile', 'amicable')",-0.3098586,0.2327605,0.5426191
37,"('fake', 'genuine')",0.8063791,0.7282491,-0.07813000000000003
38,"('untruthful', 'truthful')",-0.2425838,-0.174366,0.0682178
39,"('exploitative', 'cooperative')",-0.0241079,0.5628201,0.586928
40,"('stingy', 'generous')",1.9711457,1.4624029,-0.5087427999999998
