,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.6444724,0.781201,-0.8632713999999999
1,"('unfriendly', 'friendly')",1.5399273,1.7756096,0.2356822999999999
2,"('unlikable', 'likable')",0.954616,0.1497116,-0.8049044000000001
3,"('repellent', 'pleasant')",1.2875143,1.3857672,0.09825290000000009
4,"('disliked', 'liked')",-0.5563782,-0.017119,0.5392592
5,"('distant', 'outgoing')",0.0012958,0.2863753,0.2850795
6,"('distant', 'open')",-0.1343993,0.2119499,0.3463492
7,"('insensitive', 'sensitive')",1.8561194,1.7702601,-0.08585930000000008
8,"('unaffectionate', 'affectionate')",0.5606479,0.885883,0.3252351
9,"('unaffectionate', 'caring')",0.7236105,1.1818516,0.45824109999999985
10,"('unsympathetic', 'sympathetic')",1.8815949,1.0995353,-0.7820596
11,"('unhelpful', 'helpful')",0.4736424,0.0755773,-0.3980651
12,"('unsupportive', 'supportive')",0.6921326,1.1838328,0.49170020000000003
13,"('impolite', 'polite')",0.7693195,0.4391266,-0.33019290000000007
14,"('antisocial', 'social')",0.3568202,0.7909117,0.4340915
15,"('boring', 'funny')",0.6640454,0.4223702,-0.24167520000000003
16,"('unpopular', 'popular')",-0.2695625,-0.2418633,0.02769919999999998
17,"('nasty', 'nice')",-0.1499039,0.0862986,0.2362025
18,"('disagreeable', 'welcoming')",0.533676,1.1854782,0.6518021999999999
19,"('inhospitable', 'hospitable')",0.1635698,-0.0180282,-0.18159799999999998
20,"('rough', 'thoughtful')",-0.2950678,-0.056032,0.2390358
21,"('immoral', 'moral')",1.4318759,0.6094825,-0.8223934
22,"('untrustworthy', 'trustworthy')",1.1445379,1.0351942,-0.10934369999999993
23,"('insincere', 'sincere')",1.5192565,1.208138,-0.3111185000000001
24,"('dishonest', 'honest')",1.6978482,1.4079172,-0.28993099999999994
25,"('egoistic', 'altruistic')",0.8907517,1.0740853,0.18333359999999987
26,"('hardhearted', 'benevolent')",0.3682402,0.8405587,0.4723185
27,"('hardhearted', 'softhearted')",0.9222619,1.6424793,0.7202174
28,"('disloyal', 'loyal')",0.0463819,-0.206097,-0.2524789
29,"('unfair', 'fair')",-0.5860253,-0.2226653,0.36335999999999996
30,"('intolerant', 'tolerant')",1.1654159,0.8589713,-0.30644459999999996
31,"('evil', 'good')",-0.6634682,-0.4015202,0.26194799999999996
32,"('unkind', 'kind')",2.010957,1.8943336,-0.11662339999999993
33,"('wrong', 'right')",-0.4589787,0.2274653,0.686444
34,"('mean', 'honorable')",0.6688618,0.2356568,-0.43320499999999995
35,"('corrupt', 'incorrupt')",-2.3295269,-1.7197196,0.6098072999999999
36,"('hostile', 'amicable')",-0.3629672,0.1326149,0.4955821
37,"('fake', 'genuine')",0.8478345,0.6752014,-0.1726331000000001
38,"('untruthful', 'truthful')",-0.2391286,-0.1429476,0.09618099999999999
39,"('exploitative', 'cooperative')",0.1923233,0.7664518,0.5741285
40,"('stingy', 'generous')",1.8170046,1.3058632,-0.5111414000000001
41,"('unforgiving', 'forgiving')",1.219655,0.7057923,-0.5138626999999999
42,"('unreliable', 'reliable')",0.7941164,0.995183,0.2010666000000001
43,"('irresponsible', 'responsible')",0.9329531,0.8254152,-0.10753789999999996
44,"('prejudiced', 'unprejudiced')",-1.6016114,-1.7635281,-0.16191670000000014
45,"('incompetent', 'competent')",1.0825894,0.9713112,-0.1112782
46,"('uncompetitive', 'competitive')",0.8132679,0.573257,-0.24001090000000003
47,"('stupid', 'smart')",1.1449779,0.7834523,-0.3615256
48,"('unintelligent', 'intelligent')",1.1116779,0.6541587,-0.4575192000000001
49,"('unable', 'able')",-0.7143791,-0.0263254,0.6880537
50,"('clumsy', 'skillful')",-0.5598221,-0.2261692,0.33365290000000003
51,"('uneducated', 'educated')",1.6747388,1.2613014,-0.41343740000000007
52,"('irrational', 'rational')",-0.4640684,-0.2789671,0.18510129999999997
53,"('uncreative', 'creative')",0.5716971,0.8531428,0.2814457
54,"('incapable', 'capable')",0.7598469,0.1401455,-0.6197014
55,"('incompetent', 'clever')",1.7083034,1.4109789,-0.2973245
56,"('impractical', 'practical')",1.0539191,1.1953603,0.14144119999999982
57,"('unimaginative', 'imaginative')",1.0878115,0.636281,-0.45153049999999995
58,"('undiscriminating', 'discriminating')",1.3673634,0.8104221,-0.5569412999999999
59,"('foolish', 'wise')",-0.6029217,-0.4706616,0.1322601
60,"('inefficient', 'efficient')",1.1365767,1.2766831,0.14010640000000008
61,"('illogical', 'logical')",0.257537,0.6163414,0.3588044
62,"('incompetent', 'brilliant')",1.1252276,0.945315,-0.1799126000000001
63,"('unperceptive', 'insightful')",1.3439806,1.0375877,-0.3063929000000001
64,"('shy', 'confident')",-0.3527599,-0.8116189,-0.458859
65,"('insecure', 'secure')",1.3928087,0.514878,-0.8779307000000001
66,"('inactive', 'active')",-1.289904,-1.2742618,0.01564220000000005
67,"('doubtful', 'determined')",-0.9359726,-0.8660736,0.06989900000000004
68,"('dependent', 'independent')",-0.4890949,-0.2611627,0.22793219999999997
69,"('lazy', 'industrious')",-2.1889918,-1.2259593,0.9630325000000002
70,"('lethargic', 'energetic')",2.2289009,1.9691249,-0.25977600000000023
71,"('diffident', 'self-confident')",-0.7139227,-0.3485419,0.3653808
72,"('unambitious', 'ambitious')",0.8801076,0.3278431,-0.5522644999999999
73,"('helpless', 'self-reliant')",0.488551,0.4808241,-0.0077269000000000365
74,"('undedicated', 'dedicated')",0.9549535,1.8430701,0.8881166
75,"('meek', 'impulsive')",-0.2497943,-0.8740719,-0.6242776
76,"('anxious', 'daring')",1.5495726,1.1454495,-0.40412310000000007
77,"('unmotivated', 'motivated')",-0.0046609,-0.5466979,-0.542037
78,"('nonresilient', 'resilient')",-0.8862286,-0.2878443,0.5983843
79,"('wavering', 'unwavering')",0.0548095,-0.0787857,-0.1335952
80,"('dominated', 'dominating')",-0.098877,-0.4931688,-0.3942918
81,"('submissive', 'aggressive')",2.1919979,0.3429095,-1.8490884
82,"('poor', 'rich')",1.9281585,1.193838,-0.7343205000000002
83,"('powerless', 'powerful')",-0.6878954,-0.6670684,0.02082700000000004
84,"('inferior', 'superior')",-0.0286567,-0.4057026,-0.37704590000000004
85,"('insignificant', 'prestigious')",-0.6271699,-0.4448973,0.18227259999999995
86,"('uninfluential', 'influential')",1.583269,1.5345524,-0.04871660000000011
87,"('unsuccessful', 'successful')",0.2472867,-0.0657145,-0.3130012
88,"('low', 'eminent')",1.1839841,0.9049744,-0.2790097
