,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.658127,0.6662071,-0.9919198999999999
1,"('unfriendly', 'friendly')",1.6984177,1.7862264,0.08780870000000007
2,"('unlikable', 'likable')",0.9845976,0.1573975,-0.8272001
3,"('repellent', 'pleasant')",1.1202014,1.153713,0.033511599999999975
4,"('disliked', 'liked')",-0.4527998,0.0659317,0.5187315
5,"('distant', 'outgoing')",0.0171538,0.2331034,0.2159496
6,"('distant', 'open')",-0.1885409,0.1353055,0.3238464
7,"('insensitive', 'sensitive')",1.9831898,1.769677,-0.21351279999999995
8,"('unaffectionate', 'affectionate')",0.940101,1.1399999,0.1998989000000001
9,"('unaffectionate', 'caring')",1.0570408,1.411869,0.35482820000000004
10,"('unsympathetic', 'sympathetic')",1.6865408,0.8432349,-0.8433058999999999
11,"('unhelpful', 'helpful')",0.6147628,0.1060374,-0.5087254000000001
12,"('unsupportive', 'supportive')",0.8956576,1.2637794,0.36812179999999994
13,"('impolite', 'polite')",0.7000318,0.1935846,-0.5064472
14,"('antisocial', 'social')",0.3641737,0.6608637,0.29669000000000006
15,"('boring', 'funny')",0.8229065,0.5698236,-0.2530829
16,"('unpopular', 'popular')",-0.4305442,-0.3738443,0.05669989999999997
17,"('nasty', 'nice')",-0.681868,-0.3499064,0.3319616
18,"('disagreeable', 'welcoming')",0.5937267,1.134282,0.5405553
19,"('inhospitable', 'hospitable')",0.1390703,0.0336729,-0.1053974
20,"('rough', 'thoughtful')",-0.2215089,-0.0601029,0.161406
21,"('immoral', 'moral')",1.2953136,0.4711159,-0.8241977
22,"('untrustworthy', 'trustworthy')",1.2388976,1.2043707,-0.03452690000000014
23,"('insincere', 'sincere')",1.660012,1.3022063,-0.3578057000000001
24,"('dishonest', 'honest')",1.8670841,1.4995514,-0.36753269999999993
25,"('egoistic', 'altruistic')",0.9740193,1.0789983,0.10497900000000004
26,"('hardhearted', 'benevolent')",0.3221106,0.8056187,0.4835081
27,"('hardhearted', 'softhearted')",1.0639542,1.623891,0.5599368
28,"('disloyal', 'loyal')",-0.0478815,-0.4161038,-0.3682223
29,"('unfair', 'fair')",-0.5865846,-0.1649025,0.4216821
30,"('intolerant', 'tolerant')",0.9335046,0.5849746,-0.34853
31,"('evil', 'good')",-0.8752979,-0.546771,0.32852689999999996
32,"('unkind', 'kind')",2.1230229,1.893402,-0.22962090000000002
33,"('wrong', 'right')",-0.170325,0.445887,0.616212
34,"('mean', 'honorable')",0.4077839,-0.0619945,-0.4697784
35,"('corrupt', 'incorrupt')",-2.4609789,-1.6513361,0.8096428000000002
36,"('hostile', 'amicable')",-0.5021233,0.125885,0.6280083000000001
37,"('fake', 'genuine')",1.0642223,0.8310193,-0.23320299999999994
38,"('untruthful', 'truthful')",-0.0075336,-0.0565776,-0.049044
39,"('exploitative', 'cooperative')",0.2129891,0.868699,0.6557099
40,"('stingy', 'generous')",1.826019,1.2358191,-0.5901999
41,"('unforgiving', 'forgiving')",1.154137,0.5421784,-0.6119586
42,"('unreliable', 'reliable')",0.4281244,0.6961505,0.2680261
43,"('irresponsible', 'responsible')",0.9115842,0.7111692,-0.200415
44,"('prejudiced', 'unprejudiced')",-1.5075024,-1.5908314,-0.08332899999999999
45,"('incompetent', 'competent')",1.24272,0.9462474,-0.2964726000000001
46,"('uncompetitive', 'competitive')",0.9315716,0.554226,-0.37734560000000006
47,"('stupid', 'smart')",0.7528638,0.399085,-0.35377879999999995
48,"('unintelligent', 'intelligent')",0.7494046,0.2459222,-0.5034824
49,"('unable', 'able')",-1.0122258,-0.3173821,0.6948437
50,"('clumsy', 'skillful')",-0.2998444,-0.0530258,0.2468186
51,"('uneducated', 'educated')",1.6872426,1.2359646,-0.45127800000000007
52,"('irrational', 'rational')",-0.3220289,-0.0767235,0.2453054
53,"('uncreative', 'creative')",0.5927506,0.9320588,0.33930819999999995
54,"('incapable', 'capable')",0.7376502,0.2069067,-0.5307435
55,"('incompetent', 'clever')",1.9402827,1.4680585,-0.4722242000000001
56,"('impractical', 'practical')",0.8730878,0.8557321,-0.017355699999999974
57,"('unimaginative', 'imaginative')",1.1546382,0.7131058,-0.44153239999999994
58,"('undiscriminating', 'discriminating')",1.1499571,0.5884285,-0.5615285999999999
59,"('foolish', 'wise')",-0.6505408,-0.3533659,0.2971749
60,"('inefficient', 'efficient')",1.2166913,1.1163337,-0.10035759999999994
61,"('illogical', 'logical')",0.0607667,0.4173139,0.3565472
62,"('incompetent', 'brilliant')",1.2082835,0.9402322,-0.2680513000000001
63,"('unperceptive', 'insightful')",1.2312633,0.8306409,-0.40062239999999993
64,"('shy', 'confident')",-0.232047,-0.7651881,-0.5331411
65,"('insecure', 'secure')",1.1621598,0.3201413,-0.8420185
66,"('inactive', 'active')",-1.1640263,-1.0915235,0.07250279999999987
67,"('doubtful', 'determined')",-0.9669125,-0.9588621,0.008050399999999902
68,"('dependent', 'independent')",-0.6929001,-0.3926617,0.3002384
69,"('lazy', 'industrious')",-2.2532395,-1.335339,0.9179004999999998
70,"('lethargic', 'energetic')",2.0574009,1.7748418,-0.2825591000000003
71,"('diffident', 'self-confident')",-0.50739,-0.2216084,0.28578159999999997
72,"('unambitious', 'ambitious')",1.2997134,0.7702319,-0.5294814999999999
73,"('helpless', 'self-reliant')",0.545447,0.5659123,0.02046530000000002
74,"('undedicated', 'dedicated')",1.2421582,2.0432738,0.8011156000000001
75,"('meek', 'impulsive')",-0.2669287,-0.8010735,-0.5341448
76,"('anxious', 'daring')",1.1644094,0.7504832,-0.4139262
77,"('unmotivated', 'motivated')",-0.0520915,-0.5399669,-0.4878754
78,"('nonresilient', 'resilient')",-0.8391723,-0.3928305,0.44634179999999996
79,"('wavering', 'unwavering')",-0.34434,-0.3900316,-0.0456916
80,"('dominated', 'dominating')",-0.0164105,-0.4524291,-0.4360186
81,"('submissive', 'aggressive')",1.695279,-0.1757429,-1.8710219
82,"('poor', 'rich')",1.8521901,1.0405258,-0.8116643000000001
83,"('powerless', 'powerful')",-0.7380072,-0.77066,-0.03265280000000004
84,"('inferior', 'superior')",0.0374231,-0.3838651,-0.4212882
85,"('insignificant', 'prestigious')",-1.0870709,-0.8345667,0.25250420000000007
86,"('uninfluential', 'influential')",1.433732,1.2319461,-0.20178589999999996
87,"('unsuccessful', 'successful')",0.501031,0.0597496,-0.4412814
88,"('low', 'eminent')",0.975672,0.6308144,-0.3448576
