,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.7082898,0.7536997,-0.9545901
1,"('unfriendly', 'friendly')",1.8776902,2.035626,0.15793580000000018
2,"('unlikable', 'likable')",1.0785476,0.2427952,-0.8357524000000001
3,"('repellent', 'pleasant')",1.3662721,1.3815584,0.015286300000000086
4,"('disliked', 'liked')",-0.4003821,0.1683223,0.5687044
5,"('distant', 'outgoing')",0.4255787,0.6176644,0.19208570000000003
6,"('distant', 'open')",0.1700591,0.4379568,0.2678977
7,"('insensitive', 'sensitive')",1.8077103,1.6150843,-0.19262600000000019
8,"('unaffectionate', 'affectionate')",0.9175677,1.098394,0.1808263000000001
9,"('unaffectionate', 'caring')",0.8913189,1.279968,0.38864909999999997
10,"('unsympathetic', 'sympathetic')",1.4884948,0.6943076,-0.7941872
11,"('unhelpful', 'helpful')",0.2568831,-0.1098509,-0.366734
12,"('unsupportive', 'supportive')",0.643098,1.0127553,0.3696573000000001
13,"('impolite', 'polite')",0.3146107,-0.0762947,-0.3909054
14,"('antisocial', 'social')",0.3243653,0.671105,0.34673969999999993
15,"('boring', 'funny')",0.7775371,0.5302828,-0.24725429999999993
16,"('unpopular', 'popular')",-0.3403029,-0.2348104,0.10549250000000002
17,"('nasty', 'nice')",-0.7336304,-0.3919178,0.34171260000000003
18,"('disagreeable', 'welcoming')",0.746864,1.2228608,0.4759968000000001
19,"('inhospitable', 'hospitable')",0.0315759,0.0279654,-0.0036104999999999957
20,"('rough', 'thoughtful')",-0.0955523,0.0903692,0.18592150000000002
21,"('immoral', 'moral')",1.2392831,0.4668015,-0.7724816
22,"('untrustworthy', 'trustworthy')",1.2101378,1.0517476,-0.15839020000000015
23,"('insincere', 'sincere')",1.5168724,1.1769503,-0.3399221000000001
24,"('dishonest', 'honest')",1.5742112,1.2604216,-0.3137896
25,"('egoistic', 'altruistic')",1.039063,1.228597,0.18953399999999987
26,"('hardhearted', 'benevolent')",0.4138234,0.8681804,0.45435699999999996
27,"('hardhearted', 'softhearted')",1.2466255,1.7728449,0.5262194
28,"('disloyal', 'loyal')",-0.0705482,-0.2713078,-0.20075959999999998
29,"('unfair', 'fair')",-0.3559567,0.0844697,0.4404264
30,"('intolerant', 'tolerant')",0.7606203,0.3698727,-0.39074760000000003
31,"('evil', 'good')",-0.7581462,-0.3986601,0.3594861
32,"('unkind', 'kind')",1.8276945,1.7703542,-0.0573402999999999
33,"('wrong', 'right')",-0.4639937,0.1939444,0.6579381
34,"('mean', 'honorable')",0.5308397,0.1103869,-0.4204528
35,"('corrupt', 'incorrupt')",-2.3026117,-1.4667276,0.8358840999999999
36,"('hostile', 'amicable')",-0.2180224,0.3561132,0.5741356
37,"('fake', 'genuine')",0.88813,0.6984783,-0.18965169999999998
38,"('untruthful', 'truthful')",-0.4074675,-0.3224091,0.08505839999999998
39,"('exploitative', 'cooperative')",-0.0454389,0.6185161,0.663955
40,"('stingy', 'generous')",2.0324385,1.4614811,-0.5709574
41,"('unforgiving', 'forgiving')",0.9619472,0.4827604,-0.4791868
42,"('unreliable', 'reliable')",0.7065146,0.9268011,0.22028650000000005
43,"('irresponsible', 'responsible')",0.841969,0.6599015,-0.18206749999999994
44,"('prejudiced', 'unprejudiced')",-1.2469869,-1.4043065,-0.1573195999999999
45,"('incompetent', 'competent')",1.0476239,0.9346075,-0.11301640000000002
46,"('uncompetitive', 'competitive')",0.7199136,0.4385114,-0.28140220000000005
47,"('stupid', 'smart')",0.8884886,0.5563479,-0.33214069999999996
48,"('unintelligent', 'intelligent')",0.9655799,0.4428067,-0.5227732
49,"('unable', 'able')",-0.8397225,-0.1933801,0.6463424
50,"('clumsy', 'skillful')",-0.4151459,-0.1459749,0.26917100000000005
51,"('uneducated', 'educated')",1.3550351,1.0986134,-0.2564217
52,"('irrational', 'rational')",-0.3931966,-0.1386272,0.2545694
53,"('uncreative', 'creative')",0.7774398,1.1097646,0.3323248000000001
54,"('incapable', 'capable')",0.884196,0.3743824,-0.5098136
55,"('incompetent', 'clever')",1.9568911,1.574659,-0.38223209999999996
56,"('impractical', 'practical')",0.5092418,0.6134174,0.10417560000000003
57,"('unimaginative', 'imaginative')",1.1320493,0.7451697,-0.3868796
58,"('undiscriminating', 'discriminating')",1.2365194,0.7794038,-0.45711559999999996
