,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.6642521,0.6316492,-1.0326028999999999
1,"('unfriendly', 'friendly')",1.8691085,1.9569301,0.08782159999999983
2,"('unlikable', 'likable')",1.020456,0.2175227,-0.8029333000000001
3,"('repellent', 'pleasant')",1.1809614,1.2174899,0.036528499999999964
4,"('disliked', 'liked')",-0.5935346,0.030856,0.6243906
5,"('distant', 'outgoing')",0.2489324,0.5352424,0.28631
6,"('distant', 'open')",-0.0053016,0.3561276,0.3614292
7,"('insensitive', 'sensitive')",1.7697281,1.5375156,-0.23221249999999993
8,"('unaffectionate', 'affectionate')",1.0054184,1.0772544,0.07183600000000001
9,"('unaffectionate', 'caring')",1.0476107,1.3577008,0.31009010000000004
10,"('unsympathetic', 'sympathetic')",1.7742365,0.8577956,-0.9164409
11,"('unhelpful', 'helpful')",0.7207747,0.1751591,-0.5456156
12,"('unsupportive', 'supportive')",0.7379412,1.1399706,0.4020294000000001
13,"('impolite', 'polite')",0.4857004,0.0268167,-0.4588837
14,"('antisocial', 'social')",0.2657733,0.6177274,0.35195410000000005
15,"('boring', 'funny')",0.8219295,0.5567429,-0.26518659999999994
16,"('unpopular', 'popular')",-0.5173673,-0.4748189,0.042548399999999986
17,"('nasty', 'nice')",-0.6332567,-0.3778929,0.25536380000000003
18,"('disagreeable', 'welcoming')",0.5582654,1.0424774,0.4842120000000001
19,"('inhospitable', 'hospitable')",-0.0113278,0.0160663,0.027394099999999998
20,"('rough', 'thoughtful')",-0.3075031,-0.0762427,0.23126039999999998
21,"('immoral', 'moral')",1.2943291,0.4992521,-0.7950769999999999
22,"('untrustworthy', 'trustworthy')",1.2225121,1.1116671,-0.11084500000000008
23,"('insincere', 'sincere')",1.7155782,1.2609021,-0.4546760999999999
24,"('dishonest', 'honest')",1.8772169,1.5040485,-0.3731684000000002
25,"('egoistic', 'altruistic')",0.982658,1.0410519,0.0583939
26,"('hardhearted', 'benevolent')",0.5288048,0.9133416,0.3845368
27,"('hardhearted', 'softhearted')",1.1169456,1.6394268,0.5224812000000001
28,"('disloyal', 'loyal')",0.054574,-0.313085,-0.367659
29,"('unfair', 'fair')",-0.6075743,-0.103917,0.5036573
30,"('intolerant', 'tolerant')",1.0364682,0.5736689,-0.4627993
31,"('evil', 'good')",-0.8305167,-0.4269878,0.4035289
32,"('unkind', 'kind')",2.1131481,1.8110228,-0.30212530000000015
33,"('wrong', 'right')",-0.4193503,0.239732,0.6590823
34,"('mean', 'honorable')",0.4508981,0.0191833,-0.4317148
35,"('corrupt', 'incorrupt')",-2.402675,-1.5668881,0.8357869
36,"('hostile', 'amicable')",-0.4261237,0.0943806,0.5205043
37,"('fake', 'genuine')",1.0805584,0.8007259,-0.27983249999999993
38,"('untruthful', 'truthful')",-0.0706321,-0.0670969,0.0035352000000000022
39,"('exploitative', 'cooperative')",0.1398408,0.6972576,0.5574168
40,"('stingy', 'generous')",1.7431918,1.1649154,-0.5782764
41,"('unforgiving', 'forgiving')",1.034881,0.4671434,-0.5677376
42,"('unreliable', 'reliable')",0.5035586,0.7198849,0.21632630000000008
43,"('irresponsible', 'responsible')",0.9761725,0.8101102,-0.1660623
44,"('prejudiced', 'unprejudiced')",-1.349103,-1.549343,-0.20023999999999997
45,"('incompetent', 'competent')",1.0193739,0.9544326,-0.06494129999999998
46,"('uncompetitive', 'competitive')",0.8388161,0.4916034,-0.34721269999999993
47,"('stupid', 'smart')",0.8889412,0.4311839,-0.4577573
48,"('unintelligent', 'intelligent')",0.9245549,0.3696874,-0.5548675
49,"('unable', 'able')",-0.8175117,-0.1571698,0.6603418999999999
50,"('clumsy', 'skillful')",-0.3658697,-0.1640766,0.20179310000000003
51,"('uneducated', 'educated')",1.2711659,0.9751169,-0.296049
52,"('irrational', 'rational')",-0.2657506,-0.139834,0.1259166
53,"('uncreative', 'creative')",0.6900055,0.9215467,0.2315412
54,"('incapable', 'capable')",0.8658898,0.27004,-0.5958498000000001
55,"('incompetent', 'clever')",1.9093782,1.5092855,-0.40009269999999986
56,"('impractical', 'practical')",0.7544596,0.8794802,0.12502060000000004
57,"('unimaginative', 'imaginative')",1.2255301,0.7272981,-0.4982320000000001
58,"('undiscriminating', 'discriminating')",1.1717464,0.7474555,-0.4242908999999999
59,"('foolish', 'wise')",-0.5977759,-0.3477892,0.2499867
60,"('inefficient', 'efficient')",1.2149866,1.1374923,-0.07749430000000013
61,"('illogical', 'logical')",0.129897,0.5003001,0.3704031
62,"('incompetent', 'brilliant')",1.2248183,1.0496009,-0.17521739999999997
63,"('unperceptive', 'insightful')",1.2101585,0.9000941,-0.3100643999999999
64,"('shy', 'confident')",-0.5278444,-0.9314383,-0.40359390000000006
65,"('insecure', 'secure')",1.2599902,0.3334165,-0.9265737000000001
66,"('inactive', 'active')",-1.4170608,-1.2652944,0.15176640000000008
67,"('doubtful', 'determined')",-1.0914602,-1.06163,0.029830199999999918
68,"('dependent', 'independent')",-0.7900066,-0.3775286,0.412478
69,"('lazy', 'industrious')",-2.3529503,-1.3179588,1.0349914999999998
70,"('lethargic', 'energetic')",2.0422181,1.7658144,-0.2764036999999999
71,"('diffident', 'self-confident')",-0.6250383,-0.2515429,0.37349540000000003
72,"('unambitious', 'ambitious')",1.2667887,0.7149255,-0.5518632
73,"('helpless', 'self-reliant')",0.489439,0.5887443,0.09930529999999999
74,"('undedicated', 'dedicated')",0.9547761,1.8630224,0.9082463
75,"('meek', 'impulsive')",-0.3528568,-0.7316284,-0.37877159999999993
76,"('anxious', 'daring')",1.3984196,0.8363126,-0.562107
77,"('unmotivated', 'motivated')",-0.0770303,-0.647433,-0.5704027
78,"('nonresilient', 'resilient')",-0.7525307,-0.3048946,0.4476361
79,"('wavering', 'unwavering')",-0.2570284,-0.2978086,-0.04078019999999999
80,"('dominated', 'dominating')",-0.1392168,-0.5273746,-0.3881578
81,"('submissive', 'aggressive')",1.7626003,-0.1219154,-1.8845157
82,"('poor', 'rich')",1.8803695,1.1757952,-0.7045743
83,"('powerless', 'powerful')",-0.8677242,-0.8648836,0.002840599999999971
84,"('inferior', 'superior')",0.0978293,-0.3271665,-0.42499580000000003
85,"('insignificant', 'prestigious')",-0.9983348,-0.7720184,0.22631639999999997
86,"('uninfluential', 'influential')",1.3572517,1.2865284,-0.07072330000000004
87,"('unsuccessful', 'successful')",0.4345739,0.0480887,-0.38648520000000003
88,"('low', 'eminent')",1.105765,0.7063916,-0.3993734000000001
