,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.2061069,0.487928,-0.7181789000000001
1,"('unfriendly', 'friendly')",2.0216756,2.0372765,0.015600899999999918
2,"('unlikable', 'likable')",1.2014313,0.3984094,-0.8030219000000001
3,"('repellent', 'pleasant')",1.2143374,1.5180641,0.3037266999999999
4,"('disliked', 'liked')",-0.46869,0.0228814,0.4915714
5,"('distant', 'outgoing')",0.5786013,0.6428946,0.0642933
6,"('distant', 'open')",0.4034166,0.4498005,0.04638389999999998
7,"('insensitive', 'sensitive')",1.9906741,2.0381883,0.04751419999999995
8,"('unaffectionate', 'affectionate')",1.1057587,1.230758,0.12499930000000004
9,"('unaffectionate', 'caring')",1.2141687,1.616178,0.4020092999999998
10,"('unsympathetic', 'sympathetic')",1.4626452,0.9097433,-0.5529019000000001
11,"('unhelpful', 'helpful')",0.3691597,0.1135313,-0.2556284
12,"('unsupportive', 'supportive')",0.7922291,1.3658981,0.5736689999999999
13,"('impolite', 'polite')",0.3075946,0.0066549,-0.3009397
14,"('antisocial', 'social')",-0.0554683,0.5732193,0.6286876
15,"('boring', 'funny')",0.7649627,0.5581146,-0.20684809999999998
16,"('unpopular', 'popular')",-0.3160855,-0.3056572,0.010428300000000001
17,"('nasty', 'nice')",-0.5946645,-0.3147095,0.27995500000000006
18,"('disagreeable', 'welcoming')",0.6619993,1.1747817,0.5127824000000001
19,"('inhospitable', 'hospitable')",0.3731223,0.1679583,-0.205164
20,"('rough', 'thoughtful')",-0.2072239,0.0581344,0.2653583
21,"('immoral', 'moral')",1.0796697,0.4140546,-0.6656150999999999
22,"('untrustworthy', 'trustworthy')",1.1075409,1.104579,-0.002961900000000073
23,"('insincere', 'sincere')",1.5468997,1.4167319,-0.13016779999999994
24,"('dishonest', 'honest')",1.6593339,1.4430581,-0.21627580000000002
25,"('egoistic', 'altruistic')",1.1225658,1.1599054,0.03733959999999992
26,"('hardhearted', 'benevolent')",0.4202872,0.7659972,0.34571
27,"('hardhearted', 'softhearted')",1.156226,1.8189925,0.6627665
28,"('disloyal', 'loyal')",0.0064664,-0.2039212,-0.2103876
29,"('unfair', 'fair')",-0.766825,-0.2261986,0.5406264
30,"('intolerant', 'tolerant')",0.7729305,0.5727273,-0.20020319999999991
31,"('evil', 'good')",-0.6154479,-0.4606067,0.15484120000000007
32,"('unkind', 'kind')",1.8853675,1.8456346,-0.03973290000000018
33,"('wrong', 'right')",-0.2893431,0.2077246,0.4970677
34,"('mean', 'honorable')",0.585728,0.1809623,-0.4047657
35,"('corrupt', 'incorrupt')",-1.9826087,-1.5779261,0.4046825999999999
36,"('hostile', 'amicable')",-0.1549745,0.060022,0.21499649999999998
37,"('fake', 'genuine')",1.0253149,0.8464913,-0.17882359999999997
38,"('untruthful', 'truthful')",-0.1590267,-0.1152495,0.04377719999999999
39,"('exploitative', 'cooperative')",0.2938917,0.8772539,0.5833622
40,"('stingy', 'generous')",2.09843,1.5815439,-0.5168861
41,"('unforgiving', 'forgiving')",0.9938468,0.5123992,-0.4814476
42,"('unreliable', 'reliable')",0.4981727,0.7107216,0.21254889999999993
43,"('irresponsible', 'responsible')",0.929563,0.8987295,-0.03083350000000007
44,"('prejudiced', 'unprejudiced')",-1.3108005,-1.6116607,-0.3008602
45,"('incompetent', 'competent')",1.0534538,1.2188909,0.16543710000000011
46,"('uncompetitive', 'competitive')",0.6844243,0.6261057,-0.0583186
47,"('stupid', 'smart')",0.8877535,0.6215164,-0.2662371
48,"('unintelligent', 'intelligent')",1.0690457,0.5888778,-0.4801679
49,"('unable', 'able')",-0.7005488,0.0865533,0.7871021
50,"('clumsy', 'skillful')",-0.1924094,0.0126034,0.2050128
51,"('uneducated', 'educated')",1.4146369,1.2013678,-0.2132691
52,"('irrational', 'rational')",-0.228722,-0.2565464,-0.0278244
53,"('uncreative', 'creative')",1.0188092,1.2154049,0.19659570000000004
54,"('incapable', 'capable')",1.0911328,0.4249908,-0.666142
55,"('incompetent', 'clever')",1.6520279,1.6206341,-0.03139380000000003
56,"('impractical', 'practical')",0.5164566,0.8020095,0.2855529
57,"('unimaginative', 'imaginative')",1.2168837,0.8267646,-0.39011909999999994
58,"('undiscriminating', 'discriminating')",1.0412951,0.550502,-0.49079309999999987
59,"('foolish', 'wise')",-0.3610745,-0.216452,0.14462250000000001
60,"('inefficient', 'efficient')",0.9764364,1.2612738,0.2848373999999999
61,"('illogical', 'logical')",-0.0419977,0.3856103,0.427608
62,"('incompetent', 'brilliant')",1.2377059,1.3113158,0.07360990000000012
63,"('unperceptive', 'insightful')",1.1928005,1.0128189,-0.17998159999999985
64,"('shy', 'confident')",-0.4712803,-0.9145959,-0.44331560000000003
65,"('insecure', 'secure')",0.8821564,0.2042812,-0.6778751999999999
66,"('inactive', 'active')",-1.1679593,-1.1494957,0.018463600000000024
67,"('doubtful', 'determined')",-1.1375311,-0.9996739,0.1378571999999999
68,"('dependent', 'independent')",-0.6906477,-0.4079102,0.2827375
69,"('lazy', 'industrious')",-1.964589,-1.2310933,0.7334957
70,"('lethargic', 'energetic')",2.0632987,2.0439256,-0.0193730999999997
71,"('diffident', 'self-confident')",-0.2095716,0.0967382,0.30630979999999997
72,"('unambitious', 'ambitious')",1.1967866,0.7214803,-0.47530630000000007
73,"('helpless', 'self-reliant')",0.7711371,0.635093,-0.1360441
74,"('undedicated', 'dedicated')",1.1371342,2.1141632,0.9770290000000001
75,"('meek', 'impulsive')",0.1609991,-0.5393997,-0.7003988000000001
76,"('anxious', 'daring')",1.1075083,0.8204622,-0.28704609999999986
77,"('unmotivated', 'motivated')",0.0690586,-0.4039248,-0.47298339999999994
78,"('nonresilient', 'resilient')",-0.7116991,-0.2082637,0.5034354000000001
79,"('wavering', 'unwavering')",0.0258673,-0.237771,-0.2636383
80,"('dominated', 'dominating')",-0.3754444,-0.5490888,-0.17364440000000003
81,"('submissive', 'aggressive')",1.529561,-0.0051684,-1.5347294
82,"('poor', 'rich')",2.0904731,1.3874081,-0.703065
83,"('powerless', 'powerful')",-0.958618,-0.9651152,-0.006497199999999981
84,"('inferior', 'superior')",0.0539783,-0.4343827,-0.488361
85,"('insignificant', 'prestigious')",-0.3600684,-0.4533221,-0.0932537
86,"('uninfluential', 'influential')",1.2697467,1.3508144,0.08106769999999996
87,"('unsuccessful', 'successful')",0.4034767,0.1810585,-0.2224182
88,"('low', 'eminent')",0.880525,0.5689139,-0.31161110000000003
