,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.7103867,0.622862,-1.0875247
1,"('unfriendly', 'friendly')",1.6824008,1.9049659,0.22256510000000018
2,"('unlikable', 'likable')",0.9243975,0.108509,-0.8158885
3,"('repellent', 'pleasant')",1.0728769,1.1440227,0.07114580000000004
4,"('disliked', 'liked')",-0.6417191,-0.0312141,0.610505
5,"('distant', 'outgoing')",0.3566972,0.5444775,0.18778029999999996
6,"('distant', 'open')",0.1477703,0.484441,0.3366707
7,"('insensitive', 'sensitive')",1.8729215,1.5556392,-0.3172822999999998
8,"('unaffectionate', 'affectionate')",1.1237846,1.3367705,0.21298590000000006
9,"('unaffectionate', 'caring')",0.9996014,1.4088868,0.40928540000000013
10,"('unsympathetic', 'sympathetic')",1.8075383,0.8437969,-0.9637414000000001
11,"('unhelpful', 'helpful')",0.312192,-0.1672625,-0.4794545
12,"('unsupportive', 'supportive')",0.6698869,1.078648,0.4087611000000001
13,"('impolite', 'polite')",0.3564884,-0.1427896,-0.499278
14,"('antisocial', 'social')",0.3920784,0.6752647,0.28318630000000006
15,"('boring', 'funny')",0.7333716,0.407516,-0.3258556
16,"('unpopular', 'popular')",-0.6223375,-0.4379387,0.18439879999999997
17,"('nasty', 'nice')",-0.600084,-0.3248521,0.2752319
18,"('disagreeable', 'welcoming')",0.5282164,1.1726355,0.6444190999999999
19,"('inhospitable', 'hospitable')",0.1181346,0.0912823,-0.02685230000000001
20,"('rough', 'thoughtful')",-0.2360762,-0.1125043,0.12357190000000001
21,"('immoral', 'moral')",1.1455594,0.2355141,-0.9100453
22,"('untrustworthy', 'trustworthy')",1.0166518,0.800549,-0.21610280000000004
23,"('insincere', 'sincere')",1.5491709,1.1409297,-0.40824119999999997
24,"('dishonest', 'honest')",1.724074,1.2755984,-0.4484756000000001
25,"('egoistic', 'altruistic')",0.8871654,1.1338196,0.24665420000000005
26,"('hardhearted', 'benevolent')",0.561644,1.0676923,0.5060483
27,"('hardhearted', 'softhearted')",1.2382356,1.8128473,0.5746117
28,"('disloyal', 'loyal')",-0.0259119,-0.3057349,-0.279823
29,"('unfair', 'fair')",-0.3271209,0.0587312,0.3858521
30,"('intolerant', 'tolerant')",1.0196438,0.5499245,-0.46971930000000006
31,"('evil', 'good')",-0.8707909,-0.4344987,0.4362922
32,"('unkind', 'kind')",1.8507833,1.6521565,-0.1986268
