,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.6086247,0.7797632,-0.8288615
1,"('unfriendly', 'friendly')",2.1157042,2.1723707,0.05666649999999995
2,"('unlikable', 'likable')",1.2467163,0.4935833,-0.753133
3,"('repellent', 'pleasant')",1.4050093,1.5647261,0.1597168
4,"('disliked', 'liked')",-0.2790381,0.2124299,0.491468
5,"('distant', 'outgoing')",0.5587416,0.6602712,0.1015296
6,"('distant', 'open')",0.4479731,0.6254556,0.1774825
7,"('insensitive', 'sensitive')",2.0787176,1.928522,-0.15019559999999998
8,"('unaffectionate', 'affectionate')",1.2233768,1.359979,0.1366022
9,"('unaffectionate', 'caring')",1.1671801,1.4966481,0.3294680000000001
10,"('unsympathetic', 'sympathetic')",1.4978125,0.8333078,-0.6645047
11,"('unhelpful', 'helpful')",0.1283711,-0.0930032,-0.22137429999999997
12,"('unsupportive', 'supportive')",0.8150386,1.2478664,0.4328278
13,"('impolite', 'polite')",0.2816233,0.0583253,-0.22329800000000002
14,"('antisocial', 'social')",-0.2165023,0.2097825,0.4262848
15,"('boring', 'funny')",0.8548232,0.6516339,-0.20318930000000002
16,"('unpopular', 'popular')",-0.1273048,-0.0851946,0.0421102
17,"('nasty', 'nice')",-0.6129227,-0.33529,0.27763270000000007
18,"('disagreeable', 'welcoming')",0.8133763,1.2885831,0.47520680000000004
19,"('inhospitable', 'hospitable')",0.2183948,0.1027671,-0.1156277
20,"('rough', 'thoughtful')",-0.2985417,-0.0336395,0.26490220000000003
21,"('immoral', 'moral')",1.0300202,0.3202475,-0.7097727
22,"('untrustworthy', 'trustworthy')",0.8004227,0.7044341,-0.09598860000000009
23,"('insincere', 'sincere')",1.5039526,1.3055927,-0.19835990000000003
24,"('dishonest', 'honest')",1.4630168,1.2425019,-0.22051489999999996
25,"('egoistic', 'altruistic')",1.1368251,1.2779296,0.14110449999999997
26,"('hardhearted', 'benevolent')",0.1678318,0.5410717,0.37323990000000007
27,"('hardhearted', 'softhearted')",1.5119074,2.0796414,0.567734
28,"('disloyal', 'loyal')",0.1656485,0.013688,-0.1519605
29,"('unfair', 'fair')",-0.3062137,0.1732776,0.47949129999999995
30,"('intolerant', 'tolerant')",0.5999367,0.3856171,-0.2143196
31,"('evil', 'good')",-0.3640305,-0.2319094,0.1321211
32,"('unkind', 'kind')",2.0617531,1.9409072,-0.12084589999999973
33,"('wrong', 'right')",-0.5824445,0.0710234,0.6534679
34,"('mean', 'honorable')",0.5645581,0.1816863,-0.3828718
35,"('corrupt', 'incorrupt')",-2.196194,-1.4952431,0.7009509000000003
36,"('hostile', 'amicable')",-0.0463223,0.433345,0.47966729999999996
37,"('fake', 'genuine')",0.86767,0.7013663,-0.16630370000000005
38,"('untruthful', 'truthful')",-0.3045556,-0.1673206,0.13723499999999997
39,"('exploitative', 'cooperative')",-0.326516,0.2333084,0.5598244
40,"('stingy', 'generous')",2.2603848,1.7305001,-0.5298847000000002
41,"('unforgiving', 'forgiving')",1.0745171,0.6375561,-0.43696100000000004
42,"('unreliable', 'reliable')",0.6636043,0.8840365,0.22043219999999997
43,"('irresponsible', 'responsible')",0.8286223,0.744328,-0.08429430000000004
44,"('prejudiced', 'unprejudiced')",-1.480384,-1.673754,-0.19337000000000004
45,"('incompetent', 'competent')",0.9167615,0.8733343,-0.0434272
46,"('uncompetitive', 'competitive')",0.534965,0.4162529,-0.11871210000000004
47,"('stupid', 'smart')",0.882587,0.6245707,-0.2580163
48,"('unintelligent', 'intelligent')",1.2216129,0.7802112,-0.4414017
49,"('unable', 'able')",-0.5048089,0.1513906,0.6561995
50,"('clumsy', 'skillful')",-0.1654367,0.1000323,0.265469
51,"('uneducated', 'educated')",1.3863551,1.1322649,-0.25409020000000004
52,"('irrational', 'rational')",-0.3260807,-0.2227281,0.10335259999999999
53,"('uncreative', 'creative')",0.8917895,1.1724351,0.28064559999999994
54,"('incapable', 'capable')",1.0683571,0.4357083,-0.6326488000000001
55,"('incompetent', 'clever')",1.6261339,1.4475907,-0.1785432
56,"('impractical', 'practical')",0.5169863,0.6875923,0.17060600000000004
57,"('unimaginative', 'imaginative')",0.9587281,0.6663473,-0.2923808
58,"('undiscriminating', 'discriminating')",1.2894431,0.9046926,-0.3847505
59,"('foolish', 'wise')",-0.2497513,-0.1404135,0.10933780000000001
60,"('inefficient', 'efficient')",0.6380055,0.7931514,0.15514589999999995
61,"('illogical', 'logical')",0.4720272,0.8226081,0.3505809
62,"('incompetent', 'brilliant')",1.0765222,0.923719,-0.15280320000000014
63,"('unperceptive', 'insightful')",1.1688242,0.9687797,-0.20004449999999996
64,"('shy', 'confident')",-0.4957552,-0.9484652,-0.45271
65,"('insecure', 'secure')",0.9250946,0.2463909,-0.6787037
66,"('inactive', 'active')",-0.9658086,-0.9105997,0.055208900000000005
67,"('doubtful', 'determined')",-0.915353,-0.9011764,0.014176599999999984
68,"('dependent', 'independent')",-0.1909051,0.060824,0.2517291
69,"('lazy', 'industrious')",-2.1363507,-1.1650099,0.9713407999999999
70,"('lethargic', 'energetic')",2.0178084,1.857473,-0.1603353999999999
71,"('diffident', 'self-confident')",-0.2102437,0.0205885,0.23083220000000002
72,"('unambitious', 'ambitious')",1.0579304,0.4518939,-0.6060365000000001
73,"('helpless', 'self-reliant')",0.6939094,0.6557087,-0.038200699999999976
74,"('undedicated', 'dedicated')",1.1235947,2.0023955,0.8788008
75,"('meek', 'impulsive')",0.0541203,-0.435164,-0.4892843
76,"('anxious', 'daring')",0.933387,0.6504458,-0.2829412
77,"('unmotivated', 'motivated')",-0.0218611,-0.484455,-0.4625939
78,"('nonresilient', 'resilient')",-0.5647229,-0.1256261,0.43909680000000006
