,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.0325522,0.1129833,0.08043109999999999
1,"('unfriendly', 'friendly')",0.5489848,0.9602241,0.4112393
2,"('unlikable', 'likable')",0.9494603,0.4577624,-0.4916979
3,"('repellent', 'pleasant')",-0.5203706,-0.2219759,0.2983947
4,"('disliked', 'liked')",0.0620472,0.2977902,0.235743
5,"('distant', 'outgoing')",-0.0211144,0.2688845,0.2899989
6,"('distant', 'open')",0.0636205,0.4326598,0.36903929999999996
7,"('insensitive', 'sensitive')",1.0148599,1.166353,0.15149309999999994
8,"('unaffectionate', 'affectionate')",0.7090253,0.8391477,0.13012240000000008
9,"('unaffectionate', 'caring')",0.9688755,0.9009171,-0.06795839999999997
10,"('unsympathetic', 'sympathetic')",0.7963995,0.9597601,0.16336059999999997
11,"('unhelpful', 'helpful')",0.3959066,0.2941018,-0.10180479999999997
12,"('unsupportive', 'supportive')",0.7286675,0.9735467,0.24487919999999996
13,"('impolite', 'polite')",0.0720697,0.4893031,0.4172334
14,"('antisocial', 'social')",-0.4397792,0.0849429,0.5247221
15,"('boring', 'funny')",0.5690954,0.3740972,-0.1949982
16,"('unpopular', 'popular')",-0.6320055,-0.5881709,0.043834599999999946
17,"('nasty', 'nice')",-0.5759601,-0.1332495,0.44271059999999995
18,"('disagreeable', 'welcoming')",0.5034433,0.624517,0.12107369999999995
19,"('inhospitable', 'hospitable')",0.5422318,0.1817448,-0.360487
20,"('rough', 'thoughtful')",0.1435772,0.2767206,0.1331434
21,"('immoral', 'moral')",0.7542583,0.8423734,0.0881151
22,"('untrustworthy', 'trustworthy')",0.4676019,1.0235559,0.5559540000000001
23,"('insincere', 'sincere')",0.9209479,1.0682269,0.14727899999999994
24,"('dishonest', 'honest')",1.8065267,1.8516683,0.045141600000000004
25,"('egoistic', 'altruistic')",0.097489,0.1336747,0.0361857
26,"('hardhearted', 'benevolent')",0.3301285,0.4307268,0.10059830000000003
27,"('hardhearted', 'softhearted')",0.0953685,1.2483807,1.1530122
28,"('disloyal', 'loyal')",0.1809801,0.0991714,-0.0818087
29,"('unfair', 'fair')",-0.4645424,-0.5621572,-0.0976148
30,"('intolerant', 'tolerant')",0.8516885,0.9634928,0.11180430000000008
31,"('evil', 'good')",-0.8080471,-0.9053115,-0.09726440000000003
32,"('unkind', 'kind')",0.9654706,1.0272023,0.061731699999999945
