,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.433285,-0.4375182,-0.8708032
1,"('unfriendly', 'friendly')",0.9266337,1.0062124,0.07957869999999989
2,"('unlikable', 'likable')",0.5987665,1.0329639,0.43419739999999996
3,"('repellent', 'pleasant')",-0.5048327,-0.5762892,-0.07145649999999992
4,"('disliked', 'liked')",-0.1469629,0.6438648,0.7908277
5,"('distant', 'outgoing')",0.3079053,0.9478078,0.6399025
6,"('distant', 'open')",0.4534743,0.8651191,0.41164480000000003
7,"('insensitive', 'sensitive')",1.188006,0.7532594,-0.43474659999999987
8,"('unaffectionate', 'affectionate')",0.5703642,0.6502982,0.07993400000000006
9,"('unaffectionate', 'caring')",0.8997304,0.6840815,-0.21564890000000003
10,"('unsympathetic', 'sympathetic')",1.0652874,0.2255428,-0.8397446000000002
11,"('unhelpful', 'helpful')",-0.0412855,-0.5292979,-0.4880124
12,"('unsupportive', 'supportive')",0.6998791,0.7968583,0.09697920000000004
13,"('impolite', 'polite')",0.163765,-0.3413398,-0.5051048
14,"('antisocial', 'social')",-0.221085,-0.7670439,-0.5459589
15,"('boring', 'funny')",0.5756019,0.1988213,-0.3767806
16,"('unpopular', 'popular')",-1.1600121,-0.3971798,0.7628323000000001
17,"('nasty', 'nice')",-0.5882002,-0.3030421,0.28515809999999997
18,"('disagreeable', 'welcoming')",0.2575544,0.816634,0.5590796
19,"('inhospitable', 'hospitable')",0.2757467,0.7286679,0.4529212
20,"('rough', 'thoughtful')",0.5372029,0.185424,-0.3517789
21,"('immoral', 'moral')",0.8281809,0.3055729,-0.522608
22,"('untrustworthy', 'trustworthy')",0.3098256,0.2864626,-0.023362999999999967
23,"('insincere', 'sincere')",0.8310743,0.3665457,-0.46452860000000007
24,"('dishonest', 'honest')",2.0463987,1.2584575,-0.7879412000000001
25,"('egoistic', 'altruistic')",0.5536344,0.6593365,0.10570210000000002
26,"('hardhearted', 'benevolent')",0.4539326,0.2934135,-0.16051910000000003
27,"('hardhearted', 'softhearted')",0.7026564,1.1031774,0.4005210000000001
28,"('disloyal', 'loyal')",0.1948628,-0.3613529,-0.5562157
29,"('unfair', 'fair')",-0.3834306,-0.0750006,0.30843
30,"('intolerant', 'tolerant')",0.9545446,0.4192852,-0.5352593999999999
31,"('evil', 'good')",-0.837586,-0.2516792,0.5859068000000001
32,"('unkind', 'kind')",0.2867168,0.4191866,0.13246980000000003
33,"('wrong', 'right')",0.5128349,0.7403181,0.2274832
34,"('mean', 'honorable')",0.2623421,0.2505728,-0.011769300000000038
35,"('corrupt', 'incorrupt')",-0.4691906,0.054878,0.5240686
36,"('hostile', 'amicable')",-0.4484763,0.3534666,0.8019429
37,"('fake', 'genuine')",0.8679512,0.7280208,-0.1399304
38,"('untruthful', 'truthful')",0.5817939,0.6206087,0.03881480000000004
39,"('exploitative', 'cooperative')",-0.0481703,0.0710654,0.1192357
40,"('stingy', 'generous')",0.7767487,0.5376011,-0.2391475999999999
41,"('unforgiving', 'forgiving')",0.5771428,0.0049178,-0.572225
42,"('unreliable', 'reliable')",0.1218809,0.4037973,0.2819164
43,"('irresponsible', 'responsible')",1.5213985,0.5766004,-0.9447981000000001
44,"('prejudiced', 'unprejudiced')",-1.1555979,-0.5123158,0.6432821000000001
45,"('incompetent', 'competent')",0.560416,-0.3729643,-0.9333803
46,"('uncompetitive', 'competitive')",0.3783534,-0.3040625,-0.6824159000000001
47,"('stupid', 'smart')",0.1473846,-0.0141198,-0.1615044
48,"('unintelligent', 'intelligent')",1.2594145,0.0047702,-1.2546443
49,"('unable', 'able')",-0.2370461,-0.1478216,0.08922450000000001
50,"('clumsy', 'skillful')",-0.5267557,0.4052452,0.9320009
51,"('uneducated', 'educated')",0.6251372,-0.0037486,-0.6288857999999999
52,"('irrational', 'rational')",-0.4811261,0.0251781,0.5063042
53,"('uncreative', 'creative')",0.489691,0.1437885,-0.3459025
54,"('incapable', 'capable')",0.7322362,0.8220986,0.08986240000000001
55,"('incompetent', 'clever')",0.9707724,-0.3275408,-1.2983132
56,"('impractical', 'practical')",1.2659342,0.3763981,-0.8895360999999999
57,"('unimaginative', 'imaginative')",0.4173878,-0.4637335,-0.8811213
58,"('undiscriminating', 'discriminating')",1.1625588,0.6093682,-0.5531906
59,"('foolish', 'wise')",-0.4755273,0.2522949,0.7278222
60,"('inefficient', 'efficient')",0.7698517,0.1993549,-0.5704968
61,"('illogical', 'logical')",0.6811568,0.3196468,-0.36151
62,"('incompetent', 'brilliant')",0.8770952,0.3041833,-0.5729119
