,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.2923151,-0.0814242,-0.3737393
1,"('unfriendly', 'friendly')",1.0866569,0.8432278,-0.24342909999999995
2,"('unlikable', 'likable')",0.6839013,0.8926386,0.2087372999999999
3,"('repellent', 'pleasant')",-0.469639,-0.1148104,0.35482859999999994
4,"('disliked', 'liked')",0.1758264,0.0109598,-0.1648666
5,"('distant', 'outgoing')",0.8326798,0.5896851,-0.2429947
6,"('distant', 'open')",0.9151331,0.6845099,-0.23062320000000003
7,"('insensitive', 'sensitive')",0.6741552,0.8575893,0.18343410000000004
8,"('unaffectionate', 'affectionate')",0.7270525,0.6401596,-0.08689289999999994
9,"('unaffectionate', 'caring')",0.8403592,0.6893864,-0.15097280000000002
10,"('unsympathetic', 'sympathetic')",0.3995793,0.7900491,0.3904697999999999
11,"('unhelpful', 'helpful')",-0.1934073,0.1127889,0.30619620000000003
12,"('unsupportive', 'supportive')",0.4914845,0.7356266,0.24414210000000003
13,"('impolite', 'polite')",-0.2630433,0.053117,0.31616029999999995
14,"('antisocial', 'social')",-0.7772134,-0.6589116,0.11830180000000001
15,"('boring', 'funny')",0.5055444,0.6029793,0.09743489999999999
16,"('unpopular', 'popular')",-0.792886,-0.45568,0.337206
17,"('nasty', 'nice')",-0.6672366,-0.1476226,0.519614
18,"('disagreeable', 'welcoming')",0.2836972,0.4281051,0.14440790000000003
19,"('inhospitable', 'hospitable')",0.4363439,0.5438742,0.10753029999999997
20,"('rough', 'thoughtful')",0.0178822,0.456029,0.4381468
21,"('immoral', 'moral')",0.376105,0.5920346,0.21592959999999994
22,"('untrustworthy', 'trustworthy')",0.0463677,-0.030434,-0.0768017
23,"('insincere', 'sincere')",0.3452696,0.7391662,0.3938966
24,"('dishonest', 'honest')",1.596115,1.1488736,-0.4472414
25,"('egoistic', 'altruistic')",0.7703998,0.512184,-0.2582158
26,"('hardhearted', 'benevolent')",0.4936532,0.0204458,-0.4732074
27,"('hardhearted', 'softhearted')",0.430136,1.0613495,0.6312134999999999
28,"('disloyal', 'loyal')",-0.2583636,-0.4602693,-0.20190569999999997
29,"('unfair', 'fair')",-0.2705637,-0.2489103,0.021653400000000017
30,"('intolerant', 'tolerant')",0.6191041,0.9966395,0.37753539999999997
31,"('evil', 'good')",-0.6199565,-1.0070809,-0.38712440000000004
32,"('unkind', 'kind')",0.3909179,0.3745379,-0.016380000000000006
33,"('wrong', 'right')",0.4946816,0.5056489,0.010967299999999958
34,"('mean', 'honorable')",0.0438692,0.4626801,0.4188109
35,"('corrupt', 'incorrupt')",-0.3229826,-0.4403476,-0.117365
36,"('hostile', 'amicable')",-0.0818997,-0.0692093,0.012690400000000004
37,"('fake', 'genuine')",0.4315653,0.6849676,0.2534023
38,"('untruthful', 'truthful')",0.3534944,0.7707833,0.41728889999999996
39,"('exploitative', 'cooperative')",-0.1799521,-0.0367678,0.1431843
40,"('stingy', 'generous')",0.5868127,0.4532135,-0.13359919999999997
41,"('unforgiving', 'forgiving')",0.1976762,-0.102429,-0.3001052
42,"('unreliable', 'reliable')",0.1530266,0.4910461,0.3380195
43,"('irresponsible', 'responsible')",0.7974951,0.9000562,0.10256109999999996
44,"('prejudiced', 'unprejudiced')",-0.7683453,-0.8925173,-0.12417199999999995
45,"('incompetent', 'competent')",-0.0395937,-0.1304092,-0.0908155
46,"('uncompetitive', 'competitive')",-0.0319492,0.2249058,0.256855
47,"('stupid', 'smart')",0.0701453,-0.063829,-0.1339743
48,"('unintelligent', 'intelligent')",0.4632554,0.6177259,0.15447050000000007
49,"('unable', 'able')",-0.4274531,0.1381439,0.5655969999999999
50,"('clumsy', 'skillful')",-0.3194254,0.2888018,0.6082272
51,"('uneducated', 'educated')",0.1046455,0.2899888,0.1853433
52,"('irrational', 'rational')",-0.1034791,0.0080361,0.11151520000000001
53,"('uncreative', 'creative')",0.3698996,0.3817622,0.011862600000000001
54,"('incapable', 'capable')",0.6084266,0.8375033,0.2290766999999999
55,"('incompetent', 'clever')",0.3044309,0.1869208,-0.1175101
56,"('impractical', 'practical')",0.9025542,1.1757705,0.2732163000000001
57,"('unimaginative', 'imaginative')",0.2705763,0.3028659,0.03228960000000003
58,"('undiscriminating', 'discriminating')",0.6175565,0.9342723,0.3167158000000001
59,"('foolish', 'wise')",-0.1431934,-0.1913207,-0.04812730000000001
60,"('inefficient', 'efficient')",0.1242922,0.7071009,0.5828087000000001
61,"('illogical', 'logical')",0.406951,0.3613022,-0.04564879999999999
62,"('incompetent', 'brilliant')",0.3292338,0.6032703,0.2740365
63,"('unperceptive', 'insightful')",0.5542779,0.8451698,0.2908919
64,"('shy', 'confident')",-0.916887,-1.0103928,-0.09350579999999997
65,"('insecure', 'secure')",-0.0022289,-0.4032259,-0.40099700000000005
66,"('inactive', 'active')",-0.4820593,-0.0651291,0.41693020000000003
67,"('doubtful', 'determined')",-0.2366117,-0.3576739,-0.12106219999999998
68,"('dependent', 'independent')",-0.4930925,-0.1981386,0.2949539
69,"('lazy', 'industrious')",-0.6378811,-0.4063346,0.2315465
70,"('lethargic', 'energetic')",0.5801421,0.8528091,0.272667
71,"('diffident', 'self-confident')",0.431508,0.2380446,-0.1934634
72,"('unambitious', 'ambitious')",0.5304884,0.601567,0.07107859999999999
73,"('helpless', 'self-reliant')",0.5817351,0.5426899,-0.0390452
74,"('undedicated', 'dedicated')",0.8542494,0.9854131,0.1311637
75,"('meek', 'impulsive')",-0.6867008,-0.427906,0.2587948
76,"('anxious', 'daring')",0.0702873,0.6376405,0.5673532000000001
77,"('unmotivated', 'motivated')",-0.5656825,-0.2983373,0.26734519999999995
78,"('nonresilient', 'resilient')",-0.3164387,0.0940022,0.4104409
79,"('wavering', 'unwavering')",-0.041229,0.2929849,0.3342139
80,"('dominated', 'dominating')",-0.4036521,-0.4708545,-0.0672024
81,"('submissive', 'aggressive')",0.0847612,-0.4838509,-0.5686121
82,"('poor', 'rich')",0.2811797,0.2922257,0.011046
83,"('powerless', 'powerful')",-0.589332,-0.2464481,0.34288389999999996
84,"('inferior', 'superior')",0.1193805,-0.0350427,-0.1544232
85,"('insignificant', 'prestigious')",0.2071948,0.2184238,0.011228999999999989
86,"('uninfluential', 'influential')",0.0063994,-0.0914891,-0.0978885
87,"('unsuccessful', 'successful')",-0.5360577,-0.6666648,-0.13060709999999998
88,"('low', 'eminent')",0.5526728,0.8325931,0.2799203
