,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.2655169,-0.8873531,-1.15287
1,"('unfriendly', 'friendly')",0.7410731,0.5122014,-0.2288717
2,"('unlikable', 'likable')",0.7277116,0.702425,-0.025286600000000048
3,"('repellent', 'pleasant')",-0.0678054,-0.6790881,-0.6112827
4,"('disliked', 'liked')",0.17179,0.7333553,0.5615653
5,"('distant', 'outgoing')",0.0521817,0.8977852,0.8456035
6,"('distant', 'open')",0.1152621,0.8590442,0.7437821
7,"('insensitive', 'sensitive')",1.4399468,0.2794892,-1.1604576
8,"('unaffectionate', 'affectionate')",0.5808614,0.8612237,0.28036230000000006
9,"('unaffectionate', 'caring')",1.0881493,0.5693958,-0.5187535
10,"('unsympathetic', 'sympathetic')",1.4808677,-0.3783948,-1.8592624999999998
11,"('unhelpful', 'helpful')",0.0784157,-0.5726166,-0.6510323
12,"('unsupportive', 'supportive')",1.1510735,0.5225166,-0.6285569000000001
13,"('impolite', 'polite')",0.4321218,-0.5598042,-0.991926
14,"('antisocial', 'social')",-0.1292843,-0.9708281,-0.8415438
15,"('boring', 'funny')",0.0795256,0.3189667,0.2394411
16,"('unpopular', 'popular')",-1.09043,-0.2509319,0.8394981
17,"('nasty', 'nice')",-0.5146906,-0.0967584,0.4179322
18,"('disagreeable', 'welcoming')",0.5475754,0.6354915,0.08791609999999994
19,"('inhospitable', 'hospitable')",0.3453914,0.6891298,0.3437384
20,"('rough', 'thoughtful')",-0.0051934,-0.2976262,-0.2924328
21,"('immoral', 'moral')",1.1219502,-0.0937544,-1.2157045999999998
22,"('untrustworthy', 'trustworthy')",0.5628208,0.0373003,-0.5255205000000001
23,"('insincere', 'sincere')",1.1680647,0.0866063,-1.0814584
24,"('dishonest', 'honest')",1.9888314,0.9671429,-1.0216885
25,"('egoistic', 'altruistic')",0.0586903,0.4910504,0.4323601
26,"('hardhearted', 'benevolent')",0.4760654,0.2031612,-0.27290420000000004
27,"('hardhearted', 'softhearted')",0.561504,0.6154115,0.0539075
28,"('disloyal', 'loyal')",-0.0921,-0.8697703,-0.7776703
29,"('unfair', 'fair')",-0.9476184,-0.580787,0.3668313999999999
30,"('intolerant', 'tolerant')",1.0851141,0.1265569,-0.9585572
31,"('evil', 'good')",-1.1592121,-0.0904504,1.0687617
32,"('unkind', 'kind')",1.1068011,0.4651202,-0.6416809
33,"('wrong', 'right')",0.4900346,0.6615562,0.17152160000000005
34,"('mean', 'honorable')",0.5912195,0.0665498,-0.5246697
35,"('corrupt', 'incorrupt')",-0.8300423,0.1468696,0.9769118999999999
36,"('hostile', 'amicable')",-0.2213651,0.5067047,0.7280698
37,"('fake', 'genuine')",0.8990281,0.4954326,-0.4035955
38,"('untruthful', 'truthful')",0.837238,0.5145132,-0.32272480000000003
39,"('exploitative', 'cooperative')",0.0550737,-0.2242332,-0.2793069
40,"('stingy', 'generous')",0.650593,0.3774782,-0.2731148
41,"('unforgiving', 'forgiving')",0.2758763,-0.1748109,-0.4506872
42,"('unreliable', 'reliable')",0.055453,0.4874463,0.4319933
43,"('irresponsible', 'responsible')",1.3056231,0.3875551,-0.9180680000000001
44,"('prejudiced', 'unprejudiced')",-1.1275446,-0.6012788,0.5262658
45,"('incompetent', 'competent')",0.3599093,-0.3966858,-0.7565951
46,"('uncompetitive', 'competitive')",0.3940261,-0.7560486,-1.1500747
47,"('stupid', 'smart')",0.2191822,-0.2985326,-0.5177148
48,"('unintelligent', 'intelligent')",0.5297735,-0.404981,-0.9347544999999999
49,"('unable', 'able')",-0.3420086,-0.3707109,-0.028702300000000014
50,"('clumsy', 'skillful')",-0.1555143,0.5723216,0.7278359
51,"('uneducated', 'educated')",0.8403917,0.0047596,-0.8356321
52,"('irrational', 'rational')",-0.9114531,0.3006882,1.2121413
53,"('uncreative', 'creative')",0.4055498,0.1911255,-0.2144243
54,"('incapable', 'capable')",0.7071338,0.4329895,-0.2741443
55,"('incompetent', 'clever')",0.8549506,-0.4592842,-1.3142348
56,"('impractical', 'practical')",1.3841776,0.4398298,-0.9443477999999998
57,"('unimaginative', 'imaginative')",0.3427907,-0.5844102,-0.9272009
58,"('undiscriminating', 'discriminating')",0.6840863,0.2739253,-0.41016100000000005
59,"('foolish', 'wise')",-0.7003049,0.1419164,0.8422213000000001
60,"('inefficient', 'efficient')",0.8337862,-0.3121112,-1.1458974
61,"('illogical', 'logical')",0.1497879,-0.4009802,-0.5507681
62,"('incompetent', 'brilliant')",0.6225821,-0.1787018,-0.8012839
