,Value_Male,0,1,Value_Female,female-male,tuple
0,0.65698266,unsociable,sociable,0.10338238,-0.5536003,"('unsociable', 'sociable')"
1,1.9274238,unfriendly,friendly,2.206915,0.27949107,"('unfriendly', 'friendly')"
2,1.1271224,unlikable,likable,0.28386188,-0.8432605,"('unlikable', 'likable')"
3,0.44133335,repellent,pleasant,0.49642944,0.05509609,"('repellent', 'pleasant')"
4,-0.2120697,disliked,liked,0.07868182,0.29075152,"('disliked', 'liked')"
5,0.78041637,distant,outgoing,0.8929957,0.112579346,"('distant', 'outgoing')"
6,0.79761714,distant,open,1.0135508,0.21593362,"('distant', 'open')"
7,1.3756037,insensitive,sensitive,1.663757,0.2881533,"('insensitive', 'sensitive')"
8,1.0149362,unaffectionate,affectionate,1.5214986,0.50656235,"('unaffectionate', 'affectionate')"
9,1.0948082,unaffectionate,caring,1.8671901,0.7723819,"('unaffectionate', 'caring')"
10,1.252167,unsympathetic,sympathetic,1.0930797,-0.1590873,"('unsympathetic', 'sympathetic')"
11,0.14832352,unhelpful,helpful,0.06492275,-0.08340077,"('unhelpful', 'helpful')"
12,0.1200373,unsupportive,supportive,1.0486746,0.92863727,"('unsupportive', 'supportive')"
13,0.38628435,impolite,polite,0.30649272,-0.079791635,"('impolite', 'polite')"
14,-0.5870235,antisocial,social,0.19681035,0.78383386,"('antisocial', 'social')"
15,0.63716924,boring,funny,0.4148783,-0.22229093,"('boring', 'funny')"
16,0.88603276,unpopular,popular,0.53975326,-0.3462795,"('unpopular', 'popular')"
17,0.09180985,nasty,nice,0.41944253,0.3276327,"('nasty', 'nice')"
18,0.53209674,disagreeable,welcoming,1.403925,0.8718282,"('disagreeable', 'welcoming')"
19,0.5013102,inhospitable,hospitable,-0.19350863,-0.69481885,"('inhospitable', 'hospitable')"
20,-0.20029812,rough,thoughtful,-0.14154583,0.058752283,"('rough', 'thoughtful')"
21,0.50205433,immoral,moral,-0.010138648,-0.51219296,"('immoral', 'moral')"
22,0.27872306,untrustworthy,trustworthy,0.46312714,0.18440408,"('untrustworthy', 'trustworthy')"
23,1.2510155,insincere,sincere,1.2687172,0.017701626,"('insincere', 'sincere')"
24,1.7714514,dishonest,honest,1.8444995,0.073048115,"('dishonest', 'honest')"
25,0.5717562,egoistic,altruistic,0.7046844,0.1329282,"('egoistic', 'altruistic')"
26,-0.0016135275,hardhearted,benevolent,0.8902679,0.89188147,"('hardhearted', 'benevolent')"
27,0.70227665,hardhearted,softhearted,1.5407073,0.8384307,"('hardhearted', 'softhearted')"
28,0.36011794,disloyal,loyal,0.3301894,-0.029928535,"('disloyal', 'loyal')"
29,-1.2629654,unfair,fair,-0.72057307,0.5423924,"('unfair', 'fair')"
30,0.5680798,intolerant,tolerant,0.7349141,0.1668343,"('intolerant', 'tolerant')"
31,-0.24822888,evil,good,-0.3138215,-0.06559262,"('evil', 'good')"
32,2.04109,unkind,kind,1.8968273,-0.14426267,"('unkind', 'kind')"
33,-0.27120495,wrong,right,0.574515,0.84571993,"('wrong', 'right')"
34,0.6120248,mean,honorable,0.37698358,-0.2350412,"('mean', 'honorable')"
35,-0.7082301,corrupt,incorrupt,-0.8225633,-0.11433321,"('corrupt', 'incorrupt')"
36,0.5130304,hostile,amicable,0.76371855,0.25068814,"('hostile', 'amicable')"
37,0.6167572,fake,genuine,0.5518177,-0.0649395,"('fake', 'genuine')"
38,0.1716889,untruthful,truthful,0.35062516,0.17893626,"('untruthful', 'truthful')"
39,0.12274605,exploitative,cooperative,0.5558785,0.43313247,"('exploitative', 'cooperative')"
40,0.36118034,stingy,generous,0.23554657,-0.12563376,"('stingy', 'generous')"
41,0.44353768,unforgiving,forgiving,0.2544023,-0.18913537,"('unforgiving', 'forgiving')"
42,0.39036041,unreliable,reliable,0.7962303,0.4058699,"('unreliable', 'reliable')"
43,1.0311555,irresponsible,responsible,1.2119863,0.18083084,"('irresponsible', 'responsible')"
44,-0.9737816,prejudiced,unprejudiced,-1.3436205,-0.36983895,"('prejudiced', 'unprejudiced')"
45,0.6633523,incompetent,competent,0.9092237,0.24587137,"('incompetent', 'competent')"
46,-0.25196737,uncompetitive,competitive,-0.1013836,0.15058377,"('uncompetitive', 'competitive')"
47,1.0530803,stupid,smart,0.765723,-0.28735733,"('stupid', 'smart')"
48,0.61632997,unintelligent,intelligent,0.29736692,-0.31896305,"('unintelligent', 'intelligent')"
49,-0.0041675046,unable,able,0.85345817,0.85762566,"('unable', 'able')"
50,0.6349577,clumsy,skillful,0.39369553,-0.24126214,"('clumsy', 'skillful')"
51,0.1856205,uneducated,educated,-0.20246741,-0.38808793,"('uneducated', 'educated')"
52,0.21995147,irrational,rational,0.20385171,-0.016099751,"('irrational', 'rational')"
53,1.1345096,uncreative,creative,1.3610995,0.22658992,"('uncreative', 'creative')"
54,1.9993162,incapable,capable,1.0920589,-0.9072573,"('incapable', 'capable')"
