,Value_Male,0,1,Value_Female,female-male,tuple
0,0.4680345,unsociable,sociable,-0.24901544,-0.71704996,"('unsociable', 'sociable')"
1,2.1290412,unfriendly,friendly,2.5173566,0.38831544,"('unfriendly', 'friendly')"
2,1.5088235,unlikable,likable,0.5604434,-0.9483801,"('unlikable', 'likable')"
3,0.76522696,repellent,pleasant,0.97432256,0.2090956,"('repellent', 'pleasant')"
4,-0.41524747,disliked,liked,0.18288796,0.5981354,"('disliked', 'liked')"
5,0.8434386,distant,outgoing,1.2210487,0.3776101,"('distant', 'outgoing')"
6,0.54572666,distant,open,1.1197447,0.574018,"('distant', 'open')"
7,1.3264271,insensitive,sensitive,1.4351133,0.10868621,"('insensitive', 'sensitive')"
8,1.1873703,unaffectionate,affectionate,1.7588266,0.5714563,"('unaffectionate', 'affectionate')"
9,1.0743021,unaffectionate,caring,1.769763,0.6954609,"('unaffectionate', 'caring')"
10,1.4535391,unsympathetic,sympathetic,0.93557364,-0.5179655,"('unsympathetic', 'sympathetic')"
11,0.6673426,unhelpful,helpful,0.21060908,-0.45673352,"('unhelpful', 'helpful')"
12,0.20470949,unsupportive,supportive,0.9015676,0.6968581,"('unsupportive', 'supportive')"
13,0.75045156,impolite,polite,0.32958734,-0.42086422,"('impolite', 'polite')"
14,-1.2097031,antisocial,social,-0.8541593,0.3555438,"('antisocial', 'social')"
15,1.033325,boring,funny,0.81326103,-0.22006392,"('boring', 'funny')"
16,1.0014566,unpopular,popular,0.8669994,-0.13445723,"('unpopular', 'popular')"
17,0.50809544,nasty,nice,0.74942356,0.24132812,"('nasty', 'nice')"
18,0.52177256,disagreeable,welcoming,1.3512979,0.8295253,"('disagreeable', 'welcoming')"
19,0.99401593,inhospitable,hospitable,0.50807464,-0.4859413,"('inhospitable', 'hospitable')"
20,-0.35944393,rough,thoughtful,-0.40500498,-0.045561045,"('rough', 'thoughtful')"
21,1.0520933,immoral,moral,0.32210806,-0.72998524,"('immoral', 'moral')"
22,-0.051306628,untrustworthy,trustworthy,0.055643003,0.10694963,"('untrustworthy', 'trustworthy')"
23,1.5831962,insincere,sincere,1.3215886,-0.26160753,"('insincere', 'sincere')"
24,1.783612,dishonest,honest,1.74986,-0.033751965,"('dishonest', 'honest')"
25,0.66369164,egoistic,altruistic,0.76372325,0.100031614,"('egoistic', 'altruistic')"
26,-0.20438209,hardhearted,benevolent,0.5764661,0.78084815,"('hardhearted', 'benevolent')"
27,0.71230036,hardhearted,softhearted,1.6941876,0.9818873,"('hardhearted', 'softhearted')"
28,0.6339958,disloyal,loyal,0.4196593,-0.21433648,"('disloyal', 'loyal')"
29,-1.3538423,unfair,fair,-0.6524836,0.7013587,"('unfair', 'fair')"
30,0.9502222,intolerant,tolerant,0.8045841,-0.14563811,"('intolerant', 'tolerant')"
31,-0.5756558,evil,good,-0.40589568,0.16976014,"('evil', 'good')"
