,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",-0.023186,-0.6004279,-0.5772419
1,"('unfriendly', 'friendly')",1.7236427,2.0787417,0.35509900000000005
2,"('unlikable', 'likable')",0.849088,0.1128586,-0.7362293999999999
3,"('repellent', 'pleasant')",0.0476744,0.2451523,0.19747789999999998
4,"('disliked', 'liked')",-0.1849624,0.1858773,0.3708397
5,"('distant', 'outgoing')",0.2860637,0.5886331,0.30256940000000004
6,"('distant', 'open')",0.5439285,0.8976809,0.35375239999999997
7,"('insensitive', 'sensitive')",1.2102349,1.4758464,0.2656115000000001
8,"('unaffectionate', 'affectionate')",1.2289781,1.7993936,0.5704155
9,"('unaffectionate', 'caring')",0.9915279,1.8215228,0.8299949000000001
10,"('unsympathetic', 'sympathetic')",0.9092694,0.6515509,-0.25771849999999996
11,"('unhelpful', 'helpful')",-0.1496563,-0.350729,-0.20107270000000002
12,"('unsupportive', 'supportive')",0.2291126,1.0974365,0.8683238999999999
13,"('impolite', 'polite')",-0.1369891,-0.1457893,-0.008800200000000008
14,"('antisocial', 'social')",-0.7567694,-0.169759,0.5870104
15,"('boring', 'funny')",0.5104291,0.3879151,-0.12251399999999996
16,"('unpopular', 'popular')",0.3259991,0.0530503,-0.2729488
17,"('nasty', 'nice')",-0.0262174,0.2364813,0.2626987
18,"('disagreeable', 'welcoming')",0.5168925,1.3167839,0.7998913999999999
19,"('inhospitable', 'hospitable')",0.5266257,0.0314538,-0.4951719
20,"('rough', 'thoughtful')",-0.5379865,-0.425086,0.11290050000000001
21,"('immoral', 'moral')",0.3555687,-0.0152405,-0.3708092
22,"('untrustworthy', 'trustworthy')",-0.0223064,0.1916215,0.2139279
23,"('insincere', 'sincere')",0.8879007,0.9612202,0.07331949999999998
24,"('dishonest', 'honest')",1.6137283,1.6537583,0.04003000000000001
25,"('egoistic', 'altruistic')",0.8806367,1.1096941,0.22905739999999997
26,"('hardhearted', 'benevolent')",0.4193242,1.0449146,0.6255904000000001
27,"('hardhearted', 'softhearted')",0.683361,1.407477,0.7241160000000001
28,"('disloyal', 'loyal')",0.5367433,0.2837375,-0.25300580000000006
29,"('unfair', 'fair')",-1.4391475,-0.7890723,0.6500752000000001
30,"('intolerant', 'tolerant')",0.3634577,0.357595,-0.0058626999999999985
31,"('evil', 'good')",-0.0451784,-0.1229192,-0.0777408
32,"('unkind', 'kind')",1.7450043,1.8529897,0.10798540000000001
33,"('wrong', 'right')",-0.1298527,0.6429086,0.7727613
34,"('mean', 'honorable')",0.5125153,0.1881139,-0.3244014
35,"('corrupt', 'incorrupt')",-0.50878,-0.6470776,-0.13829760000000002
36,"('hostile', 'amicable')",0.5281297,0.6920046,0.16387489999999993
37,"('fake', 'genuine')",0.9275454,0.7464322,-0.18111319999999997
38,"('untruthful', 'truthful')",0.1719666,0.2564452,0.08447859999999999
39,"('exploitative', 'cooperative')",0.0750078,0.4999334,0.42492559999999996
40,"('stingy', 'generous')",0.5255411,0.2903042,-0.23523689999999997
41,"('unforgiving', 'forgiving')",0.7715713,0.3483424,-0.42322889999999996
42,"('unreliable', 'reliable')",0.2281796,0.6295427,0.4013631
43,"('irresponsible', 'responsible')",0.5975655,0.8691466,0.2715811
44,"('prejudiced', 'unprejudiced')",-1.1628762,-1.4446677,-0.2817915000000002
45,"('incompetent', 'competent')",0.2427475,0.2937305,0.050983
46,"('uncompetitive', 'competitive')",-0.6080196,-0.5466438,0.06137579999999998
47,"('stupid', 'smart')",0.5961394,0.279157,-0.3169824
48,"('unintelligent', 'intelligent')",0.4873932,0.2641502,-0.22324300000000002
49,"('unable', 'able')",-0.6060246,0.2334586,0.8394832
50,"('clumsy', 'skillful')",0.5291449,0.4177143,-0.11143060000000005
51,"('uneducated', 'educated')",0.4074496,0.1193742,-0.28807540000000004
52,"('irrational', 'rational')",0.6976509,0.6466307,-0.05102019999999996
53,"('uncreative', 'creative')",0.8783525,1.2566446,0.3782921
54,"('incapable', 'capable')",1.7116916,1.0196972,-0.6919944
55,"('incompetent', 'clever')",-0.2571986,-0.0059892,0.2512094
56,"('impractical', 'practical')",0.2769551,0.6931475,0.4161924
57,"('unimaginative', 'imaginative')",0.3535843,0.0645984,-0.2889859
58,"('undiscriminating', 'discriminating')",0.5563377,0.2056414,-0.35069630000000007
59,"('foolish', 'wise')",0.3259641,0.2340269,-0.09193719999999997
60,"('inefficient', 'efficient')",-0.598647,0.0655993,0.6642463000000001
61,"('illogical', 'logical')",-0.6330528,-0.2310414,0.40201139999999996
62,"('incompetent', 'brilliant')",0.009474,0.1912502,0.1817762
63,"('unperceptive', 'insightful')",0.6305196,0.5100562,-0.1204634
64,"('shy', 'confident')",-0.7814945,-1.2921655,-0.5106710000000001
65,"('insecure', 'secure')",-0.3127277,-1.0075447,-0.694817
66,"('inactive', 'active')",0.0139388,-0.1131377,-0.12707649999999998
67,"('doubtful', 'determined')",-0.9410353,-0.7114471,0.22958820000000002
68,"('dependent', 'independent')",-0.4810601,-0.4060157,0.07504440000000001
69,"('lazy', 'industrious')",-0.8078839,-0.2292671,0.5786168
70,"('lethargic', 'energetic')",0.7247492,0.8592555,0.13450629999999997
71,"('diffident', 'self-confident')",-0.1704877,0.312354,0.48284170000000004
72,"('unambitious', 'ambitious')",0.6793138,0.2466123,-0.43270149999999996
73,"('helpless', 'self-reliant')",0.5263837,0.470037,-0.05634670000000003
74,"('undedicated', 'dedicated')",0.3117579,1.5925979,1.28084
75,"('meek', 'impulsive')",0.2505176,-0.615821,-0.8663386
76,"('anxious', 'daring')",0.2605595,0.1374402,-0.12311929999999999
77,"('unmotivated', 'motivated')",-0.3923746,-0.8048513,-0.41247670000000003
78,"('nonresilient', 'resilient')",-1.1716289,-0.3853095,0.7863194
79,"('wavering', 'unwavering')",0.7454291,0.5879258,-0.1575032999999999
80,"('dominated', 'dominating')",-0.7251107,-1.1659858,-0.4408751000000001
81,"('submissive', 'aggressive')",0.7096002,-0.8802146,-1.5898148
82,"('poor', 'rich')",1.4841655,0.6435835,-0.840582
83,"('powerless', 'powerful')",-0.8529749,-0.634678,0.21829690000000002
84,"('inferior', 'superior')",-0.0107309,-0.4190803,-0.40834940000000003
85,"('insignificant', 'prestigious')",1.6053668,1.5488968,-0.05647000000000002
86,"('uninfluential', 'influential')",0.310538,0.7080994,0.39756140000000006
87,"('unsuccessful', 'successful')",0.1295668,-0.3229411,-0.45250789999999996
88,"('low', 'eminent')",1.4986112,1.1078232,-0.39078800000000014
