,Value_Male,0,1,Value_Female,female-male,tuple
0,0.5156069,unsociable,sociable,-0.25489146,-0.77049834,"('unsociable', 'sociable')"
1,1.5056598,unfriendly,friendly,2.0228143,0.51715446,"('unfriendly', 'friendly')"
2,0.9622302,unlikable,likable,0.15619233,-0.8060379,"('unlikable', 'likable')"
3,0.30802983,repellent,pleasant,0.38594246,0.07791263,"('repellent', 'pleasant')"
4,-0.056249246,disliked,liked,0.3525218,0.40877104,"('disliked', 'liked')"
5,0.47337133,distant,outgoing,0.8275329,0.35416156,"('distant', 'outgoing')"
6,0.96269196,distant,open,1.2411801,0.2784881,"('distant', 'open')"
7,1.3083446,insensitive,sensitive,1.6015711,0.29322648,"('insensitive', 'sensitive')"
8,0.56626964,unaffectionate,affectionate,1.3993478,0.83307815,"('unaffectionate', 'affectionate')"
9,0.6810027,unaffectionate,caring,1.7143078,1.0333052,"('unaffectionate', 'caring')"
10,1.4307145,unsympathetic,sympathetic,1.0705954,-0.3601191,"('unsympathetic', 'sympathetic')"
11,-0.34098086,unhelpful,helpful,-0.49488735,-0.1539065,"('unhelpful', 'helpful')"
12,0.064912714,unsupportive,supportive,0.9082848,0.84337205,"('unsupportive', 'supportive')"
13,0.03346732,impolite,polite,-0.1486344,-0.18210173,"('impolite', 'polite')"
14,-0.2927733,antisocial,social,0.14774741,0.4405207,"('antisocial', 'social')"
15,0.53157204,boring,funny,0.40568197,-0.12589008,"('boring', 'funny')"
16,0.7513183,unpopular,popular,0.4047944,-0.34652388,"('unpopular', 'popular')"
17,0.2958075,nasty,nice,0.48372543,0.18791792,"('nasty', 'nice')"
18,0.4606806,disagreeable,welcoming,1.1839576,0.723277,"('disagreeable', 'welcoming')"
19,0.23376967,inhospitable,hospitable,-0.040526424,-0.2742961,"('inhospitable', 'hospitable')"
20,-0.07412009,rough,thoughtful,0.030448496,0.104568586,"('rough', 'thoughtful')"
21,0.67438745,immoral,moral,0.20091808,-0.47346938,"('immoral', 'moral')"
22,0.5856757,untrustworthy,trustworthy,0.5592015,-0.026474237,"('untrustworthy', 'trustworthy')"
23,0.84914625,insincere,sincere,0.8141942,-0.034952044,"('insincere', 'sincere')"
24,1.6482573,dishonest,honest,1.7954267,0.14716947,"('dishonest', 'honest')"
25,0.6652142,egoistic,altruistic,0.98997456,0.32476038,"('egoistic', 'altruistic')"
26,-0.022671908,hardhearted,benevolent,0.70733607,0.730008,"('hardhearted', 'benevolent')"
27,0.78437537,hardhearted,softhearted,1.5315449,0.74716955,"('hardhearted', 'softhearted')"
28,0.38229173,disloyal,loyal,0.21436131,-0.16793042,"('disloyal', 'loyal')"
29,-1.1207433,unfair,fair,-0.5671806,0.5535627,"('unfair', 'fair')"
30,0.37130332,intolerant,tolerant,0.3227526,-0.048550725,"('intolerant', 'tolerant')"
31,-0.060951974,evil,good,-0.17191844,-0.11096646,"('evil', 'good')"
