,Value_Male,0,1,Value_Female,female-male,tuple
0,1.3615004,unsociable,sociable,0.28127187,-1.0802286,"('unsociable', 'sociable')"
1,0.982892,unfriendly,friendly,1.5069225,0.5240305,"('unfriendly', 'friendly')"
2,1.4210653,unlikable,likable,0.63192576,-0.78913957,"('unlikable', 'likable')"
3,0.6455572,repellent,pleasant,0.9284229,0.2828657,"('repellent', 'pleasant')"
4,-0.32626244,disliked,liked,0.16582738,0.4920898,"('disliked', 'liked')"
5,-0.081078276,distant,outgoing,0.3169973,0.39807558,"('distant', 'outgoing')"
6,0.077823535,distant,open,0.4739447,0.39612114,"('distant', 'open')"
7,1.8560334,insensitive,sensitive,1.95571,0.09967661,"('insensitive', 'sensitive')"
8,0.19061905,unaffectionate,affectionate,0.90988064,0.7192616,"('unaffectionate', 'affectionate')"
9,0.100705996,unaffectionate,caring,0.9878383,0.88713235,"('unaffectionate', 'caring')"
10,2.0662222,unsympathetic,sympathetic,1.182751,-0.88347113,"('unsympathetic', 'sympathetic')"
11,0.09864286,unhelpful,helpful,-0.1893293,-0.28797215,"('unhelpful', 'helpful')"
12,0.5713107,unsupportive,supportive,1.2476604,0.6763497,"('unsupportive', 'supportive')"
13,0.45540866,impolite,polite,-0.006260502,-0.46166918,"('impolite', 'polite')"
14,-0.045301966,antisocial,social,0.11217117,0.15747315,"('antisocial', 'social')"
15,0.3497436,boring,funny,0.23991376,-0.10982984,"('boring', 'funny')"
16,0.05954368,unpopular,popular,0.2544559,0.19491221,"('unpopular', 'popular')"
17,0.18309394,nasty,nice,0.5214069,0.33831295,"('nasty', 'nice')"
18,0.15340546,disagreeable,welcoming,0.9387111,0.7853056,"('disagreeable', 'welcoming')"
19,-0.08890383,inhospitable,hospitable,-0.29851043,-0.2096066,"('inhospitable', 'hospitable')"
20,-0.1574799,rough,thoughtful,0.039793245,0.19727314,"('rough', 'thoughtful')"
21,1.105797,immoral,moral,0.31886756,-0.7869295,"('immoral', 'moral')"
22,0.9240438,untrustworthy,trustworthy,0.637557,-0.28648674,"('untrustworthy', 'trustworthy')"
23,1.1476251,insincere,sincere,1.1157345,-0.03189063,"('insincere', 'sincere')"
24,1.8022642,dishonest,honest,1.413821,-0.38844323,"('dishonest', 'honest')"
25,0.2306095,egoistic,altruistic,0.66341984,0.43281034,"('egoistic', 'altruistic')"
26,0.16153085,hardhearted,benevolent,0.42961118,0.26808032,"('hardhearted', 'benevolent')"
27,0.6256916,hardhearted,softhearted,1.438629,0.81293744,"('hardhearted', 'softhearted')"
28,0.37713328,disloyal,loyal,0.014253404,-0.36287987,"('disloyal', 'loyal')"
29,-1.0189041,unfair,fair,-0.3616671,0.657237,"('unfair', 'fair')"
30,1.2667673,intolerant,tolerant,0.8444617,-0.42230558,"('intolerant', 'tolerant')"
31,-0.82122535,evil,good,-0.6901333,0.13109207,"('evil', 'good')"
32,1.523235,unkind,kind,1.2969987,-0.22623622,"('unkind', 'kind')"
33,-0.6348726,wrong,right,0.36966446,1.0045371,"('wrong', 'right')"
34,0.4520957,mean,honorable,0.11656978,-0.3355259,"('mean', 'honorable')"
35,-1.5490139,corrupt,incorrupt,-1.2926694,0.25634444,"('corrupt', 'incorrupt')"
36,0.3065639,hostile,amicable,0.8395657,0.5330018,"('hostile', 'amicable')"
37,0.59094363,fake,genuine,0.5461848,-0.044758856,"('fake', 'genuine')"
38,-0.3140938,untruthful,truthful,-0.31787452,-0.0037807226,"('untruthful', 'truthful')"
39,-0.59440976,exploitative,cooperative,-0.014871065,0.5795387,"('exploitative', 'cooperative')"
40,1.1937863,stingy,generous,0.8491826,-0.34460366,"('stingy', 'generous')"
41,1.191449,unforgiving,forgiving,0.5537793,-0.63766974,"('unforgiving', 'forgiving')"
42,0.871791,unreliable,reliable,1.1088235,0.23703253,"('unreliable', 'reliable')"
43,1.3704909,irresponsible,responsible,1.3164438,-0.054047108,"('irresponsible', 'responsible')"
44,-0.74496466,prejudiced,unprejudiced,-1.1730701,-0.4281054,"('prejudiced', 'unprejudiced')"
45,0.9776101,incompetent,competent,0.78955907,-0.18805104,"('incompetent', 'competent')"
46,0.5178395,uncompetitive,competitive,0.39719003,-0.12064946,"('uncompetitive', 'competitive')"
47,1.2718508,stupid,smart,0.8649105,-0.40694034,"('stupid', 'smart')"
48,1.5691216,unintelligent,intelligent,1.0545943,-0.5145273,"('unintelligent', 'intelligent')"
49,-0.21323255,unable,able,0.6265558,0.8397883,"('unable', 'able')"
50,0.1021747,clumsy,skillful,0.5262138,0.42403913,"('clumsy', 'skillful')"
51,0.4230913,uneducated,educated,0.044708192,-0.3783831,"('uneducated', 'educated')"
52,-0.69254804,irrational,rational,-0.33078346,0.36176458,"('irrational', 'rational')"
53,0.4079899,uncreative,creative,1.0358973,0.6279074,"('uncreative', 'creative')"
54,1.2550619,incapable,capable,0.7144531,-0.54060876,"('incapable', 'capable')"
55,0.34472102,incompetent,clever,0.34579623,0.0010752082,"('incompetent', 'clever')"
56,0.9764197,impractical,practical,0.9588088,-0.017610908,"('impractical', 'practical')"
57,0.8518291,unimaginative,imaginative,0.4217455,-0.4300836,"('unimaginative', 'imaginative')"
58,0.763066,undiscriminating,discriminating,0.5471625,-0.21590352,"('undiscriminating', 'discriminating')"
59,-0.2061799,foolish,wise,0.10407731,0.3102572,"('foolish', 'wise')"
60,0.05190088,inefficient,efficient,0.23045602,0.17855515,"('inefficient', 'efficient')"
61,0.33986053,illogical,logical,0.5038509,0.16399035,"('illogical', 'logical')"
62,0.7265792,incompetent,brilliant,0.72895676,0.0023775697,"('incompetent', 'brilliant')"
63,1.3233415,unperceptive,insightful,1.1820936,-0.14124787,"('unperceptive', 'insightful')"
64,-0.50888693,shy,confident,-1.1580981,-0.64921117,"('shy', 'confident')"
65,0.8837206,insecure,secure,-0.15829587,-1.0420165,"('insecure', 'secure')"
66,-0.38303632,inactive,active,-0.22659147,0.15644485,"('inactive', 'active')"
67,-0.78289723,doubtful,determined,-0.60188866,0.18100858,"('doubtful', 'determined')"
68,-0.25076205,dependent,independent,0.028921338,0.27968338,"('dependent', 'independent')"
69,-1.5474786,lazy,industrious,-0.6310012,0.9164774,"('lazy', 'industrious')"
70,1.9312067,lethargic,energetic,1.8308007,-0.10040605,"('lethargic', 'energetic')"
71,-0.34962702,diffident,self-confident,0.06492604,0.41455305,"('diffident', 'self-confident')"
72,0.8643456,unambitious,ambitious,0.27573884,-0.5886068,"('unambitious', 'ambitious')"
73,-0.072306424,helpless,self-reliant,0.21930373,0.29161015,"('helpless', 'self-reliant')"
74,0.7342523,undedicated,dedicated,1.7868148,1.0525625,"('undedicated', 'dedicated')"
75,0.16359727,meek,impulsive,-0.29971534,-0.46331263,"('meek', 'impulsive')"
76,0.85215515,anxious,daring,0.6021796,-0.24997556,"('anxious', 'daring')"
77,0.33041608,unmotivated,motivated,-0.2818837,-0.6122998,"('unmotivated', 'motivated')"
78,-0.9097508,nonresilient,resilient,-0.15915385,0.750597,"('nonresilient', 'resilient')"
79,0.3619649,wavering,unwavering,0.37072226,0.008757353,"('wavering', 'unwavering')"
80,-0.3745456,dominated,dominating,-0.9638537,-0.58930814,"('dominated', 'dominating')"
81,1.6333588,submissive,aggressive,-0.2639662,-1.897325,"('submissive', 'aggressive')"
82,1.6374848,poor,rich,0.89632493,-0.74115986,"('poor', 'rich')"
83,-0.53730124,powerless,powerful,-0.46740142,0.06989983,"('powerless', 'powerful')"
84,0.18976295,inferior,superior,-0.14135937,-0.33112234,"('inferior', 'superior')"
85,0.20560345,insignificant,prestigious,0.70164144,0.496038,"('insignificant', 'prestigious')"
86,0.48811778,uninfluential,influential,0.46218133,-0.025936455,"('uninfluential', 'influential')"
87,-0.11355294,unsuccessful,successful,-0.4271844,-0.31363147,"('unsuccessful', 'successful')"
88,1.4764799,low,eminent,1.0697787,-0.4067012,"('low', 'eminent')"
