,Value_Male,0,1,Value_Female,female-male,tuple
0,0.69100875,unsociable,sociable,-0.1583906,-0.8493993,"('unsociable', 'sociable')"
1,1.682341,unfriendly,friendly,1.9505324,0.26819146,"('unfriendly', 'friendly')"
2,0.7565232,unlikable,likable,-0.074684985,-0.83120817,"('unlikable', 'likable')"
3,-0.13724802,repellent,pleasant,0.0034811199,0.14072914,"('repellent', 'pleasant')"
4,0.3009089,disliked,liked,0.5317793,0.2308704,"('disliked', 'liked')"
5,0.6572127,distant,outgoing,0.96843386,0.31122118,"('distant', 'outgoing')"
6,1.1059483,distant,open,1.2753435,0.16939521,"('distant', 'open')"
7,1.2293562,insensitive,sensitive,1.3578738,0.12851763,"('insensitive', 'sensitive')"
8,0.86697423,unaffectionate,affectionate,1.4003912,0.533417,"('unaffectionate', 'affectionate')"
9,0.9606876,unaffectionate,caring,1.6435511,0.68286353,"('unaffectionate', 'caring')"
10,1.339641,unsympathetic,sympathetic,0.9823427,-0.35729825,"('unsympathetic', 'sympathetic')"
11,-0.3592117,unhelpful,helpful,-0.6159594,-0.2567477,"('unhelpful', 'helpful')"
12,0.3716358,unsupportive,supportive,0.98342675,0.61179096,"('unsupportive', 'supportive')"
13,-0.26439574,impolite,polite,-0.34574702,-0.08135128,"('impolite', 'polite')"
14,-0.016970918,antisocial,social,0.31381035,0.33078128,"('antisocial', 'social')"
15,0.5879751,boring,funny,0.54568964,-0.042285442,"('boring', 'funny')"
16,-0.007632347,unpopular,popular,-0.23811744,-0.2304851,"('unpopular', 'popular')"
17,0.16855846,nasty,nice,0.48163262,0.31307417,"('nasty', 'nice')"
18,0.36432993,disagreeable,welcoming,0.9741337,0.60980374,"('disagreeable', 'welcoming')"
19,0.16446051,inhospitable,hospitable,-0.033755373,-0.19821589,"('inhospitable', 'hospitable')"
20,0.089911506,rough,thoughtful,0.04868667,-0.041224837,"('rough', 'thoughtful')"
21,0.42059624,immoral,moral,0.04604296,-0.3745533,"('immoral', 'moral')"
22,1.0325842,untrustworthy,trustworthy,1.0366789,0.00409472,"('untrustworthy', 'trustworthy')"
23,0.6218482,insincere,sincere,0.6180272,-0.0038210154,"('insincere', 'sincere')"
24,1.7776414,dishonest,honest,1.6454889,-0.13215256,"('dishonest', 'honest')"
25,0.47953656,egoistic,altruistic,0.68654877,0.2070122,"('egoistic', 'altruistic')"
26,0.63025886,hardhearted,benevolent,1.0155702,0.3853113,"('hardhearted', 'benevolent')"
27,0.955822,hardhearted,softhearted,1.5103599,0.5545379,"('hardhearted', 'softhearted')"
28,0.5664433,disloyal,loyal,0.126162,-0.44028133,"('disloyal', 'loyal')"
29,-0.8559417,unfair,fair,-0.28812307,0.56781864,"('unfair', 'fair')"
30,0.47731546,intolerant,tolerant,0.37609497,-0.10122049,"('intolerant', 'tolerant')"
31,0.09780893,evil,good,0.10030615,0.002497226,"('evil', 'good')"
32,1.4211313,unkind,kind,1.3614069,-0.05972433,"('unkind', 'kind')"
33,-0.10621331,wrong,right,0.5909595,0.6971728,"('wrong', 'right')"
34,0.4249797,mean,honorable,0.08589115,-0.33908853,"('mean', 'honorable')"
35,-0.4506632,corrupt,incorrupt,-0.38816476,0.06249845,"('corrupt', 'incorrupt')"
36,0.4631272,hostile,amicable,0.927539,0.4644118,"('hostile', 'amicable')"
37,0.8994339,fake,genuine,0.73451144,-0.16492248,"('fake', 'genuine')"
38,0.069878146,untruthful,truthful,-0.012153309,-0.08203146,"('untruthful', 'truthful')"
39,0.21503095,exploitative,cooperative,0.5845426,0.3695116,"('exploitative', 'cooperative')"
