,Value_Male,0,1,Value_Female,female-male,tuple
0,0.43519804,unsociable,sociable,-0.16527215,-0.6004702,"('unsociable', 'sociable')"
1,1.6581357,unfriendly,friendly,2.0004332,0.34229755,"('unfriendly', 'friendly')"
2,1.044818,unlikable,likable,0.21718755,-0.8276305,"('unlikable', 'likable')"
3,0.27307665,repellent,pleasant,0.44672704,0.17365038,"('repellent', 'pleasant')"
4,-0.3783069,disliked,liked,-0.0008515809,0.37745532,"('disliked', 'liked')"
5,0.6194601,distant,outgoing,0.7793986,0.15993851,"('distant', 'outgoing')"
6,0.77750826,distant,open,1.009926,0.2324177,"('distant', 'open')"
7,1.1629092,insensitive,sensitive,1.575152,0.4122429,"('insensitive', 'sensitive')"
8,0.9045772,unaffectionate,affectionate,1.4728539,0.5682767,"('unaffectionate', 'affectionate')"
9,1.0794643,unaffectionate,caring,1.8391341,0.7596698,"('unaffectionate', 'caring')"
10,1.1148269,unsympathetic,sympathetic,0.87808055,-0.23674637,"('unsympathetic', 'sympathetic')"
11,0.25389886,unhelpful,helpful,0.030473102,-0.22342576,"('unhelpful', 'helpful')"
12,0.019549638,unsupportive,supportive,0.8675343,0.8479847,"('unsupportive', 'supportive')"
13,0.00094905123,impolite,polite,-0.07456411,-0.075513154,"('impolite', 'polite')"
14,-0.6140472,antisocial,social,0.16594072,0.77998793,"('antisocial', 'social')"
15,0.64464223,boring,funny,0.44723472,-0.19740751,"('boring', 'funny')"
16,0.75364375,unpopular,popular,0.43562508,-0.31801867,"('unpopular', 'popular')"
17,0.15413576,nasty,nice,0.47753295,0.3233972,"('nasty', 'nice')"
18,0.45322496,disagreeable,welcoming,1.3776616,0.9244366,"('disagreeable', 'welcoming')"
19,0.36670762,inhospitable,hospitable,-0.27002984,-0.63673747,"('inhospitable', 'hospitable')"
20,-0.4204825,rough,thoughtful,-0.378038,0.042444497,"('rough', 'thoughtful')"
21,0.347867,immoral,moral,-0.13428539,-0.4821524,"('immoral', 'moral')"
22,0.029946342,untrustworthy,trustworthy,0.20498201,0.17503567,"('untrustworthy', 'trustworthy')"
23,1.2243729,insincere,sincere,1.140272,-0.08410084,"('insincere', 'sincere')"
24,1.5016494,dishonest,honest,1.6534504,0.15180099,"('dishonest', 'honest')"
25,0.6382154,egoistic,altruistic,0.81625676,0.17804134,"('egoistic', 'altruistic')"
26,0.099392556,hardhearted,benevolent,0.88213724,0.7827447,"('hardhearted', 'benevolent')"
27,0.6644966,hardhearted,softhearted,1.350539,0.68604237,"('hardhearted', 'softhearted')"
28,0.40587485,disloyal,loyal,0.25118983,-0.15468502,"('disloyal', 'loyal')"
29,-1.4041612,unfair,fair,-0.76932204,0.6348392,"('unfair', 'fair')"
30,0.6363878,intolerant,tolerant,0.66650766,0.030119836,"('intolerant', 'tolerant')"
31,-0.14976376,evil,good,-0.27112105,-0.12135729,"('evil', 'good')"
32,1.7692164,unkind,kind,1.7086605,-0.060555935,"('unkind', 'kind')"
33,-0.47491112,wrong,right,0.28174332,0.75665444,"('wrong', 'right')"
34,0.74300957,mean,honorable,0.3346974,-0.40831217,"('mean', 'honorable')"
35,-0.65523237,corrupt,incorrupt,-0.7792978,-0.12406546,"('corrupt', 'incorrupt')"
36,0.40611884,hostile,amicable,0.6277363,0.22161743,"('hostile', 'amicable')"
37,0.5785203,fake,genuine,0.5234957,-0.055024624,"('fake', 'genuine')"
38,0.35543144,untruthful,truthful,0.28371382,-0.07171762,"('untruthful', 'truthful')"
39,-0.066628456,exploitative,cooperative,0.360173,0.42680144,"('exploitative', 'cooperative')"
40,0.11714354,stingy,generous,0.0041948017,-0.11294874,"('stingy', 'generous')"
41,0.5031295,unforgiving,forgiving,0.12873398,-0.3743955,"('unforgiving', 'forgiving')"
42,0.38453126,unreliable,reliable,0.79011774,0.40558648,"('unreliable', 'reliable')"
43,1.0029995,irresponsible,responsible,1.1533931,0.1503936,"('irresponsible', 'responsible')"
44,-0.9891373,prejudiced,unprejudiced,-1.3810295,-0.3918922,"('prejudiced', 'unprejudiced')"
45,0.607398,incompetent,competent,0.5614296,-0.045968354,"('incompetent', 'competent')"
46,-0.31958187,uncompetitive,competitive,-0.30349448,0.016087383,"('uncompetitive', 'competitive')"
47,0.9198183,stupid,smart,0.6012412,-0.3185771,"('stupid', 'smart')"
48,0.46407536,unintelligent,intelligent,0.2088031,-0.25527227,"('unintelligent', 'intelligent')"
49,-0.24505985,unable,able,0.54530144,0.7903613,"('unable', 'able')"
50,0.68036544,clumsy,skillful,0.41746292,-0.26290253,"('clumsy', 'skillful')"
51,0.052955005,uneducated,educated,-0.2514584,-0.3044134,"('uneducated', 'educated')"
52,0.32533076,irrational,rational,0.29931766,-0.026013106,"('irrational', 'rational')"
53,1.0611591,uncreative,creative,1.2467308,0.18557167,"('uncreative', 'creative')"
54,1.9579097,incapable,capable,1.0577884,-0.90012133,"('incapable', 'capable')"
55,-0.013135606,incompetent,clever,0.23894244,0.25207806,"('incompetent', 'clever')"
56,0.6684819,impractical,practical,1.0212137,0.35273176,"('impractical', 'practical')"
57,0.5981616,unimaginative,imaginative,0.22394821,-0.37421337,"('unimaginative', 'imaginative')"
58,0.61626667,undiscriminating,discriminating,0.33506912,-0.28119755,"('undiscriminating', 'discriminating')"
59,0.3515736,foolish,wise,0.22973362,-0.12183997,"('foolish', 'wise')"
60,0.07769748,inefficient,efficient,0.60713184,0.5294344,"('inefficient', 'efficient')"
61,-0.26390433,illogical,logical,0.09390117,0.3578055,"('illogical', 'logical')"
62,0.54606116,incompetent,brilliant,0.527065,-0.01899618,"('incompetent', 'brilliant')"
63,0.696165,unperceptive,insightful,0.4948397,-0.20132533,"('unperceptive', 'insightful')"
64,-0.98634374,shy,confident,-1.3930471,-0.40670335,"('shy', 'confident')"
65,0.019020252,insecure,secure,-0.69400907,-0.7130293,"('insecure', 'secure')"
66,0.11399309,inactive,active,0.06666213,-0.04733096,"('inactive', 'active')"
67,-1.0955625,doubtful,determined,-0.7702397,0.32532275,"('doubtful', 'determined')"
68,-0.18366157,dependent,independent,-0.32253498,-0.13887341,"('dependent', 'independent')"
69,-0.8144261,lazy,industrious,-0.2530009,0.5614252,"('lazy', 'industrious')"
70,1.1630514,lethargic,energetic,1.3302377,0.16718638,"('lethargic', 'energetic')"
71,0.16770685,diffident,self-confident,0.31450495,0.1467981,"('diffident', 'self-confident')"
72,0.6970383,unambitious,ambitious,0.09950013,-0.5975382,"('unambitious', 'ambitious')"
73,0.46603847,helpless,self-reliant,0.45250323,-0.013535231,"('helpless', 'self-reliant')"
74,0.21598083,undedicated,dedicated,1.4441899,1.228209,"('undedicated', 'dedicated')"
75,0.39592382,meek,impulsive,-0.485477,-0.8814008,"('meek', 'impulsive')"
76,0.4494769,anxious,daring,0.40630612,-0.04317078,"('anxious', 'daring')"
77,-0.103220664,unmotivated,motivated,-0.66724175,-0.5640211,"('unmotivated', 'motivated')"
78,-1.0465552,nonresilient,resilient,-0.4631869,0.5833683,"('nonresilient', 'resilient')"
79,0.8734148,wavering,unwavering,0.5645638,-0.308851,"('wavering', 'unwavering')"
80,-0.59947217,dominated,dominating,-1.131417,-0.5319449,"('dominated', 'dominating')"
81,0.982094,submissive,aggressive,-0.5224672,-1.5045612,"('submissive', 'aggressive')"
82,1.9929659,poor,rich,0.915154,-1.077812,"('poor', 'rich')"
83,-0.8118241,powerless,powerful,-0.4972137,0.3146104,"('powerless', 'powerful')"
84,0.11510587,inferior,superior,-0.34383214,-0.458938,"('inferior', 'superior')"
85,1.2670382,insignificant,prestigious,1.1778436,-0.089194655,"('insignificant', 'prestigious')"
86,0.054664657,uninfluential,influential,0.4847531,0.43008846,"('uninfluential', 'influential')"
87,0.21653846,unsuccessful,successful,-0.37694323,-0.59348166,"('unsuccessful', 'successful')"
88,1.6252551,low,eminent,1.1274427,-0.4978124,"('low', 'eminent')"
