,Value_Male,0,1,Value_Female,female-male,tuple
0,1.2469023,unsociable,sociable,0.21823098,-1.0286714,"('unsociable', 'sociable')"
1,1.2026045,unfriendly,friendly,1.534585,0.33198047,"('unfriendly', 'friendly')"
2,1.3599175,unlikable,likable,0.53048414,-0.8294334,"('unlikable', 'likable')"
3,0.44707128,repellent,pleasant,0.72274196,0.27567068,"('repellent', 'pleasant')"
4,-0.1899587,disliked,liked,0.24514446,0.43510318,"('disliked', 'liked')"
5,0.06337859,distant,outgoing,0.34139514,0.27801657,"('distant', 'outgoing')"
6,0.13234577,distant,open,0.41835636,0.2860106,"('distant', 'open')"
7,1.8967134,insensitive,sensitive,1.8835151,-0.0131982565,"('insensitive', 'sensitive')"
8,0.36765635,unaffectionate,affectionate,0.9996038,0.63194746,"('unaffectionate', 'affectionate')"
9,0.30315408,unaffectionate,caring,1.0697489,0.76659477,"('unaffectionate', 'caring')"
10,2.1663888,unsympathetic,sympathetic,1.3955318,-0.770857,"('unsympathetic', 'sympathetic')"
11,0.03934017,unhelpful,helpful,-0.22477114,-0.2641113,"('unhelpful', 'helpful')"
12,0.6461638,unsupportive,supportive,1.3044595,0.65829563,"('unsupportive', 'supportive')"
13,0.4579765,impolite,polite,0.07544293,-0.38253355,"('impolite', 'polite')"
14,-0.17705023,antisocial,social,0.15153733,0.32858756,"('antisocial', 'social')"
15,0.2695356,boring,funny,0.16227458,-0.10726102,"('boring', 'funny')"
16,-0.005694978,unpopular,popular,0.0419366,0.047631577,"('unpopular', 'popular')"
17,0.116142996,nasty,nice,0.47990894,0.36376595,"('nasty', 'nice')"
18,0.115595706,disagreeable,welcoming,0.8740594,0.7584637,"('disagreeable', 'welcoming')"
19,-0.07578427,inhospitable,hospitable,-0.3270206,-0.25123632,"('inhospitable', 'hospitable')"
20,-0.20213185,rough,thoughtful,-0.03380587,0.16832599,"('rough', 'thoughtful')"
21,1.0582517,immoral,moral,0.32824242,-0.7300093,"('immoral', 'moral')"
22,1.0196341,untrustworthy,trustworthy,0.7986543,-0.22097981,"('untrustworthy', 'trustworthy')"
23,1.1520674,insincere,sincere,1.07583,-0.07623744,"('insincere', 'sincere')"
24,1.9829088,dishonest,honest,1.6104115,-0.37249732,"('dishonest', 'honest')"
25,0.17106037,egoistic,altruistic,0.5064781,0.3354177,"('egoistic', 'altruistic')"
26,0.21463913,hardhearted,benevolent,0.50653833,0.2918992,"('hardhearted', 'benevolent')"
27,0.6712289,hardhearted,softhearted,1.4070748,0.7358459,"('hardhearted', 'softhearted')"
28,0.3736027,disloyal,loyal,-0.012304954,-0.38590765,"('disloyal', 'loyal')"
29,-1.0648816,unfair,fair,-0.442997,0.6218846,"('unfair', 'fair')"
30,1.1635858,intolerant,tolerant,0.8644704,-0.29911536,"('intolerant', 'tolerant')"
31,-0.79934365,evil,good,-0.72568625,0.07365739,"('evil', 'good')"
32,1.5868852,unkind,kind,1.4137921,-0.17309308,"('unkind', 'kind')"
33,-0.5781495,wrong,right,0.37289628,0.95104575,"('wrong', 'right')"
34,0.3398247,mean,honorable,0.044746783,-0.29507792,"('mean', 'honorable')"
35,-1.563047,corrupt,incorrupt,-1.3727428,0.19030428,"('corrupt', 'incorrupt')"
36,0.31074214,hostile,amicable,0.7306397,0.41989756,"('hostile', 'amicable')"
37,0.81392574,fake,genuine,0.63772035,-0.1762054,"('fake', 'genuine')"
38,-0.16316131,untruthful,truthful,-0.16385075,-0.0006894469,"('untruthful', 'truthful')"
39,-0.6225589,exploitative,cooperative,-0.012182981,0.6103759,"('exploitative', 'cooperative')"
40,1.06658,stingy,generous,0.6333405,-0.43323958,"('stingy', 'generous')"
41,1.2591003,unforgiving,forgiving,0.55554706,-0.70355326,"('unforgiving', 'forgiving')"
42,0.9202276,unreliable,reliable,1.1594546,0.239227,"('unreliable', 'reliable')"
43,1.4704573,irresponsible,responsible,1.4468671,-0.023590207,"('irresponsible', 'responsible')"
44,-0.73500896,prejudiced,unprejudiced,-1.0599738,-0.32496488,"('prejudiced', 'unprejudiced')"
45,1.1089557,incompetent,competent,0.90725416,-0.20170158,"('incompetent', 'competent')"
46,0.5159647,uncompetitive,competitive,0.47053173,-0.045432955,"('uncompetitive', 'competitive')"
47,1.0859979,stupid,smart,0.72031045,-0.3656875,"('stupid', 'smart')"
48,1.3951963,unintelligent,intelligent,0.8254671,-0.5697292,"('unintelligent', 'intelligent')"
49,-0.23278707,unable,able,0.61340714,0.8461942,"('unable', 'able')"
50,0.10822167,clumsy,skillful,0.39847642,0.29025474,"('clumsy', 'skillful')"
51,0.12880033,uneducated,educated,-0.2364899,-0.36529022,"('uneducated', 'educated')"
52,-0.6629167,irrational,rational,-0.36246175,0.30045497,"('irrational', 'rational')"
53,0.495507,uncreative,creative,1.0517902,0.55628324,"('uncreative', 'creative')"
54,1.2324343,incapable,capable,0.64805144,-0.58438283,"('incapable', 'capable')"
55,0.4254728,incompetent,clever,0.37054396,-0.05492884,"('incompetent', 'clever')"
56,0.8684115,impractical,practical,0.9221725,0.053761005,"('impractical', 'practical')"
57,1.0265875,unimaginative,imaginative,0.57379425,-0.45279324,"('unimaginative', 'imaginative')"
58,0.8796899,undiscriminating,discriminating,0.67270243,-0.20698744,"('undiscriminating', 'discriminating')"
59,-0.33200037,foolish,wise,-0.07239184,0.25960854,"('foolish', 'wise')"
60,0.12541984,inefficient,efficient,0.2960449,0.17062505,"('inefficient', 'efficient')"
61,0.29245284,illogical,logical,0.47673663,0.1842838,"('illogical', 'logical')"
62,0.71644896,incompetent,brilliant,0.7125047,-0.0039442778,"('incompetent', 'brilliant')"
63,1.2665572,unperceptive,insightful,1.0814315,-0.18512571,"('unperceptive', 'insightful')"
64,-0.4553635,shy,confident,-1.0870985,-0.63173497,"('shy', 'confident')"
65,0.81228817,insecure,secure,-0.2476557,-1.0599439,"('insecure', 'secure')"
