,Value_Male,0,1,Value_Female,female-male,tuple
0,-0.030363157,unsociable,sociable,-0.5751133,-0.54475015,"('unsociable', 'sociable')"
1,1.3474485,unfriendly,friendly,1.69404,0.34659147,"('unfriendly', 'friendly')"
2,0.45587298,unlikable,likable,-0.11750559,-0.57337856,"('unlikable', 'likable')"
3,0.034165274,repellent,pleasant,0.26625007,0.2320848,"('repellent', 'pleasant')"
4,0.047175635,disliked,liked,0.23417349,0.18699786,"('disliked', 'liked')"
5,0.68066955,distant,outgoing,0.9276702,0.24700063,"('distant', 'outgoing')"
6,1.0845367,distant,open,1.2431109,0.15857422,"('distant', 'open')"
7,0.5982922,insensitive,sensitive,0.945467,0.34717482,"('insensitive', 'sensitive')"
8,0.73584074,unaffectionate,affectionate,1.3457584,0.6099177,"('unaffectionate', 'affectionate')"
9,0.8136376,unaffectionate,caring,1.6996937,0.88605607,"('unaffectionate', 'caring')"
10,0.5907435,unsympathetic,sympathetic,0.47382605,-0.11691743,"('unsympathetic', 'sympathetic')"
11,-0.21914114,unhelpful,helpful,-0.39642125,-0.17728011,"('unhelpful', 'helpful')"
12,0.23272687,unsupportive,supportive,0.9984194,0.76569253,"('unsupportive', 'supportive')"
13,-0.26209643,impolite,polite,-0.18958873,0.07250771,"('impolite', 'polite')"
14,-0.5598564,antisocial,social,-0.009249201,0.5506072,"('antisocial', 'social')"
15,0.2889289,boring,funny,0.31741485,0.028485954,"('boring', 'funny')"
16,0.29248893,unpopular,popular,0.0050621983,-0.28742674,"('unpopular', 'popular')"
17,-0.07562924,nasty,nice,0.25872624,0.33435547,"('nasty', 'nice')"
18,0.46229878,disagreeable,welcoming,1.2529742,0.7906754,"('disagreeable', 'welcoming')"
19,0.27153146,inhospitable,hospitable,0.037683252,-0.23384821,"('inhospitable', 'hospitable')"
20,-0.4222753,rough,thoughtful,-0.34140417,0.080871135,"('rough', 'thoughtful')"
21,0.2626004,immoral,moral,0.09198639,-0.170614,"('immoral', 'moral')"
22,0.32192668,untrustworthy,trustworthy,0.49755755,0.17563087,"('untrustworthy', 'trustworthy')"
23,0.56691635,insincere,sincere,0.7438844,0.17696804,"('insincere', 'sincere')"
24,1.3803691,dishonest,honest,1.5200537,0.13968468,"('dishonest', 'honest')"
25,0.6781869,egoistic,altruistic,0.8697012,0.19151431,"('egoistic', 'altruistic')"
26,0.41491753,hardhearted,benevolent,0.90661544,0.4916979,"('hardhearted', 'benevolent')"
27,0.7786918,hardhearted,softhearted,1.2787656,0.50007373,"('hardhearted', 'softhearted')"
28,0.24171993,disloyal,loyal,-0.020762466,-0.2624824,"('disloyal', 'loyal')"
29,-1.2511041,unfair,fair,-0.537318,0.7137861,"('unfair', 'fair')"
30,0.56191266,intolerant,tolerant,0.5752431,0.01333046,"('intolerant', 'tolerant')"
31,0.44110608,evil,good,0.38411552,-0.056990564,"('evil', 'good')"
32,1.2080634,unkind,kind,1.498755,0.2906916,"('unkind', 'kind')"
33,-0.15987241,wrong,right,0.42412674,0.58399916,"('wrong', 'right')"
34,0.47477794,mean,honorable,0.27947378,-0.19530416,"('mean', 'honorable')"
35,-0.44487074,corrupt,incorrupt,-0.54075086,-0.09588012,"('corrupt', 'incorrupt')"
36,0.35462672,hostile,amicable,0.62375337,0.26912665,"('hostile', 'amicable')"
37,0.72209644,fake,genuine,0.6524777,-0.06961876,"('fake', 'genuine')"
38,0.1964227,untruthful,truthful,0.23229459,0.035871893,"('untruthful', 'truthful')"
39,0.6082671,exploitative,cooperative,0.91333944,0.3050723,"('exploitative', 'cooperative')"
40,0.7958698,stingy,generous,0.34947157,-0.44639826,"('stingy', 'generous')"
41,0.4884987,unforgiving,forgiving,0.11407247,-0.37442622,"('unforgiving', 'forgiving')"
42,0.42301846,unreliable,reliable,0.8968805,0.47386205,"('unreliable', 'reliable')"
43,0.62032956,irresponsible,responsible,0.87271607,0.2523865,"('irresponsible', 'responsible')"
44,-1.0201552,prejudiced,unprejudiced,-1.2736298,-0.2534746,"('prejudiced', 'unprejudiced')"
45,0.25259027,incompetent,competent,0.219346,-0.033244267,"('incompetent', 'competent')"
46,-0.3203437,uncompetitive,competitive,-0.4003418,-0.079998106,"('uncompetitive', 'competitive')"
47,0.65155447,stupid,smart,0.36638397,-0.2851705,"('stupid', 'smart')"
48,0.2580043,unintelligent,intelligent,0.058916014,-0.19908829,"('unintelligent', 'intelligent')"
49,-0.775444,unable,able,0.05707485,0.8325188,"('unable', 'able')"
50,0.21818998,clumsy,skillful,0.15975897,-0.058431014,"('clumsy', 'skillful')"
51,0.11689469,uneducated,educated,-0.016160054,-0.13305475,"('uneducated', 'educated')"
52,0.7549355,irrational,rational,0.6857053,-0.0692302,"('irrational', 'rational')"
53,0.9194614,uncreative,creative,1.1370164,0.21755499,"('uncreative', 'creative')"
54,1.299397,incapable,capable,0.78734946,-0.5120475,"('incapable', 'capable')"
55,-0.048425797,incompetent,clever,0.22038601,0.26881182,"('incompetent', 'clever')"
56,0.3983052,impractical,practical,0.8527372,0.45443198,"('impractical', 'practical')"
57,0.7569494,unimaginative,imaginative,0.2636456,-0.49330384,"('unimaginative', 'imaginative')"
58,0.95630556,undiscriminating,discriminating,0.52905834,-0.42724723,"('undiscriminating', 'discriminating')"
59,0.48784873,foolish,wise,0.35914847,-0.12870026,"('foolish', 'wise')"
60,-0.22307688,inefficient,efficient,0.34485438,0.5679313,"('inefficient', 'efficient')"
61,-0.47160107,illogical,logical,-0.025078854,0.4465222,"('illogical', 'logical')"
62,0.10144457,incompetent,brilliant,0.13881437,0.037369803,"('incompetent', 'brilliant')"
63,0.9063305,unperceptive,insightful,0.67925656,-0.22707397,"('unperceptive', 'insightful')"
64,-0.4205212,shy,confident,-0.97676516,-0.55624396,"('shy', 'confident')"
65,-0.05784324,insecure,secure,-0.74751467,-0.6896714,"('insecure', 'secure')"
66,0.06397103,inactive,active,0.013927996,-0.05004303,"('inactive', 'active')"
67,-1.0208318,doubtful,determined,-0.6887143,0.3321175,"('doubtful', 'determined')"
68,-0.12168,dependent,independent,0.0031327857,0.12481278,"('dependent', 'independent')"
69,-0.52730817,lazy,industrious,-0.009526197,0.517782,"('lazy', 'industrious')"
70,1.138082,lethargic,energetic,1.2452642,0.107182145,"('lethargic', 'energetic')"
71,0.07634574,diffident,self-confident,0.3717176,0.29537186,"('diffident', 'self-confident')"
72,0.7435057,unambitious,ambitious,0.29268485,-0.45082086,"('unambitious', 'ambitious')"
73,1.065879,helpless,self-reliant,0.917493,-0.148386,"('helpless', 'self-reliant')"
74,0.4157842,undedicated,dedicated,1.3963985,0.9806143,"('undedicated', 'dedicated')"
75,0.39043626,meek,impulsive,-0.44284236,-0.83327866,"('meek', 'impulsive')"
76,0.39831,anxious,daring,0.2572058,-0.14110419,"('anxious', 'daring')"
77,-0.4036297,unmotivated,motivated,-0.9126041,-0.50897443,"('unmotivated', 'motivated')"
78,-0.98906183,nonresilient,resilient,-0.4515949,0.53746694,"('nonresilient', 'resilient')"
79,0.6946796,wavering,unwavering,0.58923215,-0.10544747,"('wavering', 'unwavering')"
80,-0.75123477,dominated,dominating,-1.1140362,-0.36280143,"('dominated', 'dominating')"
81,0.5508108,submissive,aggressive,-0.8314061,-1.3822169,"('submissive', 'aggressive')"
82,0.9143429,poor,rich,0.34829766,-0.5660452,"('poor', 'rich')"
83,-0.64836925,powerless,powerful,-0.47304916,0.17532009,"('powerless', 'powerful')"
84,0.033766694,inferior,superior,-0.34306824,-0.37683493,"('inferior', 'superior')"
85,1.4550041,insignificant,prestigious,1.3668844,-0.088119745,"('insignificant', 'prestigious')"
86,0.43058616,uninfluential,influential,0.6925584,0.26197225,"('uninfluential', 'influential')"
87,0.08235404,unsuccessful,successful,-0.36778262,-0.45013666,"('unsuccessful', 'successful')"
88,0.8142985,low,eminent,0.80252856,-0.01176995,"('low', 'eminent')"
