,Value_Male,0,1,Value_Female,female-male,tuple
0,1.453371,unsociable,sociable,0.4398198,-1.0135512,"('unsociable', 'sociable')"
1,1.0292741,unfriendly,friendly,1.5919216,0.56264746,"('unfriendly', 'friendly')"
2,1.4208224,unlikable,likable,0.7228248,-0.69799757,"('unlikable', 'likable')"
3,0.610806,repellent,pleasant,0.9758998,0.36509383,"('repellent', 'pleasant')"
4,-0.22272342,disliked,liked,0.2863848,0.5091082,"('disliked', 'liked')"
5,0.07984325,distant,outgoing,0.39862305,0.3187798,"('distant', 'outgoing')"
6,0.15054733,distant,open,0.514886,0.3643387,"('distant', 'open')"
7,1.9246092,insensitive,sensitive,2.0489361,0.124326944,"('insensitive', 'sensitive')"
8,0.23582208,unaffectionate,affectionate,0.94918865,0.71336657,"('unaffectionate', 'affectionate')"
9,0.15363184,unaffectionate,caring,0.9836191,0.8299873,"('unaffectionate', 'caring')"
10,2.0604784,unsympathetic,sympathetic,1.1219758,-0.93850267,"('unsympathetic', 'sympathetic')"
11,0.018949814,unhelpful,helpful,-0.22133029,-0.24028009,"('unhelpful', 'helpful')"
12,0.58128804,unsupportive,supportive,1.2989305,0.7176425,"('unsupportive', 'supportive')"
13,0.5433725,impolite,polite,0.05394848,-0.48942402,"('impolite', 'polite')"
14,-0.03987007,antisocial,social,0.08950191,0.12937197,"('antisocial', 'social')"
15,0.32579643,boring,funny,0.20683034,-0.11896609,"('boring', 'funny')"
16,-0.07204843,unpopular,popular,0.19668166,0.2687301,"('unpopular', 'popular')"
17,0.17199332,nasty,nice,0.4678724,0.2958791,"('nasty', 'nice')"
18,0.1383867,disagreeable,welcoming,0.9865228,0.84813607,"('disagreeable', 'welcoming')"
19,-0.058961105,inhospitable,hospitable,-0.24230775,-0.18334664,"('inhospitable', 'hospitable')"
20,-0.12637651,rough,thoughtful,0.11438026,0.24075678,"('rough', 'thoughtful')"
21,1.1887114,immoral,moral,0.3625005,-0.8262109,"('immoral', 'moral')"
22,0.9295795,untrustworthy,trustworthy,0.6360397,-0.29353982,"('untrustworthy', 'trustworthy')"
23,1.0877609,insincere,sincere,1.0561161,-0.03164482,"('insincere', 'sincere')"
24,1.8753213,dishonest,honest,1.4539465,-0.4213748,"('dishonest', 'honest')"
25,0.24162818,egoistic,altruistic,0.7285569,0.4869287,"('egoistic', 'altruistic')"
26,0.10452321,hardhearted,benevolent,0.3618208,0.25729758,"('hardhearted', 'benevolent')"
27,0.8168225,hardhearted,softhearted,1.6767421,0.85991955,"('hardhearted', 'softhearted')"
28,0.4194698,disloyal,loyal,0.05176175,-0.36770806,"('disloyal', 'loyal')"
29,-0.8198248,unfair,fair,-0.13580555,0.68401927,"('unfair', 'fair')"
30,1.259276,intolerant,tolerant,0.91935027,-0.33992577,"('intolerant', 'tolerant')"
31,-0.72692096,evil,good,-0.5418179,0.18510306,"('evil', 'good')"
32,1.4803789,unkind,kind,1.2667415,-0.21363735,"('unkind', 'kind')"
33,-0.5103764,wrong,right,0.45747936,0.96785575,"('wrong', 'right')"
34,0.47407174,mean,honorable,0.14498566,-0.32908607,"('mean', 'honorable')"
35,-1.7014258,corrupt,incorrupt,-1.3250906,0.37633514,"('corrupt', 'incorrupt')"
36,0.26287046,hostile,amicable,0.89601207,0.63314164,"('hostile', 'amicable')"
37,0.55122703,fake,genuine,0.43105164,-0.12017539,"('fake', 'genuine')"
38,-0.36758628,untruthful,truthful,-0.33843088,0.029155403,"('untruthful', 'truthful')"
39,-0.6717039,exploitative,cooperative,-0.03672457,0.6349793,"('exploitative', 'cooperative')"
40,1.4166344,stingy,generous,1.151953,-0.26468146,"('stingy', 'generous')"
41,1.2460992,unforgiving,forgiving,0.5500644,-0.69603485,"('unforgiving', 'forgiving')"
42,0.7755043,unreliable,reliable,1.0108008,0.23529655,"('unreliable', 'reliable')"
43,1.3431511,irresponsible,responsible,1.2419311,-0.10122001,"('irresponsible', 'responsible')"
44,-0.8218431,prejudiced,unprejudiced,-1.1939694,-0.37212628,"('prejudiced', 'unprejudiced')"
45,1.0763125,incompetent,competent,0.8622224,-0.21409017,"('incompetent', 'competent')"
46,0.54461944,uncompetitive,competitive,0.41721833,-0.12740111,"('uncompetitive', 'competitive')"
47,1.3735543,stupid,smart,0.9642772,-0.40927714,"('stupid', 'smart')"
48,1.462143,unintelligent,intelligent,0.9940375,-0.46810544,"('unintelligent', 'intelligent')"
49,-0.22509024,unable,able,0.6085789,0.8336692,"('unable', 'able')"
50,-0.23016924,clumsy,skillful,0.2682791,0.49844834,"('clumsy', 'skillful')"
51,0.42693976,uneducated,educated,0.09319697,-0.3337428,"('uneducated', 'educated')"
52,-0.6648957,irrational,rational,-0.31089967,0.35399604,"('irrational', 'rational')"
53,0.39278585,uncreative,creative,1.0219901,0.6292042,"('uncreative', 'creative')"
54,1.0679331,incapable,capable,0.5530067,-0.5149264,"('incapable', 'capable')"
55,0.5001047,incompetent,clever,0.4250134,-0.07509133,"('incompetent', 'clever')"
56,1.0072817,impractical,practical,0.948815,-0.058466673,"('impractical', 'practical')"
57,0.7439891,unimaginative,imaginative,0.35110956,-0.39287955,"('unimaginative', 'imaginative')"
58,0.8872674,undiscriminating,discriminating,0.5952674,-0.292,"('undiscriminating', 'discriminating')"
59,-0.27004096,foolish,wise,0.022898156,0.29293913,"('foolish', 'wise')"
60,0.14704522,inefficient,efficient,0.24301061,0.095965385,"('inefficient', 'efficient')"
61,0.5802252,illogical,logical,0.7049479,0.12472266,"('illogical', 'logical')"
62,0.7924827,incompetent,brilliant,0.7912135,-0.0012691617,"('incompetent', 'brilliant')"
63,1.2972172,unperceptive,insightful,1.148405,-0.1488123,"('unperceptive', 'insightful')"
64,-0.45967594,shy,confident,-1.1162322,-0.65655625,"('shy', 'confident')"
65,0.95575094,insecure,secure,-0.07221458,-1.0279655,"('insecure', 'secure')"
66,-0.33381644,inactive,active,-0.2276844,0.106132045,"('inactive', 'active')"
67,-0.8213112,doubtful,determined,-0.7896903,0.03162086,"('doubtful', 'determined')"
68,-0.17447951,dependent,independent,0.11868667,0.2931662,"('dependent', 'independent')"
69,-1.5568752,lazy,industrious,-0.58054954,0.9763257,"('lazy', 'industrious')"
70,1.8642676,lethargic,energetic,1.6969718,-0.16729581,"('lethargic', 'energetic')"
71,-0.18234572,diffident,self-confident,0.19590391,0.37824965,"('diffident', 'self-confident')"
72,0.8699334,unambitious,ambitious,0.23333433,-0.63659906,"('unambitious', 'ambitious')"
73,-0.069086686,helpless,self-reliant,0.17502286,0.24410954,"('helpless', 'self-reliant')"
74,0.7636013,undedicated,dedicated,1.8616625,1.0980612,"('undedicated', 'dedicated')"
