,Value_Male,0,1,Value_Female,female-male,tuple
0,0.22450592,unsociable,sociable,-0.39179003,-0.61629593,"('unsociable', 'sociable')"
1,2.0898583,unfriendly,friendly,2.0701852,-0.019673109,"('unfriendly', 'friendly')"
2,0.42983177,unlikable,likable,-0.116444774,-0.54627657,"('unlikable', 'likable')"
3,-0.26888326,repellent,pleasant,0.3086208,0.57750404,"('repellent', 'pleasant')"
4,0.0038761497,disliked,liked,0.091066726,0.087190576,"('disliked', 'liked')"
5,0.8754267,distant,outgoing,0.89599603,0.020569324,"('distant', 'outgoing')"
6,0.9200002,distant,open,0.9121717,-0.007828474,"('distant', 'open')"
7,0.9465434,insensitive,sensitive,1.1426133,0.1960699,"('insensitive', 'sensitive')"
8,1.4338831,unaffectionate,affectionate,1.663194,0.22931087,"('unaffectionate', 'affectionate')"
9,1.1788231,unaffectionate,caring,1.5611577,0.3823346,"('unaffectionate', 'caring')"
10,0.6951304,unsympathetic,sympathetic,0.29919997,-0.39593044,"('unsympathetic', 'sympathetic')"
11,0.04744476,unhelpful,helpful,-0.21042845,-0.2578732,"('unhelpful', 'helpful')"
12,0.2581248,unsupportive,supportive,0.90375596,0.6456312,"('unsupportive', 'supportive')"
13,-0.172761,impolite,polite,-0.21610524,-0.043344244,"('impolite', 'polite')"
14,-0.37281278,antisocial,social,0.13358283,0.5063956,"('antisocial', 'social')"
15,0.556584,boring,funny,0.5710776,0.014493585,"('boring', 'funny')"
16,-0.34934822,unpopular,popular,-0.3457121,0.0036361217,"('unpopular', 'popular')"
17,-0.03069913,nasty,nice,0.20507427,0.2357734,"('nasty', 'nice')"
18,-0.0155962845,disagreeable,welcoming,0.8720672,0.8876635,"('disagreeable', 'welcoming')"
19,0.3048473,inhospitable,hospitable,-0.22898194,-0.5338292,"('inhospitable', 'hospitable')"
20,-0.586379,rough,thoughtful,-0.5251502,0.06122881,"('rough', 'thoughtful')"
21,-0.2661956,immoral,moral,-0.34466738,-0.07847178,"('immoral', 'moral')"
22,0.3437918,untrustworthy,trustworthy,0.7821689,0.4383771,"('untrustworthy', 'trustworthy')"
23,0.76457316,insincere,sincere,0.97091854,0.20634538,"('insincere', 'sincere')"
24,1.2590725,dishonest,honest,1.2774779,0.018405318,"('dishonest', 'honest')"
25,1.0820524,egoistic,altruistic,1.2457129,0.16366053,"('egoistic', 'altruistic')"
26,0.91907704,hardhearted,benevolent,1.2604593,0.34138227,"('hardhearted', 'benevolent')"
27,1.0628793,hardhearted,softhearted,1.485351,0.42247164,"('hardhearted', 'softhearted')"
28,1.0131783,disloyal,loyal,0.4331579,-0.5800204,"('disloyal', 'loyal')"
29,-1.1890798,unfair,fair,-0.5225757,0.6665041,"('unfair', 'fair')"
30,-0.042622037,intolerant,tolerant,0.31817895,0.36080098,"('intolerant', 'tolerant')"
31,0.10953604,evil,good,-0.14977616,-0.2593122,"('evil', 'good')"
32,1.5262429,unkind,kind,1.4195664,-0.10667646,"('unkind', 'kind')"
33,-0.23286805,wrong,right,0.40363854,0.63650656,"('wrong', 'right')"
34,0.31579292,mean,honorable,0.06837092,-0.247422,"('mean', 'honorable')"
35,-0.42966995,corrupt,incorrupt,-0.6881202,-0.25845024,"('corrupt', 'incorrupt')"
36,0.61969936,hostile,amicable,0.52908033,-0.09061903,"('hostile', 'amicable')"
37,0.98959637,fake,genuine,0.6633456,-0.3262508,"('fake', 'genuine')"
38,0.31789017,untruthful,truthful,0.12345396,-0.1944362,"('untruthful', 'truthful')"
39,-0.2345549,exploitative,cooperative,0.48351032,0.7180652,"('exploitative', 'cooperative')"
40,0.9274931,stingy,generous,0.62292194,-0.30457115,"('stingy', 'generous')"
41,0.8017971,unforgiving,forgiving,0.26731843,-0.53447866,"('unforgiving', 'forgiving')"
42,-0.3755794,unreliable,reliable,0.21400358,0.589583,"('unreliable', 'reliable')"
43,0.50177866,irresponsible,responsible,0.7648184,0.2630397,"('irresponsible', 'responsible')"
44,-0.8341577,prejudiced,unprejudiced,-1.1673803,-0.33322263,"('prejudiced', 'unprejudiced')"
45,0.8378095,incompetent,competent,0.6414268,-0.1963827,"('incompetent', 'competent')"
46,-0.3522851,uncompetitive,competitive,-0.23496825,0.11731684,"('uncompetitive', 'competitive')"
47,0.41282701,stupid,smart,0.23578162,-0.17704539,"('stupid', 'smart')"
48,0.1817988,unintelligent,intelligent,0.16156158,-0.020237222,"('unintelligent', 'intelligent')"
49,-0.74256384,unable,able,0.050955936,0.7935198,"('unable', 'able')"
50,0.13851473,clumsy,skillful,-0.08759263,-0.22610736,"('clumsy', 'skillful')"
51,0.09435571,uneducated,educated,-0.075920716,-0.17027643,"('uneducated', 'educated')"
52,0.25851548,irrational,rational,0.08810705,-0.17040843,"('irrational', 'rational')"
53,0.97433245,uncreative,creative,1.1147432,0.14041078,"('uncreative', 'creative')"
54,1.2523824,incapable,capable,0.57989293,-0.67248946,"('incapable', 'capable')"
55,-0.16712525,incompetent,clever,0.20204884,0.3691741,"('incompetent', 'clever')"
56,-0.18249512,impractical,practical,0.31858665,0.50108176,"('impractical', 'practical')"
57,1.0657725,unimaginative,imaginative,0.59898335,-0.4667892,"('unimaginative', 'imaginative')"
58,1.165976,undiscriminating,discriminating,0.68286407,-0.48311198,"('undiscriminating', 'discriminating')"
59,-0.15910804,foolish,wise,-0.009213194,0.14989485,"('foolish', 'wise')"
60,-0.2878882,inefficient,efficient,0.33333927,0.6212275,"('inefficient', 'efficient')"
61,-0.83441544,illogical,logical,-0.24576266,0.5886528,"('illogical', 'logical')"
62,-0.11821337,incompetent,brilliant,0.3184576,0.43667096,"('incompetent', 'brilliant')"
63,0.5148733,unperceptive,insightful,0.48169076,-0.03318256,"('unperceptive', 'insightful')"
64,-1.0209515,shy,confident,-1.4257686,-0.4048171,"('shy', 'confident')"
65,-0.34241867,insecure,secure,-0.78282493,-0.44040626,"('insecure', 'secure')"
66,-0.50165844,inactive,active,-0.658014,-0.15635556,"('inactive', 'active')"
67,-1.4277785,doubtful,determined,-1.0837016,0.34407687,"('doubtful', 'determined')"
68,-0.67158955,dependent,independent,-0.25940195,0.4121876,"('dependent', 'independent')"
69,-0.75827724,lazy,industrious,-0.5869939,0.17128336,"('lazy', 'industrious')"
70,0.77907306,lethargic,energetic,1.1386946,0.35962158,"('lethargic', 'energetic')"
71,-0.17566364,diffident,self-confident,0.21278062,0.38844424,"('diffident', 'self-confident')"
72,0.8496509,unambitious,ambitious,0.38739067,-0.46226025,"('unambitious', 'ambitious')"
73,0.5593779,helpless,self-reliant,0.65261585,0.09323794,"('helpless', 'self-reliant')"
