,Value_Male,0,1,Value_Female,female-male,tuple
0,-0.132392,unsociable,sociable,-0.5844982,-0.45210624,"('unsociable', 'sociable')"
1,1.3392013,unfriendly,friendly,1.8860842,0.54688287,"('unfriendly', 'friendly')"
2,0.9228198,unlikable,likable,0.29269803,-0.63012177,"('unlikable', 'likable')"
3,0.16749047,repellent,pleasant,0.23426332,0.06677285,"('repellent', 'pleasant')"
4,-0.4094626,disliked,liked,-0.06385081,0.34561178,"('disliked', 'liked')"
5,0.19512504,distant,outgoing,0.6178464,0.4227214,"('distant', 'outgoing')"
6,0.67642474,distant,open,1.0951214,0.41869664,"('distant', 'open')"
7,0.60458064,insensitive,sensitive,0.94489396,0.34031332,"('insensitive', 'sensitive')"
8,0.8475573,unaffectionate,affectionate,1.503106,0.6555487,"('unaffectionate', 'affectionate')"
9,0.6926843,unaffectionate,caring,1.6167036,0.92401934,"('unaffectionate', 'caring')"
10,0.7926316,unsympathetic,sympathetic,0.5785963,-0.21403533,"('unsympathetic', 'sympathetic')"
11,-0.21353807,unhelpful,helpful,-0.42304298,-0.20950492,"('unhelpful', 'helpful')"
12,-0.24154899,unsupportive,supportive,0.66477567,0.9063246,"('unsupportive', 'supportive')"
13,-0.3877028,impolite,polite,-0.53167343,-0.14397064,"('impolite', 'polite')"
14,-0.77265096,antisocial,social,-0.095239386,0.67741156,"('antisocial', 'social')"
15,0.57753175,boring,funny,0.45622146,-0.12131029,"('boring', 'funny')"
16,0.947259,unpopular,popular,0.61490387,-0.33235514,"('unpopular', 'popular')"
17,-0.12169257,nasty,nice,0.25204876,0.37374133,"('nasty', 'nice')"
18,0.4230011,disagreeable,welcoming,1.2756745,0.85267335,"('disagreeable', 'welcoming')"
19,0.31951147,inhospitable,hospitable,-0.1661542,-0.48566568,"('inhospitable', 'hospitable')"
20,-0.21676733,rough,thoughtful,-0.15407932,0.06268801,"('rough', 'thoughtful')"
21,0.30697203,immoral,moral,-0.042025737,-0.34899777,"('immoral', 'moral')"
22,0.07628094,untrustworthy,trustworthy,0.2699773,0.19369636,"('untrustworthy', 'trustworthy')"
23,0.852175,insincere,sincere,0.8222597,-0.029915273,"('insincere', 'sincere')"
24,1.2783116,dishonest,honest,1.4980764,0.21976483,"('dishonest', 'honest')"
25,0.8095771,egoistic,altruistic,1.0748047,0.26522756,"('egoistic', 'altruistic')"
26,0.15878275,hardhearted,benevolent,0.911844,0.7530613,"('hardhearted', 'benevolent')"
27,0.5249853,hardhearted,softhearted,1.1306202,0.6056349,"('hardhearted', 'softhearted')"
28,0.08882522,disloyal,loyal,0.040713556,-0.048111662,"('disloyal', 'loyal')"
29,-1.2319704,unfair,fair,-0.6765287,0.55544174,"('unfair', 'fair')"
30,0.38420522,intolerant,tolerant,0.46071973,0.07651451,"('intolerant', 'tolerant')"
31,0.08113581,evil,good,0.18656124,0.10542543,"('evil', 'good')"
32,1.5719115,unkind,kind,1.6153357,0.04342425,"('unkind', 'kind')"
33,-0.3417665,wrong,right,0.45219862,0.7939651,"('wrong', 'right')"
34,0.6836944,mean,honorable,0.35088414,-0.33281028,"('mean', 'honorable')"
35,-0.21057153,corrupt,incorrupt,-0.17209509,0.038476437,"('corrupt', 'incorrupt')"
36,0.6961553,hostile,amicable,1.0334724,0.3373171,"('hostile', 'amicable')"
37,0.38050982,fake,genuine,0.5065633,0.12605348,"('fake', 'genuine')"
38,0.20374835,untruthful,truthful,0.29399127,0.09024292,"('untruthful', 'truthful')"
39,0.53629756,exploitative,cooperative,0.96209574,0.42579818,"('exploitative', 'cooperative')"
40,0.39894912,stingy,generous,0.242881,-0.15606812,"('stingy', 'generous')"
41,0.3580191,unforgiving,forgiving,0.32162938,-0.03638974,"('unforgiving', 'forgiving')"
42,0.015498314,unreliable,reliable,0.58604884,0.5705505,"('unreliable', 'reliable')"
43,0.47076875,irresponsible,responsible,0.7335947,0.26282597,"('irresponsible', 'responsible')"
44,-0.6137993,prejudiced,unprejudiced,-1.0363214,-0.42252213,"('prejudiced', 'unprejudiced')"
45,0.07041381,incompetent,competent,0.09551542,0.02510161,"('incompetent', 'competent')"
46,-0.48415804,uncompetitive,competitive,-0.578413,-0.09425497,"('uncompetitive', 'competitive')"
47,0.8495811,stupid,smart,0.5280089,-0.32157224,"('stupid', 'smart')"
48,0.37134427,unintelligent,intelligent,0.18402907,-0.1873152,"('unintelligent', 'intelligent')"
49,-0.36240587,unable,able,0.28642157,0.64882743,"('unable', 'able')"
50,0.43188387,clumsy,skillful,0.2417877,-0.19009617,"('clumsy', 'skillful')"
51,0.21841912,uneducated,educated,-0.08256058,-0.3009797,"('uneducated', 'educated')"
52,0.89111227,irrational,rational,0.9793845,0.088272214,"('irrational', 'rational')"
53,0.94141096,uncreative,creative,1.1188174,0.17740649,"('uncreative', 'creative')"
54,1.8531709,incapable,capable,1.0874076,-0.7657633,"('incapable', 'capable')"
55,-0.34544638,incompetent,clever,0.0649473,0.4103937,"('incompetent', 'clever')"
56,0.18416147,impractical,practical,0.6868814,0.50271994,"('impractical', 'practical')"
57,0.5787562,unimaginative,imaginative,0.2767161,-0.3020401,"('unimaginative', 'imaginative')"
58,0.86535156,undiscriminating,discriminating,0.6898075,-0.17554408,"('undiscriminating', 'discriminating')"
59,0.50728375,foolish,wise,0.3475212,-0.15976256,"('foolish', 'wise')"
60,-0.5562632,inefficient,efficient,0.07097025,0.62723345,"('inefficient', 'efficient')"
61,-0.6518795,illogical,logical,-0.32982516,0.32205433,"('illogical', 'logical')"
62,-0.12778527,incompetent,brilliant,-0.05569307,0.07209219,"('incompetent', 'brilliant')"
63,0.5648402,unperceptive,insightful,0.4592121,-0.1056281,"('unperceptive', 'insightful')"
64,-1.1826022,shy,confident,-1.4743865,-0.2917843,"('shy', 'confident')"
65,-0.2603544,insecure,secure,-0.922903,-0.6625486,"('insecure', 'secure')"
66,0.0036283731,inactive,active,-0.08860894,-0.092237316,"('inactive', 'active')"
67,-1.117665,doubtful,determined,-0.5968494,0.5208157,"('doubtful', 'determined')"
68,-0.0048835427,dependent,independent,-0.18681473,-0.18193118,"('dependent', 'independent')"
69,-0.76220995,lazy,industrious,0.030592484,0.79280245,"('lazy', 'industrious')"
70,0.40019715,lethargic,energetic,0.701818,0.30162084,"('lethargic', 'energetic')"
71,-0.057716087,diffident,self-confident,0.12507583,0.18279192,"('diffident', 'self-confident')"
72,0.60255307,unambitious,ambitious,0.23585932,-0.36669374,"('unambitious', 'ambitious')"
73,0.5723215,helpless,self-reliant,0.6374614,0.06513995,"('helpless', 'self-reliant')"
74,0.31116927,undedicated,dedicated,1.4340595,1.1228902,"('undedicated', 'dedicated')"
75,0.59621906,meek,impulsive,-0.3460995,-0.94231856,"('meek', 'impulsive')"
76,0.60926855,anxious,daring,0.39573863,-0.21352991,"('anxious', 'daring')"
77,-0.39123228,unmotivated,motivated,-0.68000174,-0.28876945,"('unmotivated', 'motivated')"
78,-1.0441719,nonresilient,resilient,-0.49893504,0.5452369,"('nonresilient', 'resilient')"
79,0.83643115,wavering,unwavering,0.58608735,-0.2503438,"('wavering', 'unwavering')"
80,-0.6931946,dominated,dominating,-1.1343848,-0.44119012,"('dominated', 'dominating')"
81,0.6937854,submissive,aggressive,-0.7853257,-1.4791112,"('submissive', 'aggressive')"
82,1.3748821,poor,rich,0.4518651,-0.923017,"('poor', 'rich')"
83,-0.65404445,powerless,powerful,-0.295607,0.35843745,"('powerless', 'powerful')"
84,-0.07969721,inferior,superior,-0.39590856,-0.31621134,"('inferior', 'superior')"
85,2.294777,insignificant,prestigious,2.192472,-0.102304935,"('insignificant', 'prestigious')"
86,-0.30701217,uninfluential,influential,0.20908912,0.5161013,"('uninfluential', 'influential')"
87,0.085831225,unsuccessful,successful,-0.2800817,-0.3659129,"('unsuccessful', 'successful')"
88,1.2355449,low,eminent,1.0412015,-0.19434345,"('low', 'eminent')"
