,Value_Male,0,1,Value_Female,female-male,tuple
0,0.63360614,unsociable,sociable,-0.23989764,-0.8735038,"('unsociable', 'sociable')"
1,1.2746029,unfriendly,friendly,1.7462268,0.4716239,"('unfriendly', 'friendly')"
2,1.1988,unlikable,likable,0.35472986,-0.8440701,"('unlikable', 'likable')"
3,0.3227937,repellent,pleasant,0.5030144,0.1802207,"('repellent', 'pleasant')"
4,-0.29793635,disliked,liked,0.185884,0.48382035,"('disliked', 'liked')"
5,0.37857297,distant,outgoing,0.7558389,0.3772659,"('distant', 'outgoing')"
6,0.3850817,distant,open,0.76349705,0.37841535,"('distant', 'open')"
7,1.0490378,insensitive,sensitive,1.2808832,0.23184538,"('insensitive', 'sensitive')"
8,0.54285145,unaffectionate,affectionate,1.3602026,0.8173511,"('unaffectionate', 'affectionate')"
9,0.4247964,unaffectionate,caring,1.362624,0.93782765,"('unaffectionate', 'caring')"
10,1.4799755,unsympathetic,sympathetic,0.93359303,-0.5463824,"('unsympathetic', 'sympathetic')"
11,0.13038956,unhelpful,helpful,-0.2182824,-0.34867197,"('unhelpful', 'helpful')"
12,0.033891786,unsupportive,supportive,0.87184757,0.8379558,"('unsupportive', 'supportive')"
13,0.5021004,impolite,polite,0.20507635,-0.29702407,"('impolite', 'polite')"
14,-0.57373786,antisocial,social,-0.46295524,0.11078262,"('antisocial', 'social')"
15,0.6552191,boring,funny,0.5713999,-0.08381915,"('boring', 'funny')"
16,0.3689499,unpopular,popular,0.26407602,-0.104873866,"('unpopular', 'popular')"
17,0.30266643,nasty,nice,0.6741596,0.37149316,"('nasty', 'nice')"
18,0.3489501,disagreeable,welcoming,1.1462624,0.7973123,"('disagreeable', 'welcoming')"
19,0.41275653,inhospitable,hospitable,0.13796888,-0.27478766,"('inhospitable', 'hospitable')"
20,0.090736285,rough,thoughtful,-0.05258676,-0.14332305,"('rough', 'thoughtful')"
21,0.75681627,immoral,moral,0.32242036,-0.4343959,"('immoral', 'moral')"
22,0.49490786,untrustworthy,trustworthy,0.4900596,-0.004848242,"('untrustworthy', 'trustworthy')"
23,1.0127203,insincere,sincere,0.9456871,-0.06703323,"('insincere', 'sincere')"
24,1.6843296,dishonest,honest,1.5633858,-0.120943785,"('dishonest', 'honest')"
25,0.24225095,egoistic,altruistic,0.6776254,0.43537447,"('egoistic', 'altruistic')"
26,-0.030358344,hardhearted,benevolent,0.3283112,0.35866955,"('hardhearted', 'benevolent')"
27,0.6931,hardhearted,softhearted,1.4880126,0.7949126,"('hardhearted', 'softhearted')"
28,0.48424068,disloyal,loyal,0.18426795,-0.2999727,"('disloyal', 'loyal')"
29,-1.3483013,unfair,fair,-0.58233774,0.76596355,"('unfair', 'fair')"
30,0.62269735,intolerant,tolerant,0.5439535,-0.078743875,"('intolerant', 'tolerant')"
