,Value_Male,0,1,Value_Female,female-male,tuple
0,0.73530823,unsociable,sociable,-0.064725175,-0.8000334,"('unsociable', 'sociable')"
1,1.599454,unfriendly,friendly,1.8283412,0.2288872,"('unfriendly', 'friendly')"
2,1.0566229,unlikable,likable,0.28022116,-0.7764017,"('unlikable', 'likable')"
3,0.4683133,repellent,pleasant,0.58271307,0.11439976,"('repellent', 'pleasant')"
4,-0.3569245,disliked,liked,0.04338665,0.40031114,"('disliked', 'liked')"
5,-0.021329237,distant,outgoing,0.3999588,0.421288,"('distant', 'outgoing')"
6,0.07818186,distant,open,0.49392903,0.41574717,"('distant', 'open')"
7,1.3106117,insensitive,sensitive,1.4076134,0.09700167,"('insensitive', 'sensitive')"
8,0.8195544,unaffectionate,affectionate,1.3668715,0.5473171,"('unaffectionate', 'affectionate')"
9,0.7279132,unaffectionate,caring,1.4422011,0.71428794,"('unaffectionate', 'caring')"
10,1.6755581,unsympathetic,sympathetic,1.062357,-0.61320114,"('unsympathetic', 'sympathetic')"
11,0.32397088,unhelpful,helpful,0.047131404,-0.2768395,"('unhelpful', 'helpful')"
12,0.6647129,unsupportive,supportive,1.2318299,0.567117,"('unsupportive', 'supportive')"
13,0.33504835,impolite,polite,0.044676803,-0.29037154,"('impolite', 'polite')"
14,-0.22378124,antisocial,social,0.27049902,0.49428028,"('antisocial', 'social')"
15,0.2871456,boring,funny,0.25718743,-0.029958189,"('boring', 'funny')"
16,0.021546222,unpopular,popular,-0.11219834,-0.13374457,"('unpopular', 'popular')"
17,-0.046021618,nasty,nice,0.22613674,0.27215835,"('nasty', 'nice')"
18,-0.004270034,disagreeable,welcoming,0.95783055,0.96210057,"('disagreeable', 'welcoming')"
19,-0.23559088,inhospitable,hospitable,-0.5039892,-0.26839834,"('inhospitable', 'hospitable')"
20,-0.44051546,rough,thoughtful,-0.16651392,0.27400154,"('rough', 'thoughtful')"
21,0.7241285,immoral,moral,0.05509555,-0.66903293,"('immoral', 'moral')"
22,0.6882876,untrustworthy,trustworthy,0.45054424,-0.23774338,"('untrustworthy', 'trustworthy')"
