,Value_Male,0,1,Value_Female,female-male,tuple
0,1.400426,unsociable,sociable,0.39208215,-1.0083439,"('unsociable', 'sociable')"
1,0.82360923,unfriendly,friendly,1.380651,0.55704176,"('unfriendly', 'friendly')"
2,1.227566,unlikable,likable,0.5711919,-0.6563741,"('unlikable', 'likable')"
3,0.7570788,repellent,pleasant,1.0680631,0.3109843,"('repellent', 'pleasant')"
4,-0.17573594,disliked,liked,0.28003272,0.45576864,"('disliked', 'liked')"
5,-0.021366693,distant,outgoing,0.2924469,0.3138136,"('distant', 'outgoing')"
6,0.024939895,distant,open,0.41537994,0.39044005,"('distant', 'open')"
7,1.8007046,insensitive,sensitive,1.9613934,0.16068876,"('insensitive', 'sensitive')"
8,0.09511132,unaffectionate,affectionate,0.8384876,0.7433763,"('unaffectionate', 'affectionate')"
9,-0.14437863,unaffectionate,caring,0.78838736,0.93276596,"('unaffectionate', 'caring')"
10,2.0246274,unsympathetic,sympathetic,1.1146563,-0.9099711,"('unsympathetic', 'sympathetic')"
11,-0.001417405,unhelpful,helpful,-0.26008806,-0.25867066,"('unhelpful', 'helpful')"
12,0.47873092,unsupportive,supportive,1.2139896,0.7352587,"('unsupportive', 'supportive')"
13,0.5210495,impolite,polite,0.097716816,-0.4233327,"('impolite', 'polite')"
14,-0.072761044,antisocial,social,0.20386389,0.27662492,"('antisocial', 'social')"
15,0.2233303,boring,funny,0.14871246,-0.07461785,"('boring', 'funny')"
16,-0.033233006,unpopular,popular,0.19425765,0.22749065,"('unpopular', 'popular')"
17,0.16362889,nasty,nice,0.4650167,0.3013878,"('nasty', 'nice')"
18,0.054704145,disagreeable,welcoming,0.9040751,0.84937096,"('disagreeable', 'welcoming')"
19,-0.086256415,inhospitable,hospitable,-0.33414704,-0.24789062,"('inhospitable', 'hospitable')"
20,-0.15251955,rough,thoughtful,0.06636428,0.21888384,"('rough', 'thoughtful')"
21,1.1513939,immoral,moral,0.36606136,-0.78533256,"('immoral', 'moral')"
22,0.6966942,untrustworthy,trustworthy,0.59238434,-0.10430986,"('untrustworthy', 'trustworthy')"
23,0.98435956,insincere,sincere,0.9998381,0.015478551,"('insincere', 'sincere')"
24,1.6732546,dishonest,honest,1.2911288,-0.38212585,"('dishonest', 'honest')"
25,0.19561787,egoistic,altruistic,0.62854034,0.43292248,"('egoistic', 'altruistic')"
26,0.041304708,hardhearted,benevolent,0.39339623,0.35209152,"('hardhearted', 'benevolent')"
27,0.8216668,hardhearted,softhearted,1.6510817,0.8294149,"('hardhearted', 'softhearted')"
28,0.38423952,disloyal,loyal,-0.0047844844,-0.38902402,"('disloyal', 'loyal')"
29,-0.91031814,unfair,fair,-0.21635702,0.69396114,"('unfair', 'fair')"
30,1.2643756,intolerant,tolerant,0.87101066,-0.3933649,"('intolerant', 'tolerant')"
31,-0.7716598,evil,good,-0.64494365,0.12671614,"('evil', 'good')"
32,1.4189076,unkind,kind,1.313,-0.10590768,"('unkind', 'kind')"
33,-0.5622673,wrong,right,0.35773793,0.9200052,"('wrong', 'right')"
34,0.38649383,mean,honorable,0.09109824,-0.29539558,"('mean', 'honorable')"
35,-1.7899573,corrupt,incorrupt,-1.4751077,0.31484962,"('corrupt', 'incorrupt')"
36,0.25099856,hostile,amicable,0.7867604,0.53576183,"('hostile', 'amicable')"
37,0.51954967,fake,genuine,0.38493848,-0.13461119,"('fake', 'genuine')"
38,-0.46892115,untruthful,truthful,-0.5132843,-0.04436317,"('untruthful', 'truthful')"
39,-0.8742406,exploitative,cooperative,-0.16097848,0.7132621,"('exploitative', 'cooperative')"
40,1.3300983,stingy,generous,1.0090083,-0.32108998,"('stingy', 'generous')"
41,1.3404285,unforgiving,forgiving,0.57253146,-0.767897,"('unforgiving', 'forgiving')"
42,0.7876175,unreliable,reliable,1.0704176,0.28280014,"('unreliable', 'reliable')"
43,1.1830208,irresponsible,responsible,1.1652199,-0.017800927,"('irresponsible', 'responsible')"
44,-0.8132926,prejudiced,unprejudiced,-1.2470636,-0.433771,"('prejudiced', 'unprejudiced')"
45,1.1212752,incompetent,competent,0.8865458,-0.23472941,"('incompetent', 'competent')"
46,0.4642307,uncompetitive,competitive,0.36405382,-0.10017687,"('uncompetitive', 'competitive')"
47,1.3228507,stupid,smart,0.9652484,-0.3576023,"('stupid', 'smart')"
48,1.4334258,unintelligent,intelligent,0.98607355,-0.44735223,"('unintelligent', 'intelligent')"
49,-0.33890393,unable,able,0.50681865,0.84572256,"('unable', 'able')"
50,-0.115464896,clumsy,skillful,0.34520048,0.46066537,"('clumsy', 'skillful')"
51,0.4373483,uneducated,educated,0.12849627,-0.30885202,"('uneducated', 'educated')"
52,-0.6764814,irrational,rational,-0.3702598,0.30622163,"('irrational', 'rational')"
53,0.088483475,uncreative,creative,0.80528986,0.7168064,"('uncreative', 'creative')"
54,0.84009385,incapable,capable,0.34289888,-0.49719498,"('incapable', 'capable')"
55,0.40886602,incompetent,clever,0.4127541,0.0038880706,"('incompetent', 'clever')"
56,0.8654947,impractical,practical,0.8381113,-0.027383447,"('impractical', 'practical')"
57,0.6959009,unimaginative,imaginative,0.33325627,-0.36264464,"('unimaginative', 'imaginative')"
58,0.7791481,undiscriminating,discriminating,0.4950409,-0.2841072,"('undiscriminating', 'discriminating')"
59,-0.3534427,foolish,wise,-0.049064524,0.30437818,"('foolish', 'wise')"
60,0.105432674,inefficient,efficient,0.2488988,0.14346613,"('inefficient', 'efficient')"
61,0.26160187,illogical,logical,0.5364721,0.27487022,"('illogical', 'logical')"
62,0.6624804,incompetent,brilliant,0.7510133,0.088532865,"('incompetent', 'brilliant')"
63,1.1914729,unperceptive,insightful,1.079774,-0.111698866,"('unperceptive', 'insightful')"
64,-0.51148355,shy,confident,-1.1004219,-0.58893836,"('shy', 'confident')"
65,0.9264826,insecure,secure,-0.068833716,-0.9953163,"('insecure', 'secure')"
66,-0.54459065,inactive,active,-0.33038816,0.2142025,"('inactive', 'active')"
67,-0.55422693,doubtful,determined,-0.67328537,-0.11905843,"('doubtful', 'determined')"
68,-0.3352709,dependent,independent,-0.04907044,0.28620046,"('dependent', 'independent')"
69,-1.6102345,lazy,industrious,-0.6617172,0.9485173,"('lazy', 'industrious')"
70,1.606273,lethargic,energetic,1.6233503,0.017077208,"('lethargic', 'energetic')"
71,-0.36048114,diffident,self-confident,0.095706925,0.45618808,"('diffident', 'self-confident')"
72,0.948948,unambitious,ambitious,0.3269377,-0.62201035,"('unambitious', 'ambitious')"
73,-0.22560933,helpless,self-reliant,0.058461685,0.28407103,"('helpless', 'self-reliant')"
74,0.6555693,undedicated,dedicated,1.8643874,1.2088181,"('undedicated', 'dedicated')"
75,0.044258714,meek,impulsive,-0.44068265,-0.48494136,"('meek', 'impulsive')"
76,0.767576,anxious,daring,0.5497922,-0.21778381,"('anxious', 'daring')"
77,0.37799826,unmotivated,motivated,-0.29856408,-0.6765623,"('unmotivated', 'motivated')"
78,-0.8233246,nonresilient,resilient,-0.052077506,0.7712471,"('nonresilient', 'resilient')"
79,0.19480231,wavering,unwavering,0.10593778,-0.088864535,"('wavering', 'unwavering')"
80,-0.2177937,dominated,dominating,-0.8328269,-0.6150332,"('dominated', 'dominating')"
81,1.6810061,submissive,aggressive,-0.24577722,-1.9267833,"('submissive', 'aggressive')"
82,1.5028595,poor,rich,0.9019043,-0.6009552,"('poor', 'rich')"
83,-0.47934845,powerless,powerful,-0.52479917,-0.045450717,"('powerless', 'powerful')"
84,0.22573858,inferior,superior,-0.14995016,-0.37568873,"('inferior', 'superior')"
85,-0.1834614,insignificant,prestigious,0.426307,0.6097684,"('insignificant', 'prestigious')"
86,0.6413386,uninfluential,influential,0.6256877,-0.015650868,"('uninfluential', 'influential')"
87,-0.09986022,unsuccessful,successful,-0.38943923,-0.289579,"('unsuccessful', 'successful')"
88,1.236969,low,eminent,1.0241247,-0.21284425,"('low', 'eminent')"
