,Value_Male,0,1,Value_Female,female-male,tuple
0,0.6855357,unsociable,sociable,-0.20905238,-0.8945881,"('unsociable', 'sociable')"
1,1.7075537,unfriendly,friendly,1.9759607,0.268407,"('unfriendly', 'friendly')"
2,1.0799718,unlikable,likable,0.1266332,-0.9533386,"('unlikable', 'likable')"
3,0.1155163,repellent,pleasant,0.43509614,0.31957984,"('repellent', 'pleasant')"
4,0.0513226,disliked,liked,0.34779513,0.29647252,"('disliked', 'liked')"
5,0.9281305,distant,outgoing,0.97927886,0.051148355,"('distant', 'outgoing')"
6,0.90812767,distant,open,1.0378324,0.12970471,"('distant', 'open')"
7,1.0034306,insensitive,sensitive,1.1900268,0.18659616,"('insensitive', 'sensitive')"
8,0.6971037,unaffectionate,affectionate,1.405698,0.70859426,"('unaffectionate', 'affectionate')"
9,0.7263458,unaffectionate,caring,1.5884938,0.86214805,"('unaffectionate', 'caring')"
10,1.3908671,unsympathetic,sympathetic,1.0408976,-0.3499695,"('unsympathetic', 'sympathetic')"
11,-0.1196155,unhelpful,helpful,-0.32589677,-0.20628127,"('unhelpful', 'helpful')"
12,0.019167121,unsupportive,supportive,0.8177064,0.7985393,"('unsupportive', 'supportive')"
13,0.31921571,impolite,polite,0.09306865,-0.22614706,"('impolite', 'polite')"
14,-0.6788923,antisocial,social,-0.41461226,0.26428005,"('antisocial', 'social')"
15,0.59928006,boring,funny,0.5217431,-0.07753694,"('boring', 'funny')"
16,0.30564383,unpopular,popular,0.20984247,-0.09580135,"('unpopular', 'popular')"
17,0.24245462,nasty,nice,0.62421787,0.38176325,"('nasty', 'nice')"
18,0.11195114,disagreeable,welcoming,0.9227105,0.8107593,"('disagreeable', 'welcoming')"
19,0.54933697,inhospitable,hospitable,0.22199547,-0.3273415,"('inhospitable', 'hospitable')"
20,0.12391412,rough,thoughtful,-0.024626587,-0.1485407,"('rough', 'thoughtful')"
21,0.5139423,immoral,moral,0.11339146,-0.40055084,"('immoral', 'moral')"
22,0.65119565,untrustworthy,trustworthy,0.73493356,0.08373791,"('untrustworthy', 'trustworthy')"
23,0.66507256,insincere,sincere,0.81165826,0.1465857,"('insincere', 'sincere')"
24,1.7576708,dishonest,honest,1.7392118,-0.018458962,"('dishonest', 'honest')"
25,0.19564648,egoistic,altruistic,0.44611698,0.25047052,"('egoistic', 'altruistic')"
26,0.31474906,hardhearted,benevolent,0.68023175,0.3654827,"('hardhearted', 'benevolent')"
27,0.97472197,hardhearted,softhearted,1.7010342,0.7263122,"('hardhearted', 'softhearted')"
28,0.35265917,disloyal,loyal,0.10632883,-0.24633034,"('disloyal', 'loyal')"
29,-1.0633806,unfair,fair,-0.3427453,0.7206353,"('unfair', 'fair')"
30,0.41102728,intolerant,tolerant,0.44750515,0.036477864,"('intolerant', 'tolerant')"
31,-0.20458862,evil,good,-0.18866135,0.01592727,"('evil', 'good')"
32,1.9417118,unkind,kind,1.7422221,-0.19948971,"('unkind', 'kind')"
33,-0.21674576,wrong,right,0.6366559,0.85340166,"('wrong', 'right')"
34,0.4804433,mean,honorable,0.18846747,-0.29197583,"('mean', 'honorable')"
35,-0.8667107,corrupt,incorrupt,-0.74406034,0.122650385,"('corrupt', 'incorrupt')"
36,0.63642335,hostile,amicable,1.1117022,0.47527885,"('hostile', 'amicable')"
37,0.94751734,fake,genuine,0.7860874,-0.16142994,"('fake', 'genuine')"
38,-0.09505308,untruthful,truthful,0.2000318,0.2950849,"('untruthful', 'truthful')"
39,-0.13659078,exploitative,cooperative,0.31448162,0.4510724,"('exploitative', 'cooperative')"
40,0.561451,stingy,generous,0.10341485,-0.45803618,"('stingy', 'generous')"
41,0.7956288,unforgiving,forgiving,0.38108397,-0.41454482,"('unforgiving', 'forgiving')"
42,0.40762797,unreliable,reliable,0.91598326,0.50835526,"('unreliable', 'reliable')"
43,0.85400796,irresponsible,responsible,0.9357837,0.081775725,"('irresponsible', 'responsible')"
44,-0.72200763,prejudiced,unprejudiced,-1.1599692,-0.43796158,"('prejudiced', 'unprejudiced')"
45,1.0898777,incompetent,competent,0.97079116,-0.11908656,"('incompetent', 'competent')"
46,0.18300726,uncompetitive,competitive,0.13998677,-0.043020487,"('uncompetitive', 'competitive')"
47,1.1610023,stupid,smart,0.50273293,-0.65826935,"('stupid', 'smart')"
48,0.32940373,unintelligent,intelligent,0.020238373,-0.30916536,"('unintelligent', 'intelligent')"
49,-0.16907808,unable,able,0.84414726,1.0132253,"('unable', 'able')"
50,0.29033357,clumsy,skillful,0.34440026,0.054066688,"('clumsy', 'skillful')"
51,-0.3837545,uneducated,educated,-0.46069545,-0.076940954,"('uneducated', 'educated')"
52,0.10383789,irrational,rational,0.06472098,-0.03911691,"('irrational', 'rational')"
53,0.5288318,uncreative,creative,0.9652667,0.43643492,"('uncreative', 'creative')"
54,1.5951556,incapable,capable,1.0380751,-0.5570805,"('incapable', 'capable')"
55,-0.016426273,incompetent,clever,0.12175022,0.1381765,"('incompetent', 'clever')"
56,0.5522885,impractical,practical,0.7595252,0.2072367,"('impractical', 'practical')"
57,0.9347874,unimaginative,imaginative,0.5626693,-0.37211812,"('unimaginative', 'imaginative')"
58,1.033232,undiscriminating,discriminating,0.69628096,-0.33695102,"('undiscriminating', 'discriminating')"
59,0.101642415,foolish,wise,0.22572462,0.12408221,"('foolish', 'wise')"
60,-0.19026998,inefficient,efficient,0.08598651,0.2762565,"('inefficient', 'efficient')"
61,0.094678596,illogical,logical,0.29662752,0.20194893,"('illogical', 'logical')"
62,0.40559044,incompetent,brilliant,0.374291,-0.031299442,"('incompetent', 'brilliant')"
63,0.6649817,unperceptive,insightful,0.67019624,0.0052145123,"('unperceptive', 'insightful')"
64,-0.9489346,shy,confident,-1.6326509,-0.68371624,"('shy', 'confident')"
65,0.18374358,insecure,secure,-0.76853836,-0.95228195,"('insecure', 'secure')"
66,-0.103354216,inactive,active,-0.16313039,-0.059776172,"('inactive', 'active')"
67,-1.0000967,doubtful,determined,-0.94758654,0.052510142,"('doubtful', 'determined')"
68,-0.19039282,dependent,independent,-0.07173864,0.118654184,"('dependent', 'independent')"
69,-1.1384475,lazy,industrious,-0.5222612,0.6161863,"('lazy', 'industrious')"
70,1.1622903,lethargic,energetic,1.3761169,0.21382654,"('lethargic', 'energetic')"
71,0.08620823,diffident,self-confident,0.24063961,0.15443137,"('diffident', 'self-confident')"
72,1.0630424,unambitious,ambitious,0.3886294,-0.67441297,"('unambitious', 'ambitious')"
73,0.73500407,helpless,self-reliant,0.6196001,-0.11540395,"('helpless', 'self-reliant')"
74,0.42575693,undedicated,dedicated,1.5170889,1.091332,"('undedicated', 'dedicated')"
75,0.5180033,meek,impulsive,-0.15016964,-0.66817296,"('meek', 'impulsive')"
76,0.45620596,anxious,daring,0.3569081,-0.09929785,"('anxious', 'daring')"
77,-0.629766,unmotivated,motivated,-1.1062404,-0.4764744,"('unmotivated', 'motivated')"
78,-1.1157277,nonresilient,resilient,-0.44213182,0.67359585,"('nonresilient', 'resilient')"
79,0.3567647,wavering,unwavering,0.5289933,0.1722286,"('wavering', 'unwavering')"
80,-0.7380384,dominated,dominating,-1.4765248,-0.7384864,"('dominated', 'dominating')"
81,0.79442656,submissive,aggressive,-0.8397463,-1.6341729,"('submissive', 'aggressive')"
82,1.822195,poor,rich,0.9498184,-0.8723767,"('poor', 'rich')"
83,-0.6811569,powerless,powerful,-0.65685767,0.024299204,"('powerless', 'powerful')"
84,0.2617046,inferior,superior,-0.28704888,-0.5487535,"('inferior', 'superior')"
85,0.3405423,insignificant,prestigious,0.6175639,0.27702162,"('insignificant', 'prestigious')"
86,0.014662147,uninfluential,influential,0.31570524,0.3010431,"('uninfluential', 'influential')"
87,0.28084698,unsuccessful,successful,-0.2719924,-0.5528394,"('unsuccessful', 'successful')"
88,1.0164968,low,eminent,0.897261,-0.119235754,"('low', 'eminent')"
