,Value_Male,0,1,Value_Female,female-male,tuple
0,1.2791486,unsociable,sociable,0.3235357,-0.9556129,"('unsociable', 'sociable')"
1,0.74635285,unfriendly,friendly,1.2386788,0.49232596,"('unfriendly', 'friendly')"
2,1.2242146,unlikable,likable,0.5233849,-0.7008296,"('unlikable', 'likable')"
3,0.721847,repellent,pleasant,1.0077312,0.2858842,"('repellent', 'pleasant')"
4,-0.05899439,disliked,liked,0.1647708,0.2237652,"('disliked', 'liked')"
5,-0.28020856,distant,outgoing,-0.021700706,0.25850785,"('distant', 'outgoing')"
6,-0.27443555,distant,open,0.06663969,0.34107524,"('distant', 'open')"
7,1.7493542,insensitive,sensitive,1.8026935,0.053339243,"('insensitive', 'sensitive')"
8,0.14281498,unaffectionate,affectionate,0.8678721,0.7250571,"('unaffectionate', 'affectionate')"
9,-0.055502504,unaffectionate,caring,0.8691413,0.92464375,"('unaffectionate', 'caring')"
10,2.2820644,unsympathetic,sympathetic,1.4781461,-0.80391836,"('unsympathetic', 'sympathetic')"
11,0.1435154,unhelpful,helpful,-0.16015977,-0.30367517,"('unhelpful', 'helpful')"
12,0.43399495,unsupportive,supportive,1.1646861,0.73069113,"('unsupportive', 'supportive')"
13,0.6481174,impolite,polite,0.42905843,-0.21905899,"('impolite', 'polite')"
14,0.22289056,antisocial,social,0.62971354,0.40682298,"('antisocial', 'social')"
15,0.200333,boring,funny,-0.02230139,-0.22263439,"('boring', 'funny')"
16,-0.2126255,unpopular,popular,0.036951214,0.24957672,"('unpopular', 'popular')"
17,0.069566175,nasty,nice,0.27252156,0.20295538,"('nasty', 'nice')"
18,-0.037961084,disagreeable,welcoming,0.863619,0.9015801,"('disagreeable', 'welcoming')"
19,-0.16867621,inhospitable,hospitable,-0.4940552,-0.325379,"('inhospitable', 'hospitable')"
20,-0.50783634,rough,thoughtful,-0.34518248,0.16265386,"('rough', 'thoughtful')"
21,1.0497624,immoral,moral,0.38061178,-0.6691506,"('immoral', 'moral')"
22,0.8994541,untrustworthy,trustworthy,0.71413696,-0.18531716,"('untrustworthy', 'trustworthy')"
23,1.0995843,insincere,sincere,1.2112677,0.11168337,"('insincere', 'sincere')"
24,1.7805619,dishonest,honest,1.5304729,-0.25008905,"('dishonest', 'honest')"
25,0.026798062,egoistic,altruistic,0.41149062,0.38469255,"('egoistic', 'altruistic')"
26,0.42517143,hardhearted,benevolent,0.71743536,0.29226393,"('hardhearted', 'benevolent')"
27,0.42473072,hardhearted,softhearted,1.2015117,0.776781,"('hardhearted', 'softhearted')"
28,0.4707316,disloyal,loyal,0.048498508,-0.42223307,"('disloyal', 'loyal')"
29,-1.1713749,unfair,fair,-0.70557165,0.46580327,"('unfair', 'fair')"
30,1.4373703,intolerant,tolerant,1.0968175,-0.3405528,"('intolerant', 'tolerant')"
31,-1.0051991,evil,good,-0.97079295,0.034406126,"('evil', 'good')"
32,1.7779474,unkind,kind,1.7017062,-0.076241255,"('unkind', 'kind')"
33,-0.6477942,wrong,right,0.297898,0.9456922,"('wrong', 'right')"
34,0.4034384,mean,honorable,0.060842663,-0.34259573,"('mean', 'honorable')"
35,-1.7769747,corrupt,incorrupt,-1.7534045,0.02357018,"('corrupt', 'incorrupt')"
36,0.16288233,hostile,amicable,0.4882463,0.32536396,"('hostile', 'amicable')"
37,0.58696014,fake,genuine,0.41974357,-0.16721657,"('fake', 'genuine')"
38,-0.31172508,untruthful,truthful,-0.36877126,-0.057046175,"('untruthful', 'truthful')"
39,-0.5623075,exploitative,cooperative,0.09799716,0.66030467,"('exploitative', 'cooperative')"
40,0.9435682,stingy,generous,0.44384497,-0.49972326,"('stingy', 'generous')"
41,1.4632163,unforgiving,forgiving,0.59624267,-0.86697364,"('unforgiving', 'forgiving')"
42,1.0034846,unreliable,reliable,1.09586,0.0923754,"('unreliable', 'reliable')"
43,1.2495155,irresponsible,responsible,1.3786751,0.12915957,"('irresponsible', 'responsible')"
44,-0.8600164,prejudiced,unprejudiced,-1.2901447,-0.43012828,"('prejudiced', 'unprejudiced')"
45,1.4302663,incompetent,competent,1.0557255,-0.3745408,"('incompetent', 'competent')"
46,0.56245506,uncompetitive,competitive,0.54317623,-0.019278824,"('uncompetitive', 'competitive')"
47,0.9954729,stupid,smart,0.77496135,-0.22051156,"('stupid', 'smart')"
48,1.0470076,unintelligent,intelligent,0.6752708,-0.37173676,"('unintelligent', 'intelligent')"
49,-0.48055762,unable,able,0.41482323,0.89538085,"('unable', 'able')"
50,0.03336879,clumsy,skillful,0.2640818,0.23071301,"('clumsy', 'skillful')"
51,0.36319408,uneducated,educated,0.01121174,-0.35198233,"('uneducated', 'educated')"
52,-0.69158083,irrational,rational,-0.55635273,0.1352281,"('irrational', 'rational')"
53,0.20935678,uncreative,creative,0.8983505,0.6889937,"('uncreative', 'creative')"
54,1.0748091,incapable,capable,0.45160997,-0.6231991,"('incapable', 'capable')"
55,0.3584964,incompetent,clever,0.48677248,0.12827608,"('incompetent', 'clever')"
56,0.93754864,impractical,practical,1.0315032,0.09395456,"('impractical', 'practical')"
57,0.853634,unimaginative,imaginative,0.33804524,-0.51558876,"('unimaginative', 'imaginative')"
58,0.79415274,undiscriminating,discriminating,0.38241044,-0.4117423,"('undiscriminating', 'discriminating')"
59,-0.5154772,foolish,wise,-0.25811365,0.25736353,"('foolish', 'wise')"
60,0.22312056,inefficient,efficient,0.49609417,0.2729736,"('inefficient', 'efficient')"
61,0.08819759,illogical,logical,0.37424755,0.28604996,"('illogical', 'logical')"
62,0.65800154,incompetent,brilliant,0.73222435,0.0742228,"('incompetent', 'brilliant')"
63,1.1556426,unperceptive,insightful,1.0745533,-0.08108938,"('unperceptive', 'insightful')"
64,-0.31481802,shy,confident,-1.0670851,-0.7522671,"('shy', 'confident')"
65,0.8672045,insecure,secure,-0.16715805,-1.0343626,"('insecure', 'secure')"
66,-0.5699211,inactive,active,-0.41607073,0.15385035,"('inactive', 'active')"
67,-0.48811573,doubtful,determined,-0.5106392,-0.022523463,"('doubtful', 'determined')"
68,-0.6144442,dependent,independent,-0.23748207,0.37696213,"('dependent', 'independent')"
69,-1.6580685,lazy,industrious,-0.88206244,0.7760061,"('lazy', 'industrious')"
70,1.6919353,lethargic,energetic,1.5902876,-0.101647735,"('lethargic', 'energetic')"
71,-0.44941247,diffident,self-confident,-0.027947506,0.42146495,"('diffident', 'self-confident')"
72,1.0171156,unambitious,ambitious,0.47937813,-0.5377375,"('unambitious', 'ambitious')"
73,-0.061912246,helpless,self-reliant,0.09132544,0.15323769,"('helpless', 'self-reliant')"
74,0.67347765,undedicated,dedicated,1.8754791,1.2020015,"('undedicated', 'dedicated')"
