,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.238079,-0.2720802,-0.5101592
1,"('unfriendly', 'friendly')",1.491524,1.8417423,0.35021829999999987
2,"('unlikable', 'likable')",0.7564732,0.0156604,-0.7408127999999999
3,"('repellent', 'pleasant')",0.0807199,0.2727805,0.19206059999999997
4,"('disliked', 'liked')",-0.5084221,-0.3028986,0.20552349999999997
5,"('distant', 'outgoing')",0.3895419,0.5661541,0.1766122
6,"('distant', 'open')",0.6838639,0.9658474,0.28198350000000005
7,"('insensitive', 'sensitive')",1.0482951,1.3180642,0.2697691
8,"('unaffectionate', 'affectionate')",0.8857242,1.423674,0.5379498000000001
9,"('unaffectionate', 'caring')",0.8585722,1.6426138,0.7840415999999999
10,"('unsympathetic', 'sympathetic')",1.1545227,0.915578,-0.2389447
11,"('unhelpful', 'helpful')",-0.0439934,-0.2602639,-0.21627049999999998
12,"('unsupportive', 'supportive')",0.039514,0.8249344,0.7854203999999999
13,"('impolite', 'polite')",-0.1479659,-0.137262,0.010703900000000016
14,"('antisocial', 'social')",-0.4918617,0.1819861,0.6738478
15,"('boring', 'funny')",0.1611529,0.2024346,0.041281700000000005
16,"('unpopular', 'popular')",0.0607491,-0.0701489,-0.13089800000000001
17,"('nasty', 'nice')",-0.2082973,0.093223,0.30152029999999996
18,"('disagreeable', 'welcoming')",0.1144469,0.9022923,0.7878454
19,"('inhospitable', 'hospitable')",0.1732804,-0.3591581,-0.5324385
20,"('rough', 'thoughtful')",-0.1090807,-0.1870061,-0.0779254
21,"('immoral', 'moral')",0.3415701,0.025373,-0.3161971
22,"('untrustworthy', 'trustworthy')",0.2615004,0.3639629,0.10246249999999996
23,"('insincere', 'sincere')",0.7394145,0.8422531,0.1028386
24,"('dishonest', 'honest')",1.4336009,1.4809711,0.04737020000000003
25,"('egoistic', 'altruistic')",0.2760071,0.5826718,0.30666469999999996
26,"('hardhearted', 'benevolent')",0.3994806,1.084505,0.6850244000000001
27,"('hardhearted', 'softhearted')",0.6338398,1.3246825,0.6908427
28,"('disloyal', 'loyal')",0.3803355,0.1277738,-0.2525617
29,"('unfair', 'fair')",-1.3059896,-0.7666082,0.5393814
30,"('intolerant', 'tolerant')",0.2832595,0.3974508,0.1141913
31,"('evil', 'good')",-0.2010391,-0.2747702,-0.07373110000000002
32,"('unkind', 'kind')",1.5984622,1.7111073,0.11264510000000016
33,"('wrong', 'right')",-0.3980637,0.3511843,0.749248
34,"('mean', 'honorable')",0.7286975,0.3456606,-0.3830369
35,"('corrupt', 'incorrupt')",-0.6080667,-0.6117268,-0.003660100000000055
36,"('hostile', 'amicable')",0.647384,0.8316218,0.1842378
37,"('fake', 'genuine')",0.5585644,0.5022303,-0.05633409999999994
38,"('untruthful', 'truthful')",0.06039,0.127415,0.067025
39,"('exploitative', 'cooperative')",0.2962899,0.8270215,0.5307316
40,"('stingy', 'generous')",0.5340154,0.2138834,-0.320132
41,"('unforgiving', 'forgiving')",0.4936269,0.2427385,-0.2508884
42,"('unreliable', 'reliable')",-0.0243989,0.4546224,0.4790213
