,Value_Male,0,1,Value_Female,female-male,tuple
0,0.009882446,unsociable,sociable,-0.47856784,-0.4884503,"('unsociable', 'sociable')"
1,1.8006896,unfriendly,friendly,2.217742,0.4170524,"('unfriendly', 'friendly')"
2,1.03895,unlikable,likable,0.25295728,-0.7859927,"('unlikable', 'likable')"
3,0.58172965,repellent,pleasant,0.7616927,0.17996305,"('repellent', 'pleasant')"
4,-0.68146217,disliked,liked,-0.13774806,0.5437141,"('disliked', 'liked')"
5,0.7281756,distant,outgoing,1.0069718,0.27879626,"('distant', 'outgoing')"
6,0.73017514,distant,open,1.1185503,0.38837516,"('distant', 'open')"
7,1.0293038,insensitive,sensitive,1.4072262,0.37792242,"('insensitive', 'sensitive')"
8,0.8280795,unaffectionate,affectionate,1.4520062,0.6239267,"('unaffectionate', 'affectionate')"
9,0.9670004,unaffectionate,caring,1.8967514,0.929751,"('unaffectionate', 'caring')"
10,0.7126007,unsympathetic,sympathetic,0.65447164,-0.058129072,"('unsympathetic', 'sympathetic')"
11,0.22940819,unhelpful,helpful,0.15211569,-0.0772925,"('unhelpful', 'helpful')"
12,0.17238964,unsupportive,supportive,1.0441417,0.871752,"('unsupportive', 'supportive')"
13,0.33322144,impolite,polite,0.124084964,-0.20913647,"('impolite', 'polite')"
14,-1.0763687,antisocial,social,-0.36872923,0.70763946,"('antisocial', 'social')"
15,0.2402265,boring,funny,0.24903914,0.008812636,"('boring', 'funny')"
16,0.8465078,unpopular,popular,0.5973548,-0.24915296,"('unpopular', 'popular')"
17,0.113195926,nasty,nice,0.34982032,0.23662439,"('nasty', 'nice')"
18,0.53659195,disagreeable,welcoming,1.4304166,0.89382464,"('disagreeable', 'welcoming')"
19,0.42322764,inhospitable,hospitable,0.02748463,-0.395743,"('inhospitable', 'hospitable')"
20,-0.49142444,rough,thoughtful,-0.2828912,0.20853323,"('rough', 'thoughtful')"
21,0.5036283,immoral,moral,0.052884646,-0.45074368,"('immoral', 'moral')"
22,-0.18472278,untrustworthy,trustworthy,0.069883555,0.25460634,"('untrustworthy', 'trustworthy')"
23,1.1464354,insincere,sincere,1.248504,0.10206866,"('insincere', 'sincere')"
24,1.5389782,dishonest,honest,1.7725961,0.2336179,"('dishonest', 'honest')"
25,0.6810945,egoistic,altruistic,0.8489216,0.16782707,"('egoistic', 'altruistic')"
26,-0.34735566,hardhearted,benevolent,0.48433584,0.8316915,"('hardhearted', 'benevolent')"
27,0.5254968,hardhearted,softhearted,1.3733714,0.8478746,"('hardhearted', 'softhearted')"
28,0.51801723,disloyal,loyal,0.35644773,-0.1615695,"('disloyal', 'loyal')"
29,-1.5059491,unfair,fair,-0.8280483,0.67790085,"('unfair', 'fair')"
30,0.2678499,intolerant,tolerant,0.37585738,0.10800749,"('intolerant', 'tolerant')"
31,-0.17461926,evil,good,-0.23141271,-0.05679345,"('evil', 'good')"
32,1.8983136,unkind,kind,1.8955388,-0.0027748346,"('unkind', 'kind')"
33,-0.10587808,wrong,right,0.61090744,0.7167855,"('wrong', 'right')"
34,0.5512933,mean,honorable,0.42850432,-0.122788996,"('mean', 'honorable')"
35,-0.5672783,corrupt,incorrupt,-0.6739476,-0.10666925,"('corrupt', 'incorrupt')"
36,0.26199818,hostile,amicable,0.51798236,0.2559842,"('hostile', 'amicable')"
37,0.51093924,fake,genuine,0.5342102,0.023270965,"('fake', 'genuine')"
38,0.16870824,untruthful,truthful,0.47997656,0.31126833,"('untruthful', 'truthful')"
39,0.49103042,exploitative,cooperative,0.8249382,0.33390775,"('exploitative', 'cooperative')"
40,0.42527586,stingy,generous,0.12919329,-0.29608256,"('stingy', 'generous')"
41,0.3729635,unforgiving,forgiving,0.062464345,-0.31049913,"('unforgiving', 'forgiving')"
42,0.094184436,unreliable,reliable,0.7110673,0.61688286,"('unreliable', 'reliable')"
43,0.88054633,irresponsible,responsible,1.1708843,0.29033792,"('irresponsible', 'responsible')"
44,-1.02497,prejudiced,unprejudiced,-1.3678615,-0.34289145,"('prejudiced', 'unprejudiced')"
45,0.007129617,incompetent,competent,0.33941302,0.3322834,"('incompetent', 'competent')"
46,-0.46377698,uncompetitive,competitive,-0.38965648,0.07412049,"('uncompetitive', 'competitive')"
47,1.0660264,stupid,smart,0.67071897,-0.39530748,"('stupid', 'smart')"
48,0.6711096,unintelligent,intelligent,0.36400065,-0.30710897,"('unintelligent', 'intelligent')"
49,-0.32695666,unable,able,0.7004664,1.027423,"('unable', 'able')"
50,0.7071241,clumsy,skillful,0.71590734,0.008783221,"('clumsy', 'skillful')"
51,0.2511934,uneducated,educated,0.020475406,-0.230718,"('uneducated', 'educated')"
52,0.341776,irrational,rational,0.3673451,0.025569081,"('irrational', 'rational')"
53,1.2627248,uncreative,creative,1.5571294,0.29440463,"('uncreative', 'creative')"
54,1.7555596,incapable,capable,1.1568538,-0.59870577,"('incapable', 'capable')"
