,Value_Male,0,1,Value_Female,female-male,tuple
0,-0.20541327,unsociable,sociable,-0.6896164,-0.4842031,"('unsociable', 'sociable')"
1,2.4486458,unfriendly,friendly,2.6086726,0.16002679,"('unfriendly', 'friendly')"
2,0.77886784,unlikable,likable,0.11327419,-0.6655936,"('unlikable', 'likable')"
3,-0.024658475,repellent,pleasant,0.42492667,0.44958514,"('repellent', 'pleasant')"
4,-0.27593958,disliked,liked,0.10513094,0.38107052,"('disliked', 'liked')"
5,0.7037979,distant,outgoing,0.9432364,0.23943853,"('distant', 'outgoing')"
6,1.0299159,distant,open,1.2020764,0.1721605,"('distant', 'open')"
7,1.3682705,insensitive,sensitive,1.5741438,0.20587325,"('insensitive', 'sensitive')"
8,1.7250214,unaffectionate,affectionate,1.9746968,0.2496754,"('unaffectionate', 'affectionate')"
9,1.5170329,unaffectionate,caring,2.1380231,0.6209903,"('unaffectionate', 'caring')"
10,0.92127657,unsympathetic,sympathetic,0.66234356,-0.258933,"('unsympathetic', 'sympathetic')"
11,-0.23959103,unhelpful,helpful,-0.3703497,-0.13075867,"('unhelpful', 'helpful')"
12,0.6257613,unsupportive,supportive,1.312478,0.6867167,"('unsupportive', 'supportive')"
13,-0.11706741,impolite,polite,-0.11262487,0.004442543,"('impolite', 'polite')"
14,-0.91208076,antisocial,social,-0.1164982,0.79558253,"('antisocial', 'social')"
15,0.27965355,boring,funny,0.2810154,0.0013618469,"('boring', 'funny')"
16,0.2171858,unpopular,popular,-0.04599636,-0.26318216,"('unpopular', 'popular')"
17,0.0876206,nasty,nice,0.26786017,0.18023957,"('nasty', 'nice')"
18,0.34344462,disagreeable,welcoming,1.2248107,0.88136613,"('disagreeable', 'welcoming')"
19,0.56944,inhospitable,hospitable,0.1901337,-0.37930632,"('inhospitable', 'hospitable')"
20,-0.2594684,rough,thoughtful,-0.09835753,0.16111088,"('rough', 'thoughtful')"
21,0.26168132,immoral,moral,-0.13456333,-0.39624465,"('immoral', 'moral')"
22,-0.15590456,untrustworthy,trustworthy,0.17677887,0.33268344,"('untrustworthy', 'trustworthy')"
23,0.9643885,insincere,sincere,1.0428365,0.07844806,"('insincere', 'sincere')"
24,2.0203333,dishonest,honest,1.8892032,-0.1311301,"('dishonest', 'honest')"
25,1.578716,egoistic,altruistic,1.7513707,0.17265463,"('egoistic', 'altruistic')"
26,0.64404035,hardhearted,benevolent,1.1418118,0.4977715,"('hardhearted', 'benevolent')"
27,1.1469434,hardhearted,softhearted,1.7745284,0.62758493,"('hardhearted', 'softhearted')"
28,0.7734097,disloyal,loyal,0.3879848,-0.3854249,"('disloyal', 'loyal')"
29,-1.159087,unfair,fair,-0.5937719,0.56531507,"('unfair', 'fair')"
30,-0.052454203,intolerant,tolerant,0.121732846,0.17418705,"('intolerant', 'tolerant')"
31,0.059126616,evil,good,0.014395328,-0.04473129,"('evil', 'good')"
32,1.8058228,unkind,kind,1.7285583,-0.07726455,"('unkind', 'kind')"
33,0.2657234,wrong,right,0.84767747,0.58195406,"('wrong', 'right')"
34,0.5100692,mean,honorable,0.21322139,-0.29684782,"('mean', 'honorable')"
35,-0.54931843,corrupt,incorrupt,-0.5290914,0.020227015,"('corrupt', 'incorrupt')"
36,0.5975623,hostile,amicable,0.7102377,0.11267537,"('hostile', 'amicable')"
37,1.2729659,fake,genuine,1.0701421,-0.20282376,"('fake', 'genuine')"
38,0.22279736,untruthful,truthful,0.29457662,0.07177925,"('untruthful', 'truthful')"
39,0.5207543,exploitative,cooperative,0.8786589,0.3579046,"('exploitative', 'cooperative')"
40,1.3257989,stingy,generous,1.0387261,-0.28707278,"('stingy', 'generous')"
41,0.7182511,unforgiving,forgiving,0.3354495,-0.38280162,"('unforgiving', 'forgiving')"
42,-0.15081806,unreliable,reliable,0.33511737,0.48593545,"('unreliable', 'reliable')"
43,0.54766434,irresponsible,responsible,0.64344764,0.09578329,"('irresponsible', 'responsible')"
44,-1.2644197,prejudiced,unprejudiced,-1.4914482,-0.22702849,"('prejudiced', 'unprejudiced')"
45,0.09845383,incompetent,competent,0.28358543,0.18513161,"('incompetent', 'competent')"
46,-0.68676674,uncompetitive,competitive,-0.7397633,-0.052996576,"('uncompetitive', 'competitive')"
47,0.5501445,stupid,smart,0.15434144,-0.39580303,"('stupid', 'smart')"
48,0.8536155,unintelligent,intelligent,0.49137238,-0.36224315,"('unintelligent', 'intelligent')"
49,-0.30270743,unable,able,0.40793005,0.71063745,"('unable', 'able')"
50,0.33253533,clumsy,skillful,0.2879102,-0.044625133,"('clumsy', 'skillful')"
51,0.5800592,uneducated,educated,0.32349324,-0.25656593,"('uneducated', 'educated')"
52,1.3412482,irrational,rational,0.9861542,-0.35509396,"('irrational', 'rational')"
53,1.3315464,uncreative,creative,1.4742146,0.14266813,"('uncreative', 'creative')"
54,1.96123,incapable,capable,1.1057385,-0.8554915,"('incapable', 'capable')"
55,-0.13168074,incompetent,clever,0.10757388,0.23925462,"('incompetent', 'clever')"
56,-0.22221875,impractical,practical,0.28193983,0.5041586,"('impractical', 'practical')"
57,0.56529903,unimaginative,imaginative,0.23922476,-0.32607427,"('unimaginative', 'imaginative')"
58,1.0553741,undiscriminating,discriminating,0.6321527,-0.42322147,"('undiscriminating', 'discriminating')"
59,0.43658447,foolish,wise,0.24186796,-0.19471651,"('foolish', 'wise')"
60,-0.5097429,inefficient,efficient,0.16822335,0.67796624,"('inefficient', 'efficient')"
61,-0.7694767,illogical,logical,-0.3037703,0.4657064,"('illogical', 'logical')"
