,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.1729099,-0.3907472,-0.5636571
1,"('unfriendly', 'friendly')",1.4495222,1.8096916,0.3601694
2,"('unlikable', 'likable')",0.7352491,-0.0157197,-0.7509688
3,"('repellent', 'pleasant')",0.2493522,0.353779,0.10442680000000001
4,"('disliked', 'liked')",-0.3827474,-0.0328637,0.3498837
5,"('distant', 'outgoing')",0.1373895,0.5195646,0.38217510000000005
6,"('distant', 'open')",0.3158204,0.7352934,0.419473
7,"('insensitive', 'sensitive')",0.9448054,1.2552958,0.31049040000000006
8,"('unaffectionate', 'affectionate')",0.9170246,1.4661623,0.5491377
9,"('unaffectionate', 'caring')",0.6706436,1.5163151,0.8456714999999999
10,"('unsympathetic', 'sympathetic')",1.0898479,0.7940257,-0.29582220000000015
11,"('unhelpful', 'helpful')",0.0221532,-0.1874898,-0.20964300000000002
12,"('unsupportive', 'supportive')",0.1728392,0.9818182,0.808979
13,"('impolite', 'polite')",0.1787127,0.0150255,-0.1636872
14,"('antisocial', 'social')",-0.5490807,0.0106482,0.5597289
15,"('boring', 'funny')",0.2123252,0.2182755,0.0059503000000000195
16,"('unpopular', 'popular')",0.2016517,-0.0318786,-0.2335303
17,"('nasty', 'nice')",-0.1454778,0.1869397,0.3324175
18,"('disagreeable', 'welcoming')",0.2321599,1.0228639,0.790704
19,"('inhospitable', 'hospitable')",0.177931,-0.1469233,-0.32485430000000004
20,"('rough', 'thoughtful')",-0.4722266,-0.4344031,0.03782350000000001
21,"('immoral', 'moral')",0.5201559,0.0814366,-0.43871930000000003
22,"('untrustworthy', 'trustworthy')",0.1001536,0.247211,0.1470574
23,"('insincere', 'sincere')",0.8922548,0.940427,0.0481722
24,"('dishonest', 'honest')",1.4169702,1.4361697,0.019199500000000036
25,"('egoistic', 'altruistic')",0.5589335,0.766424,0.20749050000000002
26,"('hardhearted', 'benevolent')",0.3254958,0.9771007,0.6516049
27,"('hardhearted', 'softhearted')",0.5090623,1.2276275,0.7185652000000001
28,"('disloyal', 'loyal')",0.3364265,0.0282851,-0.3081414
29,"('unfair', 'fair')",-1.6117041,-0.9519348,0.6597693000000001
30,"('intolerant', 'tolerant')",0.5362111,0.5231798,-0.013031300000000079
31,"('evil', 'good')",-0.3893847,-0.3788448,0.010539899999999991
32,"('unkind', 'kind')",1.7273053,1.7062423,-0.021063000000000054
33,"('wrong', 'right')",-0.2918668,0.4164922,0.708359
34,"('mean', 'honorable')",0.4471075,0.2181239,-0.22898359999999998
35,"('corrupt', 'incorrupt')",-0.9241625,-0.9161283,0.008034199999999991
36,"('hostile', 'amicable')",0.2086679,0.4886358,0.27996790000000005
37,"('fake', 'genuine')",0.7270868,0.6192342,-0.10785260000000008
38,"('untruthful', 'truthful')",0.0960039,0.1879182,0.0919143
39,"('exploitative', 'cooperative')",0.2508566,0.6277785,0.37692190000000003
40,"('stingy', 'generous')",0.5591116,0.181524,-0.3775876
41,"('unforgiving', 'forgiving')",0.6326021,0.3127417,-0.31986039999999993
42,"('unreliable', 'reliable')",0.2842561,0.6944615,0.41020539999999994
43,"('irresponsible', 'responsible')",0.7634757,1.0031116,0.2396359
44,"('prejudiced', 'unprejudiced')",-0.9495019,-1.2910105,-0.34150860000000005
45,"('incompetent', 'competent')",0.1897855,0.3562263,0.1664408
46,"('uncompetitive', 'competitive')",-0.2466475,-0.2281595,0.018488000000000004
47,"('stupid', 'smart')",0.7335266,0.3548722,-0.3786544
48,"('unintelligent', 'intelligent')",0.5387953,0.2846513,-0.254144
49,"('unable', 'able')",-0.5204189,0.2794377,0.7998566
50,"('clumsy', 'skillful')",0.3166064,0.2439293,-0.07267710000000002
51,"('uneducated', 'educated')",0.3455939,0.0666685,-0.2789254
52,"('irrational', 'rational')",0.4048032,0.3752366,-0.0295666
53,"('uncreative', 'creative')",0.8151886,1.0912004,0.2760117999999999
54,"('incapable', 'capable')",1.3995646,0.6973037,-0.7022609
55,"('incompetent', 'clever')",-0.0338008,0.2072571,0.2410579
56,"('impractical', 'practical')",0.4912821,0.9332048,0.44192269999999995
57,"('unimaginative', 'imaginative')",0.5202837,0.2421246,-0.2781591
58,"('undiscriminating', 'discriminating')",0.6335718,0.3590883,-0.2744835
59,"('foolish', 'wise')",0.2079389,0.1456044,-0.062334500000000015
60,"('inefficient', 'efficient')",-0.1897197,0.3697106,0.5594303
61,"('illogical', 'logical')",-0.5784366,-0.1764267,0.4020099
62,"('incompetent', 'brilliant')",0.1236332,0.2618575,0.13822430000000002
63,"('unperceptive', 'insightful')",0.7890609,0.6967018,-0.09235909999999992
64,"('shy', 'confident')",-0.794055,-1.3334466,-0.5393916000000001
65,"('insecure', 'secure')",0.1240891,-0.6764275,-0.8005165999999999
66,"('inactive', 'active')",-0.3017918,-0.3302981,-0.028506299999999984
67,"('doubtful', 'determined')",-0.8773723,-0.5396159,0.33775639999999996
68,"('dependent', 'independent')",-0.408691,-0.2874529,0.12123810000000002
69,"('lazy', 'industrious')",-1.1369421,-0.3887453,0.7481967999999999
70,"('lethargic', 'energetic')",0.7985169,1.0357316,0.2372147000000001
71,"('diffident', 'self-confident')",-0.373012,0.0330145,0.4060265
72,"('unambitious', 'ambitious')",0.9250862,0.4174145,-0.5076717
73,"('helpless', 'self-reliant')",0.6084767,0.4770919,-0.13138479999999997
74,"('undedicated', 'dedicated')",0.3698633,1.6554721,1.2856087999999999
75,"('meek', 'impulsive')",0.3082726,-0.5538929,-0.8621655
76,"('anxious', 'daring')",0.6660635,0.4804975,-0.185566
77,"('unmotivated', 'motivated')",-0.3888922,-0.8618546,-0.4729624
78,"('nonresilient', 'resilient')",-1.0970615,-0.4116268,0.6854346999999998
79,"('wavering', 'unwavering')",0.4736126,0.4230431,-0.05056949999999999
80,"('dominated', 'dominating')",-0.4410404,-0.9926654,-0.551625
81,"('submissive', 'aggressive')",1.0844019,-0.522958,-1.6073599
82,"('poor', 'rich')",1.2435119,0.572034,-0.6714778999999998
83,"('powerless', 'powerful')",-0.5716749,-0.4175656,0.1541093
84,"('inferior', 'superior')",-0.2454462,-0.5512997,-0.30585349999999994
85,"('insignificant', 'prestigious')",1.1127309,1.0935296,-0.019201299999999977
