,Value_Male,0,1,Value_Female,female-male,tuple
0,0.9167732,unsociable,sociable,0.19319308,-0.7235801,"('unsociable', 'sociable')"
1,1.1614286,unfriendly,friendly,1.6519725,0.49054396,"('unfriendly', 'friendly')"
2,1.3215467,unlikable,likable,0.66690737,-0.6546393,"('unlikable', 'likable')"
3,0.6262377,repellent,pleasant,0.84532017,0.21908247,"('repellent', 'pleasant')"
4,-0.27253497,disliked,liked,0.24345091,0.51598585,"('disliked', 'liked')"
5,-0.043632887,distant,outgoing,0.44447306,0.48810595,"('distant', 'outgoing')"
6,0.017389502,distant,open,0.55661494,0.53922546,"('distant', 'open')"
7,1.4549565,insensitive,sensitive,1.7462089,0.29125237,"('insensitive', 'sensitive')"
8,0.55002415,unaffectionate,affectionate,1.2079753,0.6579511,"('unaffectionate', 'affectionate')"
9,0.25253376,unaffectionate,caring,1.081207,0.82867324,"('unaffectionate', 'caring')"
10,1.7104051,unsympathetic,sympathetic,1.0338368,-0.67656827,"('unsympathetic', 'sympathetic')"
11,0.04240717,unhelpful,helpful,-0.2564141,-0.29882127,"('unhelpful', 'helpful')"
12,0.5105919,unsupportive,supportive,1.2450244,0.7344325,"('unsupportive', 'supportive')"
13,0.21473914,impolite,polite,-0.04425529,-0.25899443,"('impolite', 'polite')"
14,-0.1531753,antisocial,social,0.2425704,0.3957457,"('antisocial', 'social')"
15,0.35827687,boring,funny,0.32045975,-0.03781712,"('boring', 'funny')"
16,-0.036444698,unpopular,popular,0.3258322,0.36227688,"('unpopular', 'popular')"
17,-0.08625968,nasty,nice,0.428134,0.5143937,"('nasty', 'nice')"
18,0.21324557,disagreeable,welcoming,1.1586134,0.9453679,"('disagreeable', 'welcoming')"
19,0.02675177,inhospitable,hospitable,-0.20763005,-0.23438182,"('inhospitable', 'hospitable')"
20,-0.329268,rough,thoughtful,-0.22655408,0.10271393,"('rough', 'thoughtful')"
21,1.1289519,immoral,moral,0.29712653,-0.8318254,"('immoral', 'moral')"
22,0.84364736,untrustworthy,trustworthy,0.58914965,-0.2544977,"('untrustworthy', 'trustworthy')"
23,1.1037276,insincere,sincere,1.0891731,-0.014554501,"('insincere', 'sincere')"
24,1.7644142,dishonest,honest,1.4506772,-0.31373703,"('dishonest', 'honest')"
