,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.2501515,-0.3335691,-0.5837206
1,"('unfriendly', 'friendly')",1.5005289,1.83584,0.3353111
2,"('unlikable', 'likable')",0.9224327,0.2196754,-0.7027573
3,"('repellent', 'pleasant')",0.6974233,0.6995475,0.0021242000000000205
4,"('disliked', 'liked')",-0.3420601,0.0429796,0.3850397
5,"('distant', 'outgoing')",-0.2954106,0.2858021,0.5812127
6,"('distant', 'open')",-0.2044835,0.4717502,0.6762337
7,"('insensitive', 'sensitive')",1.4056175,1.5141097,0.10849219999999993
8,"('unaffectionate', 'affectionate')",0.9029561,1.4933056,0.5903495
9,"('unaffectionate', 'caring')",0.6496824,1.3888625,0.7391801000000001
10,"('unsympathetic', 'sympathetic')",1.3554152,0.8671042,-0.48831099999999994
11,"('unhelpful', 'helpful')",0.2589599,-0.0282122,-0.28717210000000004
12,"('unsupportive', 'supportive')",0.3414679,1.0151107,0.6736427999999999
13,"('impolite', 'polite')",0.2122044,-0.0439914,-0.2561958
14,"('antisocial', 'social')",-0.5905745,-0.0130131,0.5775614
15,"('boring', 'funny')",0.489271,0.3269599,-0.16231109999999999
16,"('unpopular', 'popular')",0.649039,0.363474,-0.285565
17,"('nasty', 'nice')",-0.0113887,0.3880314,0.3994201
18,"('disagreeable', 'welcoming')",0.3308322,1.2630258,0.9321936000000001
19,"('inhospitable', 'hospitable')",0.1984116,-0.1244023,-0.3228139
20,"('rough', 'thoughtful')",-0.3154735,-0.3887634,-0.07328989999999996
21,"('immoral', 'moral')",0.9290976,0.2873879,-0.6417097
22,"('untrustworthy', 'trustworthy')",0.3269918,0.351745,0.024753199999999975
23,"('insincere', 'sincere')",1.2220947,1.1930798,-0.029014899999999955
24,"('dishonest', 'honest')",1.4569557,1.4406589,-0.01629679999999989
25,"('egoistic', 'altruistic')",0.7589049,0.9339727,0.1750678
26,"('hardhearted', 'benevolent')",0.3919347,1.0730135,0.6810788000000001
27,"('hardhearted', 'softhearted')",0.5107242,1.2842296,0.7735054
28,"('disloyal', 'loyal')",0.2706927,0.0052492,-0.2654435
29,"('unfair', 'fair')",-1.5221033,-0.9567311,0.5653722
30,"('intolerant', 'tolerant')",0.5209847,0.6768214,0.15583670000000005
31,"('evil', 'good')",-0.6250536,-0.4679254,0.1571282
32,"('unkind', 'kind')",2.1262823,1.9495509,-0.1767314000000002
33,"('wrong', 'right')",-0.3481923,0.3725683,0.7207606
34,"('mean', 'honorable')",0.6153705,0.3969206,-0.21844990000000003
35,"('corrupt', 'incorrupt')",-1.2352682,-1.1024414,0.1328267999999999
36,"('hostile', 'amicable')",0.381899,0.7284794,0.3465804
37,"('fake', 'genuine')",0.4299004,0.3262191,-0.10368130000000003
38,"('untruthful', 'truthful')",0.1484129,0.1583919,0.009979000000000016
39,"('exploitative', 'cooperative')",0.2463036,0.6470804,0.4007768
40,"('stingy', 'generous')",0.3511404,0.1492198,-0.2019206
41,"('unforgiving', 'forgiving')",0.6871358,0.3725584,-0.31457739999999995
42,"('unreliable', 'reliable')",0.2386665,0.6730382,0.4343717
43,"('irresponsible', 'responsible')",0.8470557,1.0672596,0.22020390000000012
44,"('prejudiced', 'unprejudiced')",-0.8589985,-1.2034617,-0.3444632000000001
45,"('incompetent', 'competent')",0.4702651,0.5146877,0.04442259999999998
46,"('uncompetitive', 'competitive')",-0.0279328,-0.0725099,-0.0445771
47,"('stupid', 'smart')",0.7287003,0.4231077,-0.3055926
48,"('unintelligent', 'intelligent')",1.009463,0.4895704,-0.5198925999999999
49,"('unable', 'able')",-0.1977871,0.511991,0.7097781
50,"('clumsy', 'skillful')",0.5267128,0.3720791,-0.15463369999999999
51,"('uneducated', 'educated')",0.3569804,0.0283715,-0.3286089
52,"('irrational', 'rational')",0.1017771,0.2118947,0.1101176
53,"('uncreative', 'creative')",1.0960485,1.3752724,0.2792239000000001
54,"('incapable', 'capable')",1.8982376,1.091781,-0.8064566000000002
55,"('incompetent', 'clever')",0.2225984,0.4061251,0.18352670000000001
56,"('impractical', 'practical')",0.4678941,0.8325507,0.3646566
57,"('unimaginative', 'imaginative')",0.8127248,0.4213215,-0.3914033
58,"('undiscriminating', 'discriminating')",0.4379008,0.237351,-0.20054979999999997
