,Value_Male,0,1,Value_Female,female-male,tuple
0,-0.28428498,unsociable,sociable,-0.6848213,-0.40053633,"('unsociable', 'sociable')"
1,1.9985242,unfriendly,friendly,2.0650752,0.06655097,"('unfriendly', 'friendly')"
2,0.5923704,unlikable,likable,0.070423,-0.5219474,"('unlikable', 'likable')"
3,-0.11955722,repellent,pleasant,0.276913,0.3964702,"('repellent', 'pleasant')"
4,-0.21486917,disliked,liked,-0.12882018,0.08604899,"('disliked', 'liked')"
5,0.8512527,distant,outgoing,0.8424006,-0.008852065,"('distant', 'outgoing')"
6,1.1547451,distant,open,1.0509496,-0.10379553,"('distant', 'open')"
7,1.074423,insensitive,sensitive,1.3435762,0.26915324,"('insensitive', 'sensitive')"
8,1.6307492,unaffectionate,affectionate,1.9284086,0.2976594,"('unaffectionate', 'affectionate')"
9,1.2161212,unaffectionate,caring,1.8189996,0.60287845,"('unaffectionate', 'caring')"
10,0.4263238,unsympathetic,sympathetic,0.32947102,-0.09685278,"('unsympathetic', 'sympathetic')"
11,-0.41183534,unhelpful,helpful,-0.52188927,-0.11005393,"('unhelpful', 'helpful')"
12,0.21384291,unsupportive,supportive,0.95001113,0.7361682,"('unsupportive', 'supportive')"
13,-0.31360227,impolite,polite,-0.20661451,0.10698776,"('impolite', 'polite')"
14,-0.6719689,antisocial,social,0.028440548,0.7004094,"('antisocial', 'social')"
15,0.31724393,boring,funny,0.38775194,0.070508,"('boring', 'funny')"
16,-0.048337124,unpopular,popular,-0.26503026,-0.21669313,"('unpopular', 'popular')"
17,-0.021910852,nasty,nice,0.18273754,0.20464839,"('nasty', 'nice')"
18,0.3582582,disagreeable,welcoming,1.1458888,0.7876306,"('disagreeable', 'welcoming')"
19,0.5686823,inhospitable,hospitable,0.016870037,-0.5518123,"('inhospitable', 'hospitable')"
20,-0.3135601,rough,thoughtful,-0.19054401,0.12301609,"('rough', 'thoughtful')"
21,-0.09617368,immoral,moral,-0.13155456,-0.035380878,"('immoral', 'moral')"
22,0.03470761,untrustworthy,trustworthy,0.46430078,0.42959318,"('untrustworthy', 'trustworthy')"
23,0.64455944,insincere,sincere,0.8743312,0.22977173,"('insincere', 'sincere')"
24,1.6477817,dishonest,honest,1.6032876,-0.044494152,"('dishonest', 'honest')"
25,1.3856227,egoistic,altruistic,1.4280822,0.042459488,"('egoistic', 'altruistic')"
26,0.69544995,hardhearted,benevolent,1.2465131,0.5510632,"('hardhearted', 'benevolent')"
27,0.8816093,hardhearted,softhearted,1.4609065,0.5792972,"('hardhearted', 'softhearted')"
28,0.7139145,disloyal,loyal,0.25888774,-0.45502678,"('disloyal', 'loyal')"
29,-1.1894184,unfair,fair,-0.56125116,0.6281673,"('unfair', 'fair')"
30,-0.076261595,intolerant,tolerant,0.16869736,0.24495895,"('intolerant', 'tolerant')"
31,0.36155328,evil,good,0.0033964831,-0.3581568,"('evil', 'good')"
32,1.3230402,unkind,kind,1.5108815,0.1878413,"('unkind', 'kind')"
33,0.01304023,wrong,right,0.5937507,0.5807105,"('wrong', 'right')"
34,0.45367825,mean,honorable,0.18067941,-0.27299884,"('mean', 'honorable')"
35,-0.09274836,corrupt,incorrupt,-0.44687495,-0.35412657,"('corrupt', 'incorrupt')"
36,0.9385629,hostile,amicable,0.7197261,-0.21883684,"('hostile', 'amicable')"
37,1.2838277,fake,genuine,0.94252264,-0.34130502,"('fake', 'genuine')"
38,0.2046336,untruthful,truthful,0.09309299,-0.1115406,"('untruthful', 'truthful')"
39,0.40238675,exploitative,cooperative,0.785288,0.38290122,"('exploitative', 'cooperative')"
40,1.1056024,stingy,generous,0.78649586,-0.31910652,"('stingy', 'generous')"
41,0.59969914,unforgiving,forgiving,0.30047143,-0.2992277,"('unforgiving', 'forgiving')"
42,-0.42111093,unreliable,reliable,0.10137084,0.5224818,"('unreliable', 'reliable')"
43,0.3395262,irresponsible,responsible,0.6850193,0.3454931,"('irresponsible', 'responsible')"
44,-1.0370781,prejudiced,unprejudiced,-1.3022944,-0.26521623,"('prejudiced', 'unprejudiced')"
45,0.019426752,incompetent,competent,0.12516703,0.10574028,"('incompetent', 'competent')"
46,-0.99291945,uncompetitive,competitive,-0.7309647,0.26195472,"('uncompetitive', 'competitive')"
47,0.39174074,stupid,smart,0.33768305,-0.054057688,"('stupid', 'smart')"
48,0.20335828,unintelligent,intelligent,0.24486528,0.041507006,"('unintelligent', 'intelligent')"
49,-0.783165,unable,able,0.10404375,0.8872087,"('unable', 'able')"
50,0.22784874,clumsy,skillful,0.06142625,-0.16642249,"('clumsy', 'skillful')"
51,0.17015663,uneducated,educated,-0.023844697,-0.19400132,"('uneducated', 'educated')"
52,1.1134489,irrational,rational,0.7922555,-0.32119334,"('irrational', 'rational')"
53,1.0019307,uncreative,creative,1.2727276,0.2707969,"('uncreative', 'creative')"
54,1.5094346,incapable,capable,0.8387606,-0.67067397,"('incapable', 'capable')"
55,-0.3673889,incompetent,clever,0.08340371,0.4507926,"('incompetent', 'clever')"
56,-0.41224226,impractical,practical,0.23988861,0.65213084,"('impractical', 'practical')"
57,0.51123977,unimaginative,imaginative,0.26332977,-0.24791,"('unimaginative', 'imaginative')"
58,0.7587754,undiscriminating,discriminating,0.3534218,-0.4053536,"('undiscriminating', 'discriminating')"
59,0.3255167,foolish,wise,0.20696492,-0.118551776,"('foolish', 'wise')"
60,-0.60996,inefficient,efficient,0.22832227,0.8382823,"('inefficient', 'efficient')"
61,-0.91874725,illogical,logical,-0.334127,0.58462024,"('illogical', 'logical')"
62,-0.22961137,incompetent,brilliant,0.13472311,0.36433446,"('incompetent', 'brilliant')"
63,0.4802235,unperceptive,insightful,0.3393392,-0.14088431,"('unperceptive', 'insightful')"
64,-0.76014966,shy,confident,-1.2379608,-0.47781116,"('shy', 'confident')"
65,-0.3361624,insecure,secure,-0.7362334,-0.40007102,"('insecure', 'secure')"
66,-0.022883035,inactive,active,-0.29730293,-0.2744199,"('inactive', 'active')"
67,-1.1564405,doubtful,determined,-0.8205005,0.33594,"('doubtful', 'determined')"
