,Value_Male,0,1,Value_Female,female-male,tuple
0,1.169252,unsociable,sociable,0.28272566,-0.88652635,"('unsociable', 'sociable')"
1,1.7613106,unfriendly,friendly,2.1823895,0.42107892,"('unfriendly', 'friendly')"
2,1.4279635,unlikable,likable,0.513253,-0.9147105,"('unlikable', 'likable')"
3,0.78302777,repellent,pleasant,1.2153922,0.43236446,"('repellent', 'pleasant')"
4,-0.042529743,disliked,liked,0.53097105,0.5735008,"('disliked', 'liked')"
5,-0.031499512,distant,outgoing,0.44228083,0.47378033,"('distant', 'outgoing')"
6,-0.3532241,distant,open,0.23990023,0.59312433,"('distant', 'open')"
7,2.5797963,insensitive,sensitive,2.7051134,0.1253171,"('insensitive', 'sensitive')"
8,1.0651382,unaffectionate,affectionate,1.5566928,0.49155462,"('unaffectionate', 'affectionate')"
9,0.7899619,unaffectionate,caring,1.4084067,0.61844486,"('unaffectionate', 'caring')"
10,2.3270805,unsympathetic,sympathetic,1.552655,-0.7744255,"('unsympathetic', 'sympathetic')"
11,0.48379433,unhelpful,helpful,0.044010915,-0.43978342,"('unhelpful', 'helpful')"
12,1.0512902,unsupportive,supportive,1.6423411,0.591051,"('unsupportive', 'supportive')"
13,0.8293834,impolite,polite,0.40366402,-0.42571935,"('impolite', 'polite')"
14,-0.27312654,antisocial,social,-0.036177687,0.23694885,"('antisocial', 'social')"
15,0.26410213,boring,funny,0.15067741,-0.11342472,"('boring', 'funny')"
16,0.39131153,unpopular,popular,0.47372848,0.08241695,"('unpopular', 'popular')"
17,-0.20361784,nasty,nice,0.26307303,0.46669087,"('nasty', 'nice')"
18,0.3365619,disagreeable,welcoming,1.2015046,0.86494267,"('disagreeable', 'welcoming')"
19,0.20188454,inhospitable,hospitable,0.029866591,-0.17201795,"('inhospitable', 'hospitable')"
20,-0.25194812,rough,thoughtful,-0.06388606,0.18806206,"('rough', 'thoughtful')"
21,1.7166029,immoral,moral,0.64100146,-1.0756015,"('immoral', 'moral')"
