,Value_Male,0,1,Value_Female,female-male,tuple
0,0.47191674,unsociable,sociable,-0.39085102,-0.86276776,"('unsociable', 'sociable')"
1,1.3865854,unfriendly,friendly,1.8954909,0.50890553,"('unfriendly', 'friendly')"
2,0.85504156,unlikable,likable,0.036392912,-0.81864864,"('unlikable', 'likable')"
3,0.1430736,repellent,pleasant,0.24647382,0.103400216,"('repellent', 'pleasant')"
4,-0.14624818,disliked,liked,0.24320577,0.38945395,"('disliked', 'liked')"
5,0.3150954,distant,outgoing,0.7282836,0.4131882,"('distant', 'outgoing')"
6,0.90721726,distant,open,1.1775353,0.27031803,"('distant', 'open')"
7,1.4380811,insensitive,sensitive,1.6070992,0.16901803,"('insensitive', 'sensitive')"
8,0.617347,unaffectionate,affectionate,1.4323571,0.8150101,"('unaffectionate', 'affectionate')"
9,0.7388347,unaffectionate,caring,1.7285138,0.98967916,"('unaffectionate', 'caring')"
10,1.6427765,unsympathetic,sympathetic,1.1359924,-0.5067841,"('unsympathetic', 'sympathetic')"
11,-0.2535953,unhelpful,helpful,-0.4481247,-0.19452941,"('unhelpful', 'helpful')"
12,0.07627094,unsupportive,supportive,0.88053465,0.8042637,"('unsupportive', 'supportive')"
13,-0.06901015,impolite,polite,-0.2925807,-0.22357054,"('impolite', 'polite')"
14,-0.25950855,antisocial,social,0.11547383,0.3749824,"('antisocial', 'social')"
15,0.7172184,boring,funny,0.528552,-0.1886664,"('boring', 'funny')"
16,0.83818305,unpopular,popular,0.34305114,-0.4951319,"('unpopular', 'popular')"
17,0.23445794,nasty,nice,0.4316798,0.19722185,"('nasty', 'nice')"
18,0.43339497,disagreeable,welcoming,1.0711151,0.63772017,"('disagreeable', 'welcoming')"
19,0.24739785,inhospitable,hospitable,-0.095639996,-0.34303784,"('inhospitable', 'hospitable')"
20,0.056020096,rough,thoughtful,0.07518986,0.019169763,"('rough', 'thoughtful')"
21,0.6181445,immoral,moral,0.10630234,-0.5118422,"('immoral', 'moral')"
22,0.65733856,untrustworthy,trustworthy,0.6011335,-0.056205034,"('untrustworthy', 'trustworthy')"
23,0.9666917,insincere,sincere,0.8519653,-0.114726365,"('insincere', 'sincere')"
24,1.7501518,dishonest,honest,1.851366,0.10121429,"('dishonest', 'honest')"
25,0.46102652,egoistic,altruistic,0.8725356,0.41150907,"('egoistic', 'altruistic')"
26,0.05776479,hardhearted,benevolent,0.6127338,0.554969,"('hardhearted', 'benevolent')"
27,0.75798684,hardhearted,softhearted,1.4571508,0.699164,"('hardhearted', 'softhearted')"
28,0.46711287,disloyal,loyal,0.20259902,-0.26451385,"('disloyal', 'loyal')"
29,-1.0789125,unfair,fair,-0.5215877,0.55732477,"('unfair', 'fair')"
30,0.36532685,intolerant,tolerant,0.26670814,-0.098618716,"('intolerant', 'tolerant')"
31,-0.24888435,evil,good,-0.23629585,0.012588501,"('evil', 'good')"
32,1.4295431,unkind,kind,1.4634051,0.033861995,"('unkind', 'kind')"
33,-0.3000163,wrong,right,0.49877077,0.7987871,"('wrong', 'right')"
34,0.55687463,mean,honorable,0.13136423,-0.4255104,"('mean', 'honorable')"
35,-0.19069645,corrupt,incorrupt,-0.070189975,0.12050647,"('corrupt', 'incorrupt')"
36,0.5890646,hostile,amicable,0.9740744,0.38500983,"('hostile', 'amicable')"
37,0.6783315,fake,genuine,0.8154249,0.13709342,"('fake', 'genuine')"
38,0.25837636,untruthful,truthful,0.22579084,-0.032585517,"('untruthful', 'truthful')"
