,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.8778769,0.0220015,-0.8558754
1,"('unfriendly', 'friendly')",1.7480163,2.120201,0.3721846999999998
2,"('unlikable', 'likable')",1.0480669,0.2951244,-0.7529425000000001
3,"('repellent', 'pleasant')",0.3693895,0.744022,0.3746325
4,"('disliked', 'liked')",-0.1442201,0.2008376,0.3450577
5,"('distant', 'outgoing')",0.5598601,0.7439917,0.18413160000000006
6,"('distant', 'open')",0.6204779,0.8993256,0.2788476999999999
7,"('insensitive', 'sensitive')",1.6124609,1.8083102,0.1958492999999999
8,"('unaffectionate', 'affectionate')",0.799285,1.4089426,0.6096576
9,"('unaffectionate', 'caring')",0.8113033,1.5711144,0.7598111
10,"('unsympathetic', 'sympathetic')",1.7028006,1.141372,-0.5614285999999999
11,"('unhelpful', 'helpful')",0.0716793,-0.2048876,-0.2765669
12,"('unsupportive', 'supportive')",0.386458,1.0579922,0.6715342
13,"('impolite', 'polite')",0.423026,0.1653365,-0.2576895
14,"('antisocial', 'social')",-0.4983174,-0.2552764,0.243041
15,"('boring', 'funny')",0.6796095,0.5239807,-0.1556288
16,"('unpopular', 'popular')",0.1785004,0.1104431,-0.0680573
17,"('nasty', 'nice')",0.1837643,0.4324777,0.24871340000000003
18,"('disagreeable', 'welcoming')",0.2575282,1.0565774,0.7990492000000001
19,"('inhospitable', 'hospitable')",0.3653556,0.1224552,-0.24290040000000002
20,"('rough', 'thoughtful')",-0.0753203,-0.0296566,0.0456637
21,"('immoral', 'moral')",0.8696638,0.2451003,-0.6245635
22,"('untrustworthy', 'trustworthy')",0.5146558,0.4588042,-0.0558516
23,"('insincere', 'sincere')",1.140442,1.0956191,-0.0448229
24,"('dishonest', 'honest')",1.7601052,1.6711198,-0.08898539999999988
25,"('egoistic', 'altruistic')",0.478552,0.7895934,0.3110414
26,"('hardhearted', 'benevolent')",0.2285398,0.6208091,0.39226930000000004
27,"('hardhearted', 'softhearted')",1.0925086,1.8868731,0.7943645000000001
28,"('disloyal', 'loyal')",0.7334304,0.3682059,-0.36522450000000006
29,"('unfair', 'fair')",-0.9925836,-0.3386367,0.6539469
30,"('intolerant', 'tolerant')",0.7397621,0.6198949,-0.11986719999999995
31,"('evil', 'good')",-0.3883197,-0.4227816,-0.03446189999999999
32,"('unkind', 'kind')",1.8661447,1.716352,-0.1497926999999999
33,"('wrong', 'right')",-0.3516544,0.4427535,0.7944079
34,"('mean', 'honorable')",0.5691776,0.243445,-0.3257325999999999
35,"('corrupt', 'incorrupt')",-1.1411501,-0.8916674,0.24948269999999995
36,"('hostile', 'amicable')",0.4286963,0.9282887,0.4995924
37,"('fake', 'genuine')",0.9006611,0.7983007,-0.10236040000000002
38,"('untruthful', 'truthful')",-0.0546112,-0.0177863,0.036824899999999994
39,"('exploitative', 'cooperative')",-0.2412299,0.2485645,0.48979439999999996
40,"('stingy', 'generous')",1.0858236,0.7826662,-0.30315740000000013
41,"('unforgiving', 'forgiving')",1.0954758,0.5427673,-0.5527085
42,"('unreliable', 'reliable')",0.464173,0.7934542,0.3292812
43,"('irresponsible', 'responsible')",0.9683591,1.001938,0.03357889999999997
44,"('prejudiced', 'unprejudiced')",-0.9387761,-1.2543094,-0.3155332999999999
45,"('incompetent', 'competent')",0.9921701,0.8277179,-0.16445220000000005
46,"('uncompetitive', 'competitive')",0.3278058,0.2177752,-0.11003059999999998
47,"('stupid', 'smart')",0.9624713,0.5262026,-0.43626870000000006
48,"('unintelligent', 'intelligent')",1.144908,0.755873,-0.389035
49,"('unable', 'able')",0.1384304,0.9914264,0.8529960000000001
50,"('clumsy', 'skillful')",0.2858913,0.4316229,0.14573159999999996
51,"('uneducated', 'educated')",0.3834513,0.1420264,-0.2414249
52,"('irrational', 'rational')",-0.1984155,-0.0733286,0.1250869
53,"('uncreative', 'creative')",0.628242,1.1167508,0.48850879999999997
54,"('incapable', 'capable')",1.4180755,0.879275,-0.5388005
55,"('incompetent', 'clever')",0.4582349,0.396636,-0.06159890000000001
56,"('impractical', 'practical')",0.6676178,0.7570178,0.08939999999999992
57,"('unimaginative', 'imaginative')",0.8217926,0.5301743,-0.2916183
58,"('undiscriminating', 'discriminating')",0.9850645,0.7032977,-0.2817668
59,"('foolish', 'wise')",0.085684,0.2001604,0.11447639999999999
60,"('inefficient', 'efficient')",-0.0114912,0.2411964,0.2526876
61,"('illogical', 'logical')",0.1130553,0.4416286,0.32857329999999996
62,"('incompetent', 'brilliant')",0.6315642,0.5942706,-0.03729360000000004
63,"('unperceptive', 'insightful')",0.9729728,0.8219491,-0.15102369999999998
64,"('shy', 'confident')",-0.9649714,-1.5420176,-0.5770462000000001
65,"('insecure', 'secure')",0.3468771,-0.4996957,-0.8465728
66,"('inactive', 'active')",-0.1908479,-0.1415242,0.0493237
67,"('doubtful', 'determined')",-1.0678051,-0.9844363,0.08336879999999991
68,"('dependent', 'independent')",-0.1596005,0.0562522,0.2158527
69,"('lazy', 'industrious')",-1.3263658,-0.6262599,0.7001059000000001
70,"('lethargic', 'energetic')",1.307157,1.4327191,0.1255621
71,"('diffident', 'self-confident')",0.0664249,0.2252861,0.15886119999999998
72,"('unambitious', 'ambitious')",0.9592828,0.2884046,-0.6708782
73,"('helpless', 'self-reliant')",0.3476451,0.4021691,0.05452400000000002
74,"('undedicated', 'dedicated')",0.7031151,1.7245136,1.0213985
75,"('meek', 'impulsive')",0.3333591,-0.2695569,-0.602916
76,"('anxious', 'daring')",0.5609199,0.4184042,-0.14251570000000002
77,"('unmotivated', 'motivated')",-0.2608492,-0.8010152,-0.540166
78,"('nonresilient', 'resilient')",-0.7983824,-0.3438549,0.45452750000000003
79,"('wavering', 'unwavering')",0.3941893,0.4096625,0.015473199999999965
80,"('dominated', 'dominating')",-0.6074892,-1.2075019,-0.6000127000000001
81,"('submissive', 'aggressive')",1.0796825,-0.5330288,-1.6127113
82,"('poor', 'rich')",1.8222231,1.1081776,-0.7140454999999999
83,"('powerless', 'powerful')",-0.5761612,-0.5247048,0.05145640000000007
84,"('inferior', 'superior')",0.1370593,-0.1625515,-0.29961079999999995
85,"('insignificant', 'prestigious')",0.4161505,0.7218912,0.3057407
86,"('uninfluential', 'influential')",0.4040068,0.5926269,0.18862009999999996
87,"('unsuccessful', 'successful')",0.0661356,-0.3495398,-0.41567540000000003
88,"('low', 'eminent')",1.1060504,1.099942,-0.006108400000000014
