,Value_Male,0,1,Value_Female,female-male,tuple
0,0.7009063,unsociable,sociable,-0.10405475,-0.804961,"('unsociable', 'sociable')"
1,1.3500175,unfriendly,friendly,1.7964314,0.44641387,"('unfriendly', 'friendly')"
2,1.012587,unlikable,likable,0.2155277,-0.79705924,"('unlikable', 'likable')"
3,0.30502993,repellent,pleasant,0.39928868,0.094258755,"('repellent', 'pleasant')"
4,-0.29692847,disliked,liked,0.09148277,0.38841122,"('disliked', 'liked')"
5,0.16322163,distant,outgoing,0.46868584,0.3054642,"('distant', 'outgoing')"
6,0.63463175,distant,open,0.8295306,0.19489884,"('distant', 'open')"
7,1.7294006,insensitive,sensitive,1.8585898,0.12918913,"('insensitive', 'sensitive')"
8,0.628351,unaffectionate,affectionate,1.3897796,0.7614286,"('unaffectionate', 'affectionate')"
9,0.6952595,unaffectionate,caring,1.622798,0.92753845,"('unaffectionate', 'caring')"
10,1.914143,unsympathetic,sympathetic,1.3680271,-0.5461159,"('unsympathetic', 'sympathetic')"
11,-0.13854279,unhelpful,helpful,-0.33360738,-0.19506459,"('unhelpful', 'helpful')"
12,0.16020802,unsupportive,supportive,0.8709821,0.71077406,"('unsupportive', 'supportive')"
13,0.254274,impolite,polite,0.042208754,-0.21206525,"('impolite', 'polite')"
14,-0.012163997,antisocial,social,0.3869042,0.3990682,"('antisocial', 'social')"
15,0.72215265,boring,funny,0.5388188,-0.18333387,"('boring', 'funny')"
16,0.6541121,unpopular,popular,0.20589852,-0.44821358,"('unpopular', 'popular')"
17,0.16923068,nasty,nice,0.34759957,0.17836888,"('nasty', 'nice')"
18,0.4615363,disagreeable,welcoming,1.1068859,0.6453496,"('disagreeable', 'welcoming')"
19,0.092298,inhospitable,hospitable,-0.26941776,-0.36171576,"('inhospitable', 'hospitable')"
20,-0.03736633,rough,thoughtful,-0.014730262,0.022636069,"('rough', 'thoughtful')"
21,0.8916825,immoral,moral,0.3457843,-0.5458982,"('immoral', 'moral')"
22,0.6476724,untrustworthy,trustworthy,0.6016857,-0.045986712,"('untrustworthy', 'trustworthy')"
23,1.137203,insincere,sincere,1.0150819,-0.122121096,"('insincere', 'sincere')"
24,1.8667763,dishonest,honest,1.9172208,0.050444484,"('dishonest', 'honest')"
25,0.34558773,egoistic,altruistic,0.7737447,0.42815697,"('egoistic', 'altruistic')"
26,0.064845085,hardhearted,benevolent,0.6523821,0.587537,"('hardhearted', 'benevolent')"
27,0.768715,hardhearted,softhearted,1.4634227,0.69470763,"('hardhearted', 'softhearted')"
28,0.48893446,disloyal,loyal,0.22791722,-0.26101723,"('disloyal', 'loyal')"
29,-1.1573297,unfair,fair,-0.6167134,0.5406163,"('unfair', 'fair')"
30,0.5722535,intolerant,tolerant,0.5052955,-0.06695801,"('intolerant', 'tolerant')"
31,-0.47854397,evil,good,-0.56338656,-0.08484259,"('evil', 'good')"
32,1.6833012,unkind,kind,1.6430233,-0.040277958,"('unkind', 'kind')"
33,-0.4260556,wrong,right,0.36454928,0.7906049,"('wrong', 'right')"
34,0.5649895,mean,honorable,0.19847348,-0.36651602,"('mean', 'honorable')"
35,-0.6441952,corrupt,incorrupt,-0.57436377,0.06983143,"('corrupt', 'incorrupt')"
36,0.2246773,hostile,amicable,0.6468512,0.4221739,"('hostile', 'amicable')"
37,0.8203554,fake,genuine,0.8596043,0.039248884,"('fake', 'genuine')"
38,0.18063448,untruthful,truthful,0.13306294,-0.04757154,"('untruthful', 'truthful')"
39,0.37430328,exploitative,cooperative,0.8018313,0.42752802,"('exploitative', 'cooperative')"
40,0.8005187,stingy,generous,0.5308476,-0.26967108,"('stingy', 'generous')"
41,0.82180786,unforgiving,forgiving,0.39842784,-0.42338002,"('unforgiving', 'forgiving')"
42,0.7275409,unreliable,reliable,0.96386796,0.23632705,"('unreliable', 'reliable')"
43,1.0340042,irresponsible,responsible,1.0845325,0.050528288,"('irresponsible', 'responsible')"
44,-0.8831676,prejudiced,unprejudiced,-0.98235863,-0.09919101,"('prejudiced', 'unprejudiced')"
45,0.63976336,incompetent,competent,0.5294448,-0.11031854,"('incompetent', 'competent')"
46,0.5349635,uncompetitive,competitive,0.2754729,-0.25949058,"('uncompetitive', 'competitive')"
47,0.8145077,stupid,smart,0.39876458,-0.41574314,"('stupid', 'smart')"
48,1.1525701,unintelligent,intelligent,0.7489598,-0.40361035,"('unintelligent', 'intelligent')"
49,-0.10068322,unable,able,0.60323465,0.70391786,"('unable', 'able')"
50,0.48294473,clumsy,skillful,0.33012524,-0.15281948,"('clumsy', 'skillful')"
51,0.441501,uneducated,educated,0.13627125,-0.30522972,"('uneducated', 'educated')"
52,-0.16896906,irrational,rational,0.09359214,0.2625612,"('irrational', 'rational')"
53,0.7896575,uncreative,creative,1.0276681,0.23801064,"('uncreative', 'creative')"
54,1.5171257,incapable,capable,0.8832672,-0.6338585,"('incapable', 'capable')"
55,0.61476135,incompetent,clever,0.64337254,0.028611183,"('incompetent', 'clever')"
56,0.8889055,impractical,practical,0.9840643,0.095158756,"('impractical', 'practical')"
57,1.1259875,unimaginative,imaginative,0.75370383,-0.3722837,"('unimaginative', 'imaginative')"
58,1.1316961,undiscriminating,discriminating,0.759367,-0.37232912,"('undiscriminating', 'discriminating')"
59,-0.012717929,foolish,wise,-0.0070443293,0.0056735994,"('foolish', 'wise')"
60,0.037685316,inefficient,efficient,0.4380065,0.4003212,"('inefficient', 'efficient')"
61,-0.092053406,illogical,logical,0.15244672,0.24450013,"('illogical', 'logical')"
62,0.48779202,incompetent,brilliant,0.44107708,-0.04671493,"('incompetent', 'brilliant')"
63,0.9783328,unperceptive,insightful,0.72756636,-0.25076646,"('unperceptive', 'insightful')"
