,Value_Male,0,1,Value_Female,female-male,tuple
0,0.39224303,unsociable,sociable,-0.36033615,-0.7525792,"('unsociable', 'sociable')"
1,1.4027679,unfriendly,friendly,1.9954937,0.59272575,"('unfriendly', 'friendly')"
2,1.0609545,unlikable,likable,0.19818598,-0.8627685,"('unlikable', 'likable')"
3,0.1526277,repellent,pleasant,0.25134045,0.09871274,"('repellent', 'pleasant')"
4,-0.07914456,disliked,liked,0.3659652,0.44510975,"('disliked', 'liked')"
5,0.42672807,distant,outgoing,0.87116176,0.4444337,"('distant', 'outgoing')"
6,0.9555615,distant,open,1.2917157,0.33615422,"('distant', 'open')"
7,1.3156791,insensitive,sensitive,1.3580506,0.04237151,"('insensitive', 'sensitive')"
8,0.67781454,unaffectionate,affectionate,1.4253249,0.7475104,"('unaffectionate', 'affectionate')"
9,0.80418473,unaffectionate,caring,1.6807808,0.87659603,"('unaffectionate', 'caring')"
10,1.4534752,unsympathetic,sympathetic,0.84008026,-0.613395,"('unsympathetic', 'sympathetic')"
11,-0.22105223,unhelpful,helpful,-0.5296583,-0.3086061,"('unhelpful', 'helpful')"
12,0.062436685,unsupportive,supportive,0.86053205,0.79809535,"('unsupportive', 'supportive')"
13,-0.123681694,impolite,polite,-0.4059626,-0.2822809,"('impolite', 'polite')"
14,-0.42167407,antisocial,social,0.002082426,0.4237565,"('antisocial', 'social')"
15,0.86189836,boring,funny,0.55651677,-0.3053816,"('boring', 'funny')"
16,0.82422054,unpopular,popular,0.39113843,-0.4330821,"('unpopular', 'popular')"
17,0.22593768,nasty,nice,0.41476142,0.18882374,"('nasty', 'nice')"
18,0.57781816,disagreeable,welcoming,1.220436,0.6426178,"('disagreeable', 'welcoming')"
19,0.46259466,inhospitable,hospitable,0.043894585,-0.41870007,"('inhospitable', 'hospitable')"
20,-0.14546289,rough,thoughtful,-0.10229559,0.043167293,"('rough', 'thoughtful')"
21,0.54994243,immoral,moral,0.04386323,-0.5060792,"('immoral', 'moral')"
22,0.3425248,untrustworthy,trustworthy,0.4324461,0.089921296,"('untrustworthy', 'trustworthy')"
23,0.9752335,insincere,sincere,0.8214657,-0.15376782,"('insincere', 'sincere')"
24,1.6053231,dishonest,honest,1.701204,0.095880866,"('dishonest', 'honest')"
25,0.72901237,egoistic,altruistic,1.0465782,0.3175658,"('egoistic', 'altruistic')"
26,0.06391283,hardhearted,benevolent,0.67511356,0.61120075,"('hardhearted', 'benevolent')"
27,0.7921733,hardhearted,softhearted,1.3723059,0.58013254,"('hardhearted', 'softhearted')"
28,0.33713597,disloyal,loyal,0.13035117,-0.2067848,"('disloyal', 'loyal')"
29,-1.2691214,unfair,fair,-0.6066252,0.6624962,"('unfair', 'fair')"
30,0.56954515,intolerant,tolerant,0.46869254,-0.10085261,"('intolerant', 'tolerant')"
31,-0.08593422,evil,good,0.07438036,0.16031459,"('evil', 'good')"
32,1.5551435,unkind,kind,1.4980127,-0.057130814,"('unkind', 'kind')"
33,-0.32453647,wrong,right,0.44797823,0.7725147,"('wrong', 'right')"
34,0.6046504,mean,honorable,0.16497791,-0.43967247,"('mean', 'honorable')"
35,-0.3360807,corrupt,incorrupt,-0.29551792,0.04056278,"('corrupt', 'incorrupt')"
36,0.610993,hostile,amicable,1.0113473,0.40035427,"('hostile', 'amicable')"
37,0.552511,fake,genuine,0.58365685,0.03114587,"('fake', 'genuine')"
38,0.31398788,untruthful,truthful,0.329803,0.015815109,"('untruthful', 'truthful')"
39,0.401444,exploitative,cooperative,0.74231803,0.34087405,"('exploitative', 'cooperative')"
40,0.5202999,stingy,generous,0.3225715,-0.19772843,"('stingy', 'generous')"
41,0.78012824,unforgiving,forgiving,0.3766839,-0.40344435,"('unforgiving', 'forgiving')"
42,0.58024,unreliable,reliable,0.80816054,0.22792053,"('unreliable', 'reliable')"
43,0.6567744,irresponsible,responsible,0.7869376,0.1301632,"('irresponsible', 'responsible')"
44,-0.8037616,prejudiced,unprejudiced,-1.0377766,-0.23401499,"('prejudiced', 'unprejudiced')"
45,0.32118604,incompetent,competent,0.33290863,0.0117225945,"('incompetent', 'competent')"
46,0.0824475,uncompetitive,competitive,-0.1417929,-0.22424039,"('uncompetitive', 'competitive')"
47,0.61041874,stupid,smart,0.22293483,-0.3874839,"('stupid', 'smart')"
48,0.7034035,unintelligent,intelligent,0.29423684,-0.40916663,"('unintelligent', 'intelligent')"
49,-0.06785253,unable,able,0.57617533,0.6440278,"('unable', 'able')"
50,0.50437415,clumsy,skillful,0.25823745,-0.2461367,"('clumsy', 'skillful')"
51,0.24548472,uneducated,educated,-0.081252545,-0.32673728,"('uneducated', 'educated')"
52,0.20381823,irrational,rational,0.45948818,0.25566995,"('irrational', 'rational')"
53,0.8791454,uncreative,creative,1.1034337,0.22428834,"('uncreative', 'creative')"
54,1.9298832,incapable,capable,1.1463996,-0.7834836,"('incapable', 'capable')"
55,0.10731008,incompetent,clever,0.24432531,0.13701522,"('incompetent', 'clever')"
