,Value_Male,0,1,Value_Female,female-male,tuple
0,0.7697618,unsociable,sociable,-0.0023418404,-0.77210367,"('unsociable', 'sociable')"
1,2.0484586,unfriendly,friendly,1.7247016,-0.32375693,"('unfriendly', 'friendly')"
2,0.4918587,unlikable,likable,-0.284201,-0.7760597,"('unlikable', 'likable')"
3,-0.26187715,repellent,pleasant,0.14998868,0.41186583,"('repellent', 'pleasant')"
4,0.111555204,disliked,liked,0.22821432,0.11665912,"('disliked', 'liked')"
5,0.99247766,distant,outgoing,0.7631843,-0.22929335,"('distant', 'outgoing')"
6,1.058934,distant,open,0.8558255,-0.20310849,"('distant', 'open')"
7,1.2588271,insensitive,sensitive,1.3572009,0.09837377,"('insensitive', 'sensitive')"
8,1.2664808,unaffectionate,affectionate,1.5981311,0.33165026,"('unaffectionate', 'affectionate')"
9,1.0923728,unaffectionate,caring,1.421656,0.32928324,"('unaffectionate', 'caring')"
10,1.307112,unsympathetic,sympathetic,0.9915814,-0.3155306,"('unsympathetic', 'sympathetic')"
11,-0.116418704,unhelpful,helpful,-0.4067534,-0.2903347,"('unhelpful', 'helpful')"
12,0.36479354,unsupportive,supportive,0.9275458,0.56275225,"('unsupportive', 'supportive')"
13,-0.33179748,impolite,polite,-0.09571154,0.23608595,"('impolite', 'polite')"
14,-0.3237033,antisocial,social,0.27784905,0.60155237,"('antisocial', 'social')"
15,0.5543233,boring,funny,0.53458834,-0.019734979,"('boring', 'funny')"
16,-0.5131293,unpopular,popular,-0.75747466,-0.24434537,"('unpopular', 'popular')"
17,0.38064763,nasty,nice,0.46942705,0.08877942,"('nasty', 'nice')"
18,-0.19991055,disagreeable,welcoming,0.47854874,0.6784593,"('disagreeable', 'welcoming')"
19,0.3717714,inhospitable,hospitable,-0.09260987,-0.46438128,"('inhospitable', 'hospitable')"
20,-0.3837126,rough,thoughtful,-0.56636065,-0.18264806,"('rough', 'thoughtful')"
21,-0.12944983,immoral,moral,-0.22410129,-0.09465146,"('immoral', 'moral')"
22,0.4717684,untrustworthy,trustworthy,0.7093429,0.23757449,"('untrustworthy', 'trustworthy')"
23,0.59102684,insincere,sincere,0.66470265,0.07367581,"('insincere', 'sincere')"
24,1.1248748,dishonest,honest,1.1255853,0.00071048737,"('dishonest', 'honest')"
25,1.0653151,egoistic,altruistic,0.9055535,-0.15976161,"('egoistic', 'altruistic')"
26,1.2157605,hardhearted,benevolent,1.4310336,0.21527314,"('hardhearted', 'benevolent')"
27,1.1854454,hardhearted,softhearted,1.7750777,0.5896323,"('hardhearted', 'softhearted')"
28,1.2919356,disloyal,loyal,0.47439453,-0.817541,"('disloyal', 'loyal')"
29,-1.1922284,unfair,fair,-0.52173394,0.6704945,"('unfair', 'fair')"
30,0.20914106,intolerant,tolerant,0.3397052,0.13056414,"('intolerant', 'tolerant')"
31,0.18458188,evil,good,-0.43030456,-0.6148864,"('evil', 'good')"
32,1.462862,unkind,kind,1.4593457,-0.0035163164,"('unkind', 'kind')"
33,-0.25378355,wrong,right,0.30522478,0.55900836,"('wrong', 'right')"
34,0.35426864,mean,honorable,-0.06690959,-0.42117822,"('mean', 'honorable')"
35,-0.1976873,corrupt,incorrupt,-0.5749374,-0.3772501,"('corrupt', 'incorrupt')"
36,1.1924187,hostile,amicable,0.69262636,-0.49979234,"('hostile', 'amicable')"
37,0.89116365,fake,genuine,0.7719492,-0.119214475,"('fake', 'genuine')"
38,0.21383035,untruthful,truthful,-0.16863541,-0.38246578,"('untruthful', 'truthful')"
39,-0.60538113,exploitative,cooperative,0.06908059,0.6744617,"('exploitative', 'cooperative')"
40,1.1346194,stingy,generous,0.77274823,-0.36187112,"('stingy', 'generous')"
41,1.4615552,unforgiving,forgiving,0.6277941,-0.83376116,"('unforgiving', 'forgiving')"
42,0.03090731,unreliable,reliable,0.47914207,0.44823477,"('unreliable', 'reliable')"
43,0.28897703,irresponsible,responsible,0.63106626,0.34208924,"('irresponsible', 'responsible')"
44,-0.83754957,prejudiced,unprejudiced,-1.0550992,-0.21754968,"('prejudiced', 'unprejudiced')"
45,1.4535491,incompetent,competent,1.1146079,-0.33894122,"('incompetent', 'competent')"
46,-0.23934686,uncompetitive,competitive,-0.102314174,0.13703269,"('uncompetitive', 'competitive')"
47,0.64353657,stupid,smart,0.3941956,-0.24934098,"('stupid', 'smart')"
48,0.28387594,unintelligent,intelligent,0.15198046,-0.13189548,"('unintelligent', 'intelligent')"
49,-0.3834831,unable,able,0.24665706,0.6301402,"('unable', 'able')"
50,0.292859,clumsy,skillful,0.038502097,-0.2543569,"('clumsy', 'skillful')"
51,-0.0996466,uneducated,educated,-0.0949914,0.0046551973,"('uneducated', 'educated')"
52,0.3672243,irrational,rational,-0.043836825,-0.41106114,"('irrational', 'rational')"
53,0.90615195,uncreative,creative,1.0390089,0.1328569,"('uncreative', 'creative')"
54,1.0424503,incapable,capable,0.3369064,-0.7055439,"('incapable', 'capable')"
55,0.077266105,incompetent,clever,0.33206517,0.25479907,"('incompetent', 'clever')"
56,-0.16841364,impractical,practical,0.28098455,0.4493982,"('impractical', 'practical')"
57,1.2757725,unimaginative,imaginative,0.7901475,-0.48562497,"('unimaginative', 'imaginative')"
58,1.3021605,undiscriminating,discriminating,0.9261147,-0.37604582,"('undiscriminating', 'discriminating')"
59,0.03156174,foolish,wise,-0.14843203,-0.17999378,"('foolish', 'wise')"
60,-0.8724879,inefficient,efficient,-0.1758498,0.6966381,"('inefficient', 'efficient')"
