,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.8828381,0.0320476,-0.8507905
1,"('unfriendly', 'friendly')",1.72708,2.0865934,0.3595134
2,"('unlikable', 'likable')",1.2191984,0.4334273,-0.7857711000000001
3,"('repellent', 'pleasant')",0.4831455,0.8223932,0.33924770000000004
4,"('disliked', 'liked')",-0.0881389,0.2560177,0.34415660000000003
5,"('distant', 'outgoing')",0.6011215,0.7615791,0.16045759999999998
6,"('distant', 'open')",0.6553246,0.9010438,0.24571919999999992
7,"('insensitive', 'sensitive')",1.7279179,1.9335899,0.20567200000000008
8,"('unaffectionate', 'affectionate')",0.7545693,1.3275648,0.5729955
9,"('unaffectionate', 'caring')",0.8178552,1.5719213,0.7540661000000001
10,"('unsympathetic', 'sympathetic')",1.7328094,1.1627363,-0.5700731000000001
11,"('unhelpful', 'helpful')",0.1072452,-0.1268303,-0.2340755
12,"('unsupportive', 'supportive')",0.4390544,1.1169385,0.6778841
13,"('impolite', 'polite')",0.4733348,0.2207569,-0.2525779
14,"('antisocial', 'social')",-0.4918545,-0.2988113,0.19304319999999997
15,"('boring', 'funny')",0.6095508,0.4857601,-0.12379069999999998
16,"('unpopular', 'popular')",0.3054748,0.2386609,-0.06681389999999998
17,"('nasty', 'nice')",0.1732724,0.3988175,0.2255451
18,"('disagreeable', 'welcoming')",0.3309401,1.0922082,0.7612680999999999
19,"('inhospitable', 'hospitable')",0.3964779,0.1377436,-0.2587343
20,"('rough', 'thoughtful')",-0.0811816,0.0170048,0.09818640000000001
21,"('immoral', 'moral')",0.9513052,0.2883118,-0.6629934
22,"('untrustworthy', 'trustworthy')",0.5520156,0.5116964,-0.0403192
23,"('insincere', 'sincere')",1.1966142,1.1747817,-0.02183249999999992
24,"('dishonest', 'honest')",1.8471258,1.7554944,-0.09163140000000003
25,"('egoistic', 'altruistic')",0.5472039,0.8406608,0.2934569
26,"('hardhearted', 'benevolent')",0.0843202,0.4981122,0.413792
27,"('hardhearted', 'softhearted')",1.061563,1.9214208,0.8598577999999999
28,"('disloyal', 'loyal')",0.6664087,0.3101401,-0.3562686
29,"('unfair', 'fair')",-1.0112559,-0.3329423,0.6783136000000001
30,"('intolerant', 'tolerant')",0.6546785,0.5748634,-0.07981510000000003
31,"('evil', 'good')",-0.4283842,-0.4910884,-0.06270419999999999
32,"('unkind', 'kind')",1.7992577,1.676715,-0.12254270000000012
33,"('wrong', 'right')",-0.2325792,0.5432251,0.7758043
34,"('mean', 'honorable')",0.586444,0.2199014,-0.36654259999999994
35,"('corrupt', 'incorrupt')",-1.081943,-0.8372017,0.24474130000000005
36,"('hostile', 'amicable')",0.4504647,0.874051,0.4235863
37,"('fake', 'genuine')",0.9367446,0.7922961,-0.1444485000000001
38,"('untruthful', 'truthful')",0.0217615,0.0730771,0.0513156
39,"('exploitative', 'cooperative')",-0.117141,0.3905179,0.5076589
40,"('stingy', 'generous')",1.2335282,0.9140576,-0.31947060000000005
41,"('unforgiving', 'forgiving')",0.9928219,0.4691892,-0.5236327000000001
42,"('unreliable', 'reliable')",0.5619771,0.8477197,0.28574259999999996
