,Value_Male,0,1,Value_Female,female-male,tuple
0,0.8454638,unsociable,sociable,0.02611816,-0.81934565,"('unsociable', 'sociable')"
1,1.6108141,unfriendly,friendly,1.4231056,-0.1877085,"('unfriendly', 'friendly')"
2,0.66351444,unlikable,likable,-0.07257305,-0.7360875,"('unlikable', 'likable')"
3,0.0993665,repellent,pleasant,0.385138,0.2857715,"('repellent', 'pleasant')"
4,-0.022815213,disliked,liked,0.054958355,0.07777357,"('disliked', 'liked')"
5,0.671735,distant,outgoing,0.5426342,-0.1291008,"('distant', 'outgoing')"
6,0.6812291,distant,open,0.57205635,-0.10917276,"('distant', 'open')"
7,1.3453075,insensitive,sensitive,1.3862829,0.04097545,"('insensitive', 'sensitive')"
8,0.98329836,unaffectionate,affectionate,1.3964603,0.41316193,"('unaffectionate', 'affectionate')"
9,0.8058953,unaffectionate,caring,1.2561419,0.45024657,"('unaffectionate', 'caring')"
10,1.6098086,unsympathetic,sympathetic,1.1714975,-0.4383111,"('unsympathetic', 'sympathetic')"
11,0.009310525,unhelpful,helpful,-0.31804913,-0.32735965,"('unhelpful', 'helpful')"
12,0.339939,unsupportive,supportive,0.92089415,0.58095515,"('unsupportive', 'supportive')"
13,0.1635344,impolite,polite,0.21746263,0.053928226,"('impolite', 'polite')"
14,0.10959412,antisocial,social,0.4149926,0.30539846,"('antisocial', 'social')"
15,0.5263422,boring,funny,0.49511755,-0.031224668,"('boring', 'funny')"
16,-0.60944724,unpopular,popular,-0.6960089,-0.08656168,"('unpopular', 'popular')"
17,0.30907935,nasty,nice,0.4300959,0.12101656,"('nasty', 'nice')"
18,-0.108204566,disagreeable,welcoming,0.6356428,0.74384737,"('disagreeable', 'welcoming')"
19,0.12163335,inhospitable,hospitable,-0.19120191,-0.31283528,"('inhospitable', 'hospitable')"
20,-0.37270632,rough,thoughtful,-0.45141095,-0.078704625,"('rough', 'thoughtful')"
21,0.38374558,immoral,moral,0.19697358,-0.186772,"('immoral', 'moral')"
22,0.7170541,untrustworthy,trustworthy,0.7565923,0.039538145,"('untrustworthy', 'trustworthy')"
