,Value_Male,0,1,Value_Female,female-male,tuple
0,0.14724018,unsociable,sociable,-0.29273346,-0.43997365,"('unsociable', 'sociable')"
1,1.4363005,unfriendly,friendly,1.8422036,0.4059031,"('unfriendly', 'friendly')"
2,0.96360457,unlikable,likable,0.13027564,-0.83332896,"('unlikable', 'likable')"
3,0.37618005,repellent,pleasant,0.58705795,0.2108779,"('repellent', 'pleasant')"
4,-0.6929557,disliked,liked,-0.26621103,0.42674464,"('disliked', 'liked')"
5,0.56306696,distant,outgoing,0.88057715,0.3175102,"('distant', 'outgoing')"
6,0.5250397,distant,open,0.8966377,0.371598,"('distant', 'open')"
7,0.92714226,insensitive,sensitive,1.2817423,0.35460007,"('insensitive', 'sensitive')"
8,0.7731001,unaffectionate,affectionate,1.4045256,0.63142556,"('unaffectionate', 'affectionate')"
9,0.8007315,unaffectionate,caring,1.6689494,0.8682179,"('unaffectionate', 'caring')"
10,0.789613,unsympathetic,sympathetic,0.73768365,-0.051929355,"('unsympathetic', 'sympathetic')"
11,0.5523353,unhelpful,helpful,0.43553263,-0.11680269,"('unhelpful', 'helpful')"
12,0.11182502,unsupportive,supportive,0.9850767,0.8732517,"('unsupportive', 'supportive')"
13,0.40375832,impolite,polite,0.1950963,-0.20866202,"('impolite', 'polite')"
14,-0.9206855,antisocial,social,-0.18430507,0.73638046,"('antisocial', 'social')"
15,0.56578,boring,funny,0.3550367,-0.21074328,"('boring', 'funny')"
16,0.896071,unpopular,popular,0.4504679,-0.4456031,"('unpopular', 'popular')"
17,0.3289614,nasty,nice,0.6025321,0.2735707,"('nasty', 'nice')"
18,0.6196823,disagreeable,welcoming,1.5656581,0.9459758,"('disagreeable', 'welcoming')"
19,0.42215317,inhospitable,hospitable,-0.07610961,-0.4982628,"('inhospitable', 'hospitable')"
20,-0.5944472,rough,thoughtful,-0.4086697,0.18577749,"('rough', 'thoughtful')"
21,0.60804045,immoral,moral,0.1363197,-0.47172076,"('immoral', 'moral')"
22,-0.02378463,untrustworthy,trustworthy,0.04504002,0.06882465,"('untrustworthy', 'trustworthy')"
23,1.1012799,insincere,sincere,1.1852038,0.083923936,"('insincere', 'sincere')"
24,1.3514037,dishonest,honest,1.5054442,0.15404046,"('dishonest', 'honest')"
25,0.66240495,egoistic,altruistic,0.83012354,0.16771859,"('egoistic', 'altruistic')"
26,-0.24195133,hardhearted,benevolent,0.52556914,0.7675205,"('hardhearted', 'benevolent')"
27,0.20910805,hardhearted,softhearted,0.97322786,0.7641198,"('hardhearted', 'softhearted')"
28,0.50804543,disloyal,loyal,0.3955083,-0.112537146,"('disloyal', 'loyal')"
29,-1.5872215,unfair,fair,-0.9725093,0.6147122,"('unfair', 'fair')"
30,0.666334,intolerant,tolerant,0.78153676,0.115202785,"('intolerant', 'tolerant')"
31,-0.31144398,evil,good,-0.42594847,-0.11450449,"('evil', 'good')"
32,1.8368684,unkind,kind,1.8138219,-0.023046494,"('unkind', 'kind')"
33,-0.39946797,wrong,right,0.2054731,0.60494107,"('wrong', 'right')"
34,0.48235163,mean,honorable,0.3143722,-0.16797942,"('mean', 'honorable')"
35,-0.49338368,corrupt,incorrupt,-0.7415328,-0.24814913,"('corrupt', 'incorrupt')"
36,0.22178024,hostile,amicable,0.2841279,0.06234765,"('hostile', 'amicable')"
37,0.34506056,fake,genuine,0.3725879,0.027527332,"('fake', 'genuine')"
38,0.444075,untruthful,truthful,0.66479015,0.22071517,"('untruthful', 'truthful')"
39,0.5680283,exploitative,cooperative,0.88192695,0.31389868,"('exploitative', 'cooperative')"
40,0.010429069,stingy,generous,-0.21957609,-0.23000516,"('stingy', 'generous')"
41,0.5767747,unforgiving,forgiving,0.23263553,-0.3441392,"('unforgiving', 'forgiving')"
42,0.27456048,unreliable,reliable,0.86367154,0.5891111,"('unreliable', 'reliable')"
43,0.9750346,irresponsible,responsible,1.3125186,0.337484,"('irresponsible', 'responsible')"
44,-0.7454729,prejudiced,unprejudiced,-1.0616567,-0.3161838,"('prejudiced', 'unprejudiced')"
45,0.07177007,incompetent,competent,0.19799127,0.1262212,"('incompetent', 'competent')"
46,-0.3353614,uncompetitive,competitive,-0.24471293,0.09064846,"('uncompetitive', 'competitive')"
47,0.84147805,stupid,smart,0.42570925,-0.4157688,"('stupid', 'smart')"
48,0.67661005,unintelligent,intelligent,0.46469605,-0.211914,"('unintelligent', 'intelligent')"
49,-0.25494266,unable,able,0.66336685,0.9183095,"('unable', 'able')"
50,0.7722304,clumsy,skillful,0.68678755,-0.08544284,"('clumsy', 'skillful')"
51,0.3518726,uneducated,educated,0.09805102,-0.25382158,"('uneducated', 'educated')"
52,0.19119994,irrational,rational,0.24877103,0.057571083,"('irrational', 'rational')"
53,1.3050877,uncreative,creative,1.533785,0.2286973,"('uncreative', 'creative')"
54,1.8035946,incapable,capable,1.102222,-0.7013726,"('incapable', 'capable')"
55,0.07677831,incompetent,clever,0.5241143,0.44733602,"('incompetent', 'clever')"
56,0.90011644,impractical,practical,1.4268872,0.5267707,"('impractical', 'practical')"
57,0.55533844,unimaginative,imaginative,0.33588386,-0.21945459,"('unimaginative', 'imaginative')"
58,0.38678324,undiscriminating,discriminating,0.15810144,-0.2286818,"('undiscriminating', 'discriminating')"
59,0.56118816,foolish,wise,0.22639734,-0.33479083,"('foolish', 'wise')"
60,0.024636026,inefficient,efficient,0.78542733,0.7607913,"('inefficient', 'efficient')"
61,-0.54411334,illogical,logical,-0.17575324,0.3683601,"('illogical', 'logical')"
62,0.375679,incompetent,brilliant,0.5307524,0.15507343,"('incompetent', 'brilliant')"
63,0.7514572,unperceptive,insightful,0.65302265,-0.09843457,"('unperceptive', 'insightful')"
64,-1.0261457,shy,confident,-1.4866799,-0.46053421,"('shy', 'confident')"
65,0.06197509,insecure,secure,-0.620739,-0.6827141,"('insecure', 'secure')"
66,-0.2958152,inactive,active,-0.39718527,-0.10137007,"('inactive', 'active')"
67,-0.9127888,doubtful,determined,-0.48322436,0.42956445,"('doubtful', 'determined')"
68,-0.02617035,dependent,independent,-0.14698517,-0.12081482,"('dependent', 'independent')"
69,-1.1431235,lazy,industrious,-0.4226519,0.7204716,"('lazy', 'industrious')"
70,0.924753,lethargic,energetic,1.2259034,0.30115038,"('lethargic', 'energetic')"
71,0.084587626,diffident,self-confident,0.33553195,0.25094432,"('diffident', 'self-confident')"
72,0.5964217,unambitious,ambitious,0.13357651,-0.4628452,"('unambitious', 'ambitious')"
73,0.6426432,helpless,self-reliant,0.5270467,-0.11559653,"('helpless', 'self-reliant')"
74,-0.1133682,undedicated,dedicated,1.2362802,1.3496484,"('undedicated', 'dedicated')"
75,0.563115,meek,impulsive,-0.36693358,-0.9300486,"('meek', 'impulsive')"
76,0.7736451,anxious,daring,0.6879707,-0.085674405,"('anxious', 'daring')"
77,-0.018952403,unmotivated,motivated,-0.45969507,-0.44074267,"('unmotivated', 'motivated')"
78,-1.0965803,nonresilient,resilient,-0.43136498,0.66521525,"('nonresilient', 'resilient')"
79,0.8211254,wavering,unwavering,0.4586623,-0.3624631,"('wavering', 'unwavering')"
80,-0.6598809,dominated,dominating,-1.1255577,-0.46567678,"('dominated', 'dominating')"
81,1.1433007,submissive,aggressive,-0.32949388,-1.4727945,"('submissive', 'aggressive')"
82,1.943636,poor,rich,0.9625596,-0.98107636,"('poor', 'rich')"
83,-0.6475324,powerless,powerful,-0.30093333,0.34659907,"('powerless', 'powerful')"
84,0.084233046,inferior,superior,-0.35198262,-0.43621567,"('inferior', 'superior')"
85,1.4949858,insignificant,prestigious,1.3905911,-0.104394674,"('insignificant', 'prestigious')"
86,0.13495372,uninfluential,influential,0.6440204,0.50906664,"('uninfluential', 'influential')"
87,0.13773182,unsuccessful,successful,-0.5385957,-0.67632747,"('unsuccessful', 'successful')"
88,1.2522241,low,eminent,1.0492914,-0.20293272,"('low', 'eminent')"
