,Value_Male,0,1,Value_Female,female-male,tuple
0,0.71926236,unsociable,sociable,-0.17309135,-0.8923537,"('unsociable', 'sociable')"
1,1.6596699,unfriendly,friendly,1.6765219,0.016852021,"('unfriendly', 'friendly')"
2,0.6179866,unlikable,likable,-0.12090589,-0.7388925,"('unlikable', 'likable')"
3,0.06530008,repellent,pleasant,0.30675197,0.24145189,"('repellent', 'pleasant')"
4,-0.015822176,disliked,liked,0.15985411,0.17567629,"('disliked', 'liked')"
5,0.47680724,distant,outgoing,0.65758836,0.18078113,"('distant', 'outgoing')"
6,0.54617554,distant,open,0.7566381,0.21046257,"('distant', 'open')"
7,1.3453925,insensitive,sensitive,1.2843865,-0.06100595,"('insensitive', 'sensitive')"
8,1.0135106,unaffectionate,affectionate,1.4494637,0.43595314,"('unaffectionate', 'affectionate')"
9,0.8507635,unaffectionate,caring,1.3748778,0.5241143,"('unaffectionate', 'caring')"
10,1.4019411,unsympathetic,sympathetic,0.778117,-0.62382406,"('unsympathetic', 'sympathetic')"
11,0.0474293,unhelpful,helpful,-0.39358085,-0.44101015,"('unhelpful', 'helpful')"
12,0.41997504,unsupportive,supportive,0.9860637,0.5660887,"('unsupportive', 'supportive')"
13,0.23186736,impolite,polite,-0.006416485,-0.23828384,"('impolite', 'polite')"
14,0.19398421,antisocial,social,0.35966906,0.16568485,"('antisocial', 'social')"
15,0.4024442,boring,funny,0.43533608,0.03289187,"('boring', 'funny')"
16,-0.6299745,unpopular,popular,-0.6728808,-0.042906344,"('unpopular', 'popular')"
17,0.17904565,nasty,nice,0.33881354,0.1597679,"('nasty', 'nice')"
18,0.026041362,disagreeable,welcoming,0.8634582,0.8374168,"('disagreeable', 'welcoming')"
19,0.16508088,inhospitable,hospitable,-0.15949376,-0.32457465,"('inhospitable', 'hospitable')"
20,-0.4040973,rough,thoughtful,-0.48011982,-0.076022536,"('rough', 'thoughtful')"
21,0.4154717,immoral,moral,0.11445001,-0.3010217,"('immoral', 'moral')"
22,0.7572017,untrustworthy,trustworthy,0.81431794,0.05711627,"('untrustworthy', 'trustworthy')"
23,0.9111624,insincere,sincere,0.85622257,-0.054939806,"('insincere', 'sincere')"
24,1.4780596,dishonest,honest,1.3446838,-0.13337588,"('dishonest', 'honest')"
25,0.8210517,egoistic,altruistic,1.0861797,0.26512802,"('egoistic', 'altruistic')"
26,0.76163006,hardhearted,benevolent,1.0307816,0.26915157,"('hardhearted', 'benevolent')"
27,1.0549678,hardhearted,softhearted,1.563356,0.5083883,"('hardhearted', 'softhearted')"
28,1.0024428,disloyal,loyal,0.23938826,-0.7630546,"('disloyal', 'loyal')"
29,-1.1675262,unfair,fair,-0.39217702,0.77534926,"('unfair', 'fair')"
30,0.33409202,intolerant,tolerant,0.34977478,0.015682757,"('intolerant', 'tolerant')"
31,-0.2038349,evil,good,-0.21376972,-0.009934813,"('evil', 'good')"
32,1.5496469,unkind,kind,1.4071596,-0.14248729,"('unkind', 'kind')"
33,-0.29512957,wrong,right,0.3787949,0.67392445,"('wrong', 'right')"
34,0.24997118,mean,honorable,-0.06396315,-0.31393433,"('mean', 'honorable')"
35,-0.87641597,corrupt,incorrupt,-0.836135,0.04028094,"('corrupt', 'incorrupt')"
36,0.2936522,hostile,amicable,0.38441116,0.09075895,"('hostile', 'amicable')"
37,1.2387596,fake,genuine,0.871364,-0.36739564,"('fake', 'genuine')"
38,0.21671343,untruthful,truthful,0.038510893,-0.17820254,"('untruthful', 'truthful')"
39,-0.24300863,exploitative,cooperative,0.3209061,0.5639147,"('exploitative', 'cooperative')"
40,1.1870979,stingy,generous,0.77348757,-0.41361034,"('stingy', 'generous')"
41,1.2472152,unforgiving,forgiving,0.5517064,-0.6955088,"('unforgiving', 'forgiving')"
42,0.033219937,unreliable,reliable,0.4750271,0.44180718,"('unreliable', 'reliable')"
43,0.6503885,irresponsible,responsible,0.7968955,0.14650702,"('irresponsible', 'responsible')"
44,-0.8906909,prejudiced,unprejudiced,-1.054487,-0.16379607,"('prejudiced', 'unprejudiced')"
45,1.0999861,incompetent,competent,0.6188487,-0.4811374,"('incompetent', 'competent')"
46,0.13078573,uncompetitive,competitive,-0.07832338,-0.20910911,"('uncompetitive', 'competitive')"
47,0.54585195,stupid,smart,0.20970537,-0.3361466,"('stupid', 'smart')"
48,0.3239768,unintelligent,intelligent,0.15673599,-0.16724083,"('unintelligent', 'intelligent')"
49,-0.58902687,unable,able,0.015581951,0.60460883,"('unable', 'able')"
50,0.10162757,clumsy,skillful,-0.076960504,-0.17858808,"('clumsy', 'skillful')"
51,0.2245749,uneducated,educated,0.0055058934,-0.219069,"('uneducated', 'educated')"
