,Value_Male,0,1,Value_Female,female-male,tuple
0,0.75663483,unsociable,sociable,-0.18145221,-0.93808705,"('unsociable', 'sociable')"
1,1.8596919,unfriendly,friendly,2.4017942,0.54210234,"('unfriendly', 'friendly')"
2,0.9613734,unlikable,likable,0.099698216,-0.86167514,"('unlikable', 'likable')"
3,0.466175,repellent,pleasant,0.49633294,0.030157954,"('repellent', 'pleasant')"
4,-0.40604877,disliked,liked,0.19451065,0.6005594,"('disliked', 'liked')"
5,0.23532405,distant,outgoing,0.6654116,0.43008754,"('distant', 'outgoing')"
6,0.1416291,distant,open,0.82486594,0.68323684,"('distant', 'open')"
7,1.5910035,insensitive,sensitive,1.5400974,-0.05090618,"('insensitive', 'sensitive')"
8,0.9268362,unaffectionate,affectionate,1.6019907,0.6751545,"('unaffectionate', 'affectionate')"
9,1.0716562,unaffectionate,caring,1.79858,0.7269238,"('unaffectionate', 'caring')"
10,2.1577315,unsympathetic,sympathetic,1.3703496,-0.7873819,"('unsympathetic', 'sympathetic')"
11,0.70096153,unhelpful,helpful,0.031229999,-0.66973156,"('unhelpful', 'helpful')"
12,0.50898695,unsupportive,supportive,1.0909641,0.5819771,"('unsupportive', 'supportive')"
13,0.9160956,impolite,polite,0.18619697,-0.72989863,"('impolite', 'polite')"
14,-0.9357727,antisocial,social,-0.6262467,0.30952603,"('antisocial', 'social')"
15,0.5928664,boring,funny,0.5649972,-0.027869225,"('boring', 'funny')"
16,0.5990362,unpopular,popular,0.38308662,-0.2159496,"('unpopular', 'popular')"
17,-0.12657994,nasty,nice,0.19274159,0.3193215,"('nasty', 'nice')"
18,0.07387094,disagreeable,welcoming,1.0776087,1.0037378,"('disagreeable', 'welcoming')"
19,0.2604031,inhospitable,hospitable,0.0004986655,-0.25990444,"('inhospitable', 'hospitable')"
20,0.0037116706,rough,thoughtful,-0.10457092,-0.10828259,"('rough', 'thoughtful')"
21,0.9685403,immoral,moral,0.24848424,-0.72005606,"('immoral', 'moral')"
22,0.23785125,untrustworthy,trustworthy,0.28880328,0.050952032,"('untrustworthy', 'trustworthy')"
23,1.337844,insincere,sincere,1.0070448,-0.33079922,"('insincere', 'sincere')"
24,1.9182612,dishonest,honest,1.8662792,-0.051981926,"('dishonest', 'honest')"
